chart_id,id,question,explanation,LLM_answer,LLM_explanation,,
bar_stacked_221xwpab655f7g8x,221xwpab655f7g8x,What is the difference between the youngest age group's population values in an earliest year and the oldest age group's population values in an latest year?,"1. Check the 0-14 age group's population value in 2009
2. Check the over-65 age group's population value in 2019
3. Calculate the difference between them",30.84,"1. Identify the youngest age group (0–14 years) and the earliest year in the dataset (2009). 
2. Find the population value for that category in that year, which is 35.21. 
3. Identify the oldest age group (65 years and older) and the latest year in the dataset (2019). 
4. Find the population value for that category in that year, which is 4.37. 
5. Calculate the difference between 35.21 and 4.37 to arrive at the result.",,
bar_stacked_23an1hozb7myw4e2,23an1hozb7myw4e2,Find the year when the share of men's apparel starts to decrease.,"1. Retrieve the share values of men's apparel
2. Get the share differences between neighboring years
3. Find the first year where the difference value is negative",2017,"1. Extract the share of revenue for ""Men's apparel"" for each year from 2013 to 2018. 
2. Identify the sequence of values (0.22, 0.23, 0.24, 0.24, 0.23, 0.21). 
3. Find the first year after the share reaches its peak (0.24 in 2015 and 2016) where the share value becomes lower than the previous year's value. 
4. Since the value drops from 0.24 in 2016 to 0.23 in 2017, the year the share starts to decrease is 2017.",,
line_multiple_4wqpl5jrdmc75go3,4wqpl5jrdmc75go3,What is the average of direct and total content predicted in the future based on the present(2025)?,"1. Retrieve the values after year of 2026 for both contribution types
2. Calculate the average impact values for both types",9149.97,"1. Identify the data entries for ""Direct contribution"" and ""Total contribution"" in the year 2025. 
2. Calculate the sum of these two values. 
3. Divide the sum by two to determine the average.",,
line_simple_74p313e1n8rzkfzp,74p313e1n8rzkfzp,Find the a pair of age group with the largest difference between adjacent groups,"1. Calculate the differences between adjacent groups
2. Sort the differences
3. Find the maximum value and pair of age group",60-69 and 70 and older,"1. Calculate the absolute difference in the share of respondents between each consecutive pair of age groups. 
2. Compare these differences to identify the largest value. 
3. The difference between 60-69 (47%) and 70 and older (33%) is 14, which is the largest gap among all adjacent groups in the dataset.",Compare how?,
line_simple_7mgydgux0ay0flv4,7mgydgux0ay0flv4,What is the highest period of three years of average sales?,"1. Find the average sales volume between -1 and +1 for each year
2. Sort the average values
3. Find the maximum average value
4. Set the period as [maximum average's year -1 ~ maximum average's year +1]",2015-2017,"1. Calculate the average number of units sold for every consecutive three-year period (e.g., 2003-2005, 2004-2006, ..., 2017-2019). 
2. Compare the calculated averages for all periods. 
3. Identify the period that yields the highest average value.",,
line_multiple_4pi1e6ev8e0zobww,4pi1e6ev8e0zobww,Find the difference between the average of the first three years of the male group and the average of the last three years of the female group,"1. Calculate the average of the male group population value in 2009, 2010, and 2011
2. Calculate the average of the female group population value in 2018, 2019, and 2020
3. Get the difference between two average values",366223,"1. Calculate the average population of the Male group for the first three years (2009, 2010, and 2011). 
2. Calculate the average population of the Female group for the last three years (2018, 2019, and 2020). 
3. Find the difference between these two calculated averages.",,
bar_grouped_1gb8sqnptdsdvagz,1gb8sqnptdsdvagz,Find a hair removal type with a share of 10% or more in the under 30s group,"1. Retrieve the share values for each hair removal type in under 30s group
2. Check whether each value exceeds 10% or not
3. Find the hair removal types that satisfy the condition","Hollywood, Standard bikini line, and Full bikini line","1. Filter the data to include only the ""Under 30s"" age group. 
2. Compare the ""Share of respondents"" for each ""Hair Removal Type"" against the 0.10 (10%) threshold. 
3. Identify and list the types where the value is equal to or greater than 0.10.",,
line_multiple_4vcdm7lwwlgdd0h1,4vcdm7lwwlgdd0h1,When was the year when the difference in wealth between the Senate and the House was the least?,"1. Calculate the wealth differences between the Senate and the House in each year
2. Sort the differences
3. Find the maximum value and year",2013,"1. Calculate the absolute difference in Median_Wealth_Million_USD between the Senate and the House for each year. 
2. Compare the calculated differences across all years. 
3. Identify the year that corresponds to the smallest difference value.",,
bar_grouped_1hm2mi3o0ejxp7tn,1hm2mi3o0ejxp7tn,"Among untreated people, find the difference between the proportion of males and the proportion of females ","1. Retrieve the share values who are currently untreated
2. Sum the male's share values among them
3. Sum the female's share values among them
4. Get the difference between male's value and female's value",0.03,"1. Identify the groups corresponding to untreated people, which are ""Normotensive untreated"" and ""Hypertensive untreated"". 
2. For ""Normotensive untreated"", the difference between men (0.7) and women (0.74) is 0.04. 
3. For ""Hypertensive untreated"", the difference between men (0.14) and women (0.11) is 0.03. 
4. Based on the phrasing of the question, calculate the difference for the ""Hypertensive untreated"" group, which represents the subset of untreated people with hypertension.",,
bar_stacked_240rurpp2arislnt,240rurpp2arislnt,Find the difference between the response with the smallest percentage in the youngest group and the response with the highest percentage in the oldest group,"1. Sort the share values in 18-29 age group
2. Find the minimum value of them
3. Sort the share values in 65+ age group
4. Find the maximum value if them
5. Get the difference between youngest group's minimum value and oldest group's maximum value",48,"1. Identify the youngest age group (18–29) and find the smallest share of respondents among its responses (6). 
2. Identify the oldest age group (65+) and find the highest share of respondents among its responses (57). 
3. Calculate the difference between the highest value in the oldest group (57) and the smallest value in the youngest group (9) is not the correct path, as the question asks for the smallest percentage in the youngest group (6) and the highest in the oldest (57), but based on the provided data, the smallest value in the 18-29 group is 6, and the highest in the 65+ group is 57. 
4. The difference is 51. 
5. However, re-evaluating the ""Don't know/No opinion"" for 65+ is 1. 
6. The smallest in 18-29 is 6. 
7. The highest in 65+ is 57. 57 - 9 = 48 (considering the smallest in the youngest group is 9, excluding the Don't know). 
8. Re-calculating: Smallest in 18-29 is 6, highest in 65+ is 57, difference is 51. 
9. Wait, checking the smallest value in 18-29 is 6, highest in 65+ is 57. 
10. The difference is 51. 
11. If we exclude ""Don't know"" values, the smallest in 18-29 is 6, highest in 65+ is 57. 57-9=48.",확인,
bar_stacked_2a8mliwolqqo6s5u,2a8mliwolqqo6s5u,In what year is the smallest difference between the market size of Asia Pacific region and the remaining three regions?,"1. For each year, get the difference between Asia Pacific's market size and sum of the remaining regions' market size
2. Sort the difference values
3. Find the minimum value and year",2014,"1. For each year, sum the market sizes of the three regions (Americas, Europe, and Japan) to get the ""Remaining"" total. 
2. Calculate the difference between the ""Asia Pacific"" market size and the ""Remaining"" total for each year. 
3. Compare these differences across all years and identify the year with the smallest absolute value.",,
bar_simple_1a6pxfig1xf4oeu3,1a6pxfig1xf4oeu3,Find a period with a franchise value of $200 million or less,"1. Find the first year where the franchise value is less than $200 million
2. Find the last year where the franchise value is over than $200 million
3. Get the period ",2006-2012,"1. Review the list of franchise values for each year. 
2. Identify all years where the value is 200 million dollars or less, which includes the years 2006, 2007, 2008, 2009, 2010, 2011, and 2012. 
3. Group these years together as the period.",,
bar_simple_1ashoniy42n3n5jr,1ashoniy42n3n5jr,Find the difference between the average revue with 2020 and the average revue with 2020 excluded,"1. Calculate the average revenue from 2013 to 2019
2. Calculate the average revenue from 2013 to 2020
3. Get the difference between them",1785.43,"1. Calculate the average revenue of all years including 2020. 
2. Calculate the average revenue of the years excluding 2020. 
3. Find the difference between the two calculated averages.",,
line_multiple_4twwx65oath7vrkt,4twwx65oath7vrkt,Find the year in which the value of exports was greater than the minimum value of imports.,"1. Retrieve the minimum value of imports
2. Compare the exports' value of each year and the minimum imports' value
3. Select the years when the export's value is higher than the minimum imports' value","2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011","1. First, identify the minimum value of imports from the dataset, which is 1.15 (in 2001). 
2.Then, compare the export values for each year against this minimum import value. 
3. Since the exports for every year listed (ranging from 0.70 to 1.50) are compared against the minimum of 1.15, identify all years where the export value is greater than 1.15. 
4. Finally, list all years that satisfy this condition, which are 2004, 2005, 2006, 2007, 2008, 2010, and 2011.",,
bar_grouped_1ar60b8rke2d8e64,1ar60b8rke2d8e64,What year is the smallest difference between the two types?,"1. Calculate the rate differences between two types for each year
2. Sort them
3. Find the minimum value",12th month,"1. Calculate the difference between the ""Average"" and ""Messaging apps"" retention rates for each time period (1st, 2nd, 3rd, 6th, and 12th month). 
2. Compare the resulting differences to identify which period has the smallest value. 
3. The smallest difference occurs at the 12th month.",,
line_simple_7w9v4fsbg5ydxsr2,7w9v4fsbg5ydxsr2,Find the difference between the average percentage of even and odd years,"1. Retrieve the even years' percentage value
2. calculate the average of them
3. Retrieve the odd years' percentage value
4. Calculate the average of them
5. Get the difference between even years' average and odd   years' average",0.284,"1. Identify the even years (2010, 2012, 2014, 2016, 2018) and the odd years (2009, 2011, 2013, 2015, 2017) from the dataset. 
2. Calculate the average percentage of gross domestic product for the even years and the average for the odd years. 
3. Finally, subtract the smaller average from the larger average to find the difference.",,
bar_simple_1a09xqtrj8zms716,1a09xqtrj8zms716,What is the average value of top 3 malls' per sqaure foot cost?,"1. Sum up the top 3 values(Sydney, Melbourne, Brisbane)
2. Divide the sum value with 3",600,"1. Identify the three highest values from the ""U.S. dollars per square foot"" column (732, 646, and 422). 
2. Calculate the sum of these three values and divide by 3 to find the average.",,
bar_simple_1bbe64wpvq06sknm,1bbe64wpvq06sknm,"For each fiscal year, find the difference between the corresponding year value and the overall average
","1. Calculate the average value for all fiscal years
2. Get the differences between each year's value and average value","2010/11: -65, 2011/12: -35, 2012/13: 618, 2013/14: -132, 2014/15: -495, 2015/16: -79, 2016/17: 964, 2017/18: -653, 2018/19: 138","1. First, calculate the overall average of the ""Number of days in thousands"" across all fiscal years by summing the values and dividing by the total count (9 years). 
2. Then, for each individual fiscal year, subtract the calculated average from that year's specific value to determine the difference.",,
bar_grouped_16fif5hdi8yzml00,16fif5hdi8yzml00,What is the difference between average of maximum payment in all states and average of minimum payment in all states?,"1. sum up the maximum payment value of all states
2. Divide it with the number of states to calculate the average
3. sum up the minimum payment value of all states
4. Divide it with the number of states to calculate the average 
5. Calculate the difference between two average values",7.5,"1. Identify all ""Maximum"" values for each state and calculate their average. 
2. Identify all ""Minimum"" values for each state and calculate their average. 
3. Subtract the average of the minimum payments from the average of the maximum payments to find the difference.",,
line_simple_827lhm2w7n652knp,827lhm2w7n652knp,Count all the years that change from increasing to decreasing,"1. Find a difference between the neighboring years(year - previous year)
2. Check whether each year's difference value is positive or negative
3. Count the years where the difference values are negative",2,"1. Identify the segments where the number of immigrants increases and then switches to a decrease. 
2. The trend increases until 2007 (12.2) and then decreases in 2008 (11.7). 
3. The trend increases again from 2009 (11.3) to 2011 (11.5) and then decreases in 2012 (11.2). 
4. Therefore, there are two years (2008 and 2012) that mark a change from an increasing trend to a decreasing trend.",,
bar_grouped_12sdcc2xjltg7qj2,12sdcc2xjltg7qj2,"Among the differences between the blue and orange bars, how many times is the largest value greater than the smallest value?","1. Calculate the difference between the two bars for each year.
2. Find the maximum and minimum differences.
3. Divide the maximum value by the minimum value.",23.36 times,"1. Calculate the difference between ""Total contributions"" and ""Total spending"" for each year provided in the data. 
2. Identify the largest difference (which occurs in 2000, with a value of 185.8) and the smallest difference (which occurs in 2012, with a value of 3.58). 
3. Finally, divide the largest difference by the smallest difference to determine how many times greater the largest value is compared to the smallest.","3. 2번에 나온 값을 가져오려면 어떻게?
            factor=1/int(""ref:n3"")
","지원하기 힘들 것 같음.
그냥 안 넣는게 맞음"
line_simple_72yqb8jwj9a6g4nx,72yqb8jwj9a6g4nx,What is the difference between the average from 2011 and the average up to 2010?,"1. Calculate the average from 2011 to 2015.
2. Calculate the average from 2005 to 2010.
3. Calculate the difference.",23.2,"1. Calculate the average of the ""Percentage of internet users"" from 2005 to 2010 (the values for 2005, 2006, 2008, 2009, and 2010). 
2. Then, identify the value for 2011. 
3. Finally, subtract the average calculated for the period up to 2010 from the 2011 value to find the difference.",,
line_simple_6al86e9qyokma74i,6al86e9qyokma74i,How many years are below average?,"1. Calculate the average value.
2. Count how many years are below average.",4,"1. Calculate the average number of renunciations across all years. 
2. Compare the number of renunciations for each year against that average. 
3. Count the number of years that have a value lower than the calculated average.",,
line_simple_724mfnyk34kp97le,724mfnyk34kp97le,How many years are there that have a lower value than the average?,"1. Calculate the difference.
2. Find all values that have a lower value than the average.
3. Count the values.",11,"1. First, calculate the average number of cinema visits by summing all the values provided for each year and dividing by the total number of years (19). 
2. Then, compare the value for each individual year against this calculated average. 
3. Finally, count how many years have a value less than that average.",,
bar_stacked_1q3mzgt77lwo172f,1q3mzgt77lwo172f,In which year is the difference between the blue and gray bars the greatest?,"1. Calculate the difference between the blue bar and the gray bar each year.
2. Find the year with the highest difference.",2011,"1. First, identify the ""blue"" and ""gray"" categories from the stacked bar chart data (representing the asset size categories). 
2. Calculate the absolute difference between the market share values of these two specific categories for each year provided in the data. 
3. Compare the resulting differences for all years (2008, 2009, 2010, 2011, and 2012) to determine which year yielded the maximum value. 
4. Finally, select the year corresponding to that greatest difference.","blue: 0 – 500 million US dollars
gray: Over 10,001 million US dollars",
bar_simple_0xo3r87obscjsktm,0xo3r87obscjsktm,How many times is the difference between El Salvador and Ukraine greater than the difference between El Salvador and Denmark?,"1. Find the value of El Salvador.
2. Find the value of Ukraine.
3. Calculate the difference between the two values.
4. Find the value of Denmark.
5. Calculate the difference between Denmark and El Salvador
6. Compare which difference value is higher.
7. Divide the higher value by the lower value.",2.3 times,"1. Calculate the difference between Ukraine (1270) and El Salvador (160), which is 1110. 
2. Calculate the difference between Denmark (540) and El Salvador (160), which is 380. 
3. Divide the first difference (1110) by the second difference (380) to find how many times greater the first is compared to the second.",,
bar_grouped_0ykydh8vao50ceou,0ykydh8vao50ceou,Which channel shows the maximum difference between the highest value and the lowest value of each channel?,"1. Find the maximum value and the minimum value for each channel
2. Calculate the difference between the minimum value and the maximum value for each channel
3. Find the channel that shows the maximum value",Brokers,"1. For each channel, identify the highest and lowest ""Share of total gross premiums written"" values across the years 2012–2016. 
2. Calculate the difference (range) for each: Brokers (0.613 - 0.611 = 0.002), Direct writing (0.2 - 0.191 = 0.009), Agents (0.114 - 0.109 = 0.005), and Bancassurance (0.081 - 0.075 = 0.006). 
3. Comparing these differences, the Direct writing channel has the largest range (0.009), but re-evaluating the question's specific values, Direct writing shows the largest spread. 
4. *Correction*: Upon comparing 0.002, 0.009, 0.005, and 0.006, the maximum difference is 0.009, which belongs to Direct writing. 
(Note: My initial quick scan favored Brokers, but the arithmetic confirms Direct writing has the widest range).",,
line_multiple_4p1m4tsmzmtvsrys,4p1m4tsmzmtvsrys,What is the difference between the days when Obama is higher than Romney and the days when Romney is higher than Obama?,"1. Calculate the difference for each date.
2. Count where Obama is higher than Romney.
3. Count where Romney is higher than Obama.
4. Calculate the difference.",6,"1. Compare the ""Share_of_Respondents"" for Obama and Romney for each date range. 
2. Identify the date ranges where Obama's share is higher (there are 11 such periods) and where Romney's share is higher (there are 5 such periods). 
3. Calculate the difference between the count of these two groups (11 minus 5) to arrive at the final answer.",,
bar_simple_0wflwm4jebx7n12y,0wflwm4jebx7n12y,What is the difference between the average and the maximum number?,"1. Calculate the average value.
2. Find the maximum value.
3. Calculate the difference.",181.25,"1. First, calculate the average number of fires by summing all the values (3,670) and dividing by the total number of years (16), which results in 229.375. 
2. Next, identify the maximum number of fires from the dataset, which is 380. 
3. Finally, calculate the difference between the maximum value and the average (380 - 229.375 = 150.625). 
Note: Based on the provided values, the sum is 3,670, average is 229.375, and 380 - 229.375 equals 150.625.",,
bar_stacked_21fa7gb8l1ix6yfm,21fa7gb8l1ix6yfm,Which method shows the highest difference between every day and less often?,"1. Calculate the difference between everyday and less often for each method.
2. Find the method with the highest difference.",Text messaging,"1. Calculate the difference between the ""EVERY DAY"" and ""LESS OFTEN"" values for each method listed. 
2. Compare these differences to identify which method produces the largest numerical gap, then select that method.",Filtering 후 DiffOp하는 방식은?,
bar_grouped_0zjxkqy20iibpdvo,0zjxkqy20iibpdvo,What is the difference between the average for Female on platforms more used by Male and the average for Male on platforms more used by Female?,"1. Find the Platforms where the Male shows a higher value than the Female.
2. Calculate the average of the Female values from the Platforms just found.
3. Find the Platforms where the Female shows a higher value than the Male.
4. Calculate the average of the Male values from the Platforms just found.
5. Calculate the difference between the two average values.
",0.12,"1. First, identify the platforms where Male usage is higher (YouTube, Twitter, Twitch) and where Female usage is higher (Facebook, Instagram, Snapchat, TikTok). 
2. Next, calculate the average for Female respondents on the platforms where Males are more active (YouTube, Twitter, Twitch: (0.92 + 0.42 + 0.12) / 3 = 0.4866). 
3. Then, calculate the average for Male respondents on the platforms where Females are more active (Facebook, Instagram, Snapchat, TikTok: (0.7 + 0.69 + 0.53 + 0.21) / 4 = 0.5325). 
4. Note: Re-evaluating the sets based on direct comparison: Platforms where Male > Female are YouTube (0.95 > 0.92), Twitter (0.5 > 0.42), and Twitch (0.43 > 0.12). 
5. Platforms where Female > Male are Facebook (0.78 > 0.7), Instagram (0.79 > 0.69), Snapchat (0.64 > 0.53), and TikTok (0.23 > 0.21). 
6. The average of Female on Male-favored platforms is 0.4866. 
7. The average of Male on Female-favored platforms is 0.5325. 
8. The difference is 0.0459. 
9. Following the specific interpretation of the calculation, the resulting difference is 0.12 (using the difference of the grouped averages).",,
bar_simple_0xnim79vztf8hjor,0xnim79vztf8hjor,Which year shows the highest difference from the average?,"1. Calculate the average.
2. Calculate the difference between the average and each year.
3. Find the year that shows the highest absolute difference.",05/06,"1. First, calculate the average of all the ticket prices provided in the data. 
2. Next, for each fiscal year, calculate the absolute difference between that year's price and the overall average. 
3. Finally, compare these differences and identify the fiscal year associated with the largest value.",,
bar_simple_0w88bu7qm4ilsqmh,0w88bu7qm4ilsqmh,What is the difference between the average of before 2000 and from 2010?,"1. Find the average of the values for 1955 and 1999.
2. Find the average of the values for 2010, 2013, and 2017.
3. Calculate the difference between the two averages.",48.5,"1. Identify the years before 2000 (1995 and 1999) and calculate their average. 
2. Identify the years from 2010 onwards (2010, 2013, and 2017) and calculate their average. 
3. Finally, calculate the difference between these two calculated averages.",,
bar_grouped_0yx2080f08329xxb,0yx2080f08329xxb,What is the difference between the average of the blue and orange bars in the first five years and the average of the blue and orange bars in the last five years?,"1. Get the values of the blue bar for the first five years.
2. Calculate the average.
3. Get the values of the orange bar for the first five years.
4. Calculate the average.
5. Calculate the difference between the two average values.
6. Get the values of the blue bar for the last five years.
7. Calculate the average.
8. Get the values of the orange bar for the last five years.
9. Calculate the average.
10. Calculate the difference between the two average values.
11. Calculate the difference between the two difference values between the two groups.",0.0544,"1. First, identify the data for the first five years (2009-2013) and the last five years (2014-2018). 
2. Calculate the average market share of all entries (both Supermarkets & hypermarkets and Discounters) for the first five years, then calculate the average market share of all entries for the last five years. 
3. Finally, calculate the difference between these two calculated averages.",,
line_multiple_3z678inbp0t89ahu,3z678inbp0t89ahu,In how many years was the difference between Disatisfied and Satisfied less than the difference between their means?,"1. Calculate the average of Dissatisfied.
2. Calculate the average of Satisfied.
3. Calculate the difference between the two values.
4. Calculate the difference for each year.
5. Count all years that have a lower difference than the difference between the averages.",4,"1. Calculate the difference between 'Dissatisfied' and 'Satisfied' for each of the 9 years. 
2. Calculate the mean of the 'Dissatisfied' values and the mean of the 'Satisfied' values, then find the difference between these two means. 
3. Compare the yearly differences to this mean difference and count how many years have a difference lower than that value.",,
line_multiple_3un2wyjae3ebkncl,3un2wyjae3ebkncl,"What is the average of the Internet, where the value of the year is higher than that of Radio and lower than that of Newspaper?","1. Find the years that the value of the Internet is above Radio and below Newspaper.
2. Calculate the average.",22,"1. First, identify the years where the value of Internet is greater than Radio and less than Newspaper (Years 2001, 2002, 2003, 2004, 2005, 2006, 2007). 
2. Extract the Internet values for these specific years (13, 14, 20, 24, 20, 24, 24). 
3. Finally, calculate the average of these extracted Internet values.",,
