Unnamed__0,nuclear_consumption,year,country
557,,1991,albania
9271,48.709,2005,india
13961,,1911,north america
13253,,2019,netherlands antilles
17795,,2006,somalia
5768,,2007,east timor
11576,,2000,maldives
18152,190.195,1995,south korea
13419,,2021,new zealand
18128,0.0,1971,south korea
3496,,1989,cambodia
7068,,2000,falkland islands
4671,,2000,congo
6633,159.622,1971,europe
13023,,1954,nepal
10042,,1995,jamaica
2026,,1923,bangladesh
2015,,1912,bangladesh
15830,,2009,panama
11482,,1949,malaysia
17849,,1938,south africa
20118,,1957,ussr
14425,0.0,2022,north macedonia
20345,,1903,united arab emirates
21466,,2022,western africa (ei)
1142,,2015,aruba
2991,,1995,british virgin islands
1673,,2018,australia and new zealand (eia)
8507,,1984,guinea-bissau
6565,,1903,europe
1161,,1912,asia
4150,,2013,chad
4954,,1920,cuba
11807,,2020,mauritius
5433,,1946,denmark
934,,1996,antigua and barbuda
13834,,2006,non-oecd (eia)
7261,,1929,france
17547,,1991,sierra leone
2487,,2016,benin
2142,,1916,barbados
2799,,1968,botswana
4165,,1905,chile
19688,,1977,tunisia
15776,,1997,palestine
15608,,2019,other non-oecd - asia (eia)
5232,,1960,czechoslovakia
8184,,1993,greenland
19368,0.0,1987,thailand
8949,38.962,1990,hungary
6140,,1990,equatorial guinea
7942,,1996,gibraltar
13209,8.923,2018,netherlands
20264,,1940,ukraine
7223,61.299,2014,finland
10718,,2020,lesotho
16728,,2008,qatar
10601,0.0,1988,latvia
12751,,2001,mozambique
7865,,1961,ghana
13543,,1980,niger
8447,,2008,guatemala
16293,0.0,1984,philippines
16835,,1950,romania
20142,247.115,1981,ussr
4050,,1950,central and south america (shift)
18024,27.007,1990,south america
5066,0.0,1975,cyprus
15156,,1999,opec (shift)
21438,0.0,1994,western africa (ei)
616,,1928,algeria
20769,,2001,united states territories (shift)
14173,,1919,north america (shift)
9233,0.0,1967,india
21058,,2007,vanuatu
13386,0.0,1988,new zealand
7084,,2016,falkland islands
10381,,1901,kuwait
18314,,1923,spain
8583,,2018,guyana
16387,,1955,poland
20012,,2013,u.s. pacific islands (eia)
15637,,2006,other non-oecd - europe and eurasia (eia)
5115,0.0,1966,czechia
17008,,2000,saint helena
13527,,1964,niger
4548,,1999,comoros
6192,,2013,eritrea
2989,,1993,british virgin islands
9230,,1964,india
15565,,2018,other non-oecd - america (eia)
3455,341.986,1991,cis (ei)
19453,,1987,tonga
6598,,1936,europe
606,,1918,algeria
10891,48.238,1991,lithuania
2475,,2004,benin
8875,,1916,hungary
13270,,1994,new caledonia
7237,,1905,france
2633,,1956,bolivia
2891,,1938,brazil
10691,,1993,lesotho
15884,,2021,papua new guinea
4146,,2009,chad
12429,,1985,mongolia
16666,,1946,qatar
20787,,1982,united states virgin islands
20604,,1916,united states
8085,0.0,2017,greece
4001,,1901,central and south america (shift)
4896,,2017,cote d'ivoire
2551,,1996,bhutan
14907,,2014,oecd - europe (eia)
3723,20.461,1972,canada
9597,,1962,iraq
548,,1982,albania
9464,,1952,iran
17514,,2000,seychelles
534,,1968,albania
16879,0.0,1994,romania
17545,,1989,sierra leone
11341,,1972,madagascar
5320,,1955,democratic republic of congo
20153,,1992,ussr
19582,,1994,trinidad and tobago
8834,0.0,1998,hong kong
20638,,1950,united states
6501,,1956,eurasia (shift)
6984,2505.857,2001,european union (27)
11313,,1944,madagascar
20602,,1914,united states
10915,,2015,lithuania
1491,,1996,asia and oceania (shift)
9983,7.457,1979,italy
15280,,1922,oceania
6434,,2011,eurasia (eia)
21970,,1981,zimbabwe
3765,276.951,2014,canada
11593,,2017,maldives
19536,,1948,trinidad and tobago
2719,,2011,bosnia and herzegovina
7474,,2012,g7 (ember)
19301,,1920,thailand
13505,,1942,niger
14144,,2013,north america (ember)
15398,,2017,oceania (ember)
14646,4717.807,2020,oecd (ei)
8462,,1981,guinea
18265,31.582,1997,south and central america (ei)
11876,0.0,1967,mexico
14937,,2002,oecd - north america (eia)
21757,,1982,yugoslavia
11314,,1945,madagascar
18492,,2000,sudan
16950,,1984,rwanda
9426,,1914,iran
4653,,1982,congo
1370,1357.448,1998,asia pacific (ei)
19960,,2003,tuvalu
20211,,2009,uganda
2896,,1943,brazil
11402,,1991,malawi
2150,,1924,barbados
3870,,1992,central & south america (eia)
2016,,1913,bangladesh
12104,0.0,1995,middle east (ei)
9669,,1911,ireland
2870,,1917,brazil
6706,2096.465,1986,europe (ei)
8815,0.0,1979,hong kong
14755,,1941,oecd (shift)
5881,,1940,ecuador
14936,,2001,oecd - north america (eia)
4272,,2012,chile
14631,6490.483,2005,oecd (ei)
1231,345.188,1982,asia
7468,,2006,g7 (ember)
1276,,1984,asia & oceania (eia)
15552,,2005,other non-oecd - america (eia)
8283,,2008,guadeloupe
6007,,1943,egypt
5865,,1924,ecuador
18204,,2004,south korea and other oecd asia (eia)
4801,,1922,cote d'ivoire
20802,,1997,united states virgin islands
4499,0.0,1993,colombia
5953,0.0,2012,ecuador
10679,,1981,lesotho
8647,,1911,high-income countries
14100,2086.381,1992,north america (ei)
19835,,2001,turkey
2509,,1996,bermuda
19624,,1913,tunisia
20191,,1989,uganda
14017,23.407,1967,north america
17994,,1960,south america
7125,,2015,faroe islands
1087,,1996,armenia
3337,,1931,burundi
21289,,1993,vietnam
972,,1912,argentina
12625,0.0,1998,morocco
10082,,1913,japan
3915,,1995,central african republic
8632,,1983,hawaiian trade zone (eia)
12750,,2000,mozambique
15482,,1978,oman
8279,,2004,guadeloupe
21652,,2000,yemen
11379,,2010,madagascar
16896,31.097,2011,romania
4386,120.618,2003,china
14514,,1946,norway
4443,,1937,colombia
21999,,2010,zimbabwe
13504,,1941,niger
12063,,2012,middle africa (ei)
8545,,1980,guyana
6054,0.0,1990,egypt
18788,,1928,switzerland
3012,,2016,british virgin islands
9729,0.0,1971,ireland
3531,,1902,cameroon
13231,,1997,netherlands antilles
1587,,1975,australia
1796,,2019,austria
8156,,1965,greenland
11695,,1992,martinique
8534,,2011,guinea-bissau
4778,,2022,costa rica
10357,,2000,kosovo
21128,,1955,venezuela
16346,,1914,poland
1806,0.0,1991,azerbaijan
20491,,1926,united kingdom
12036,0.0,1985,middle africa (ei)
14513,,1945,norway
7215,62.543,2006,finland
13640,,1955,nigeria
12719,,1969,mozambique
13822,,1994,non-oecd (eia)
4130,,1993,chad
7797,217.415,2016,germany
16800,,1915,romania
10247,0.251,1998,kazakhstan
2699,,2022,bolivia
19925,,2010,turks and caicos islands
2789,,1958,botswana
7193,53.163,1984,finland
1990,,2010,bahrain
15658,,1905,pakistan
7335,1227.475,2003,france
12015,,2021,micronesia (country)
11930,29.938,2021,mexico
10580,,2005,latin america and caribbean (ember)
3602,,1973,cameroon
21699,,1924,yugoslavia
7602,,2017,gabon
14728,,1914,oecd (shift)
1359,756.69,1987,asia pacific (ei)
11362,,1993,madagascar
4513,0.0,2007,colombia
11049,,1903,lower-middle-income countries
12000,,2006,micronesia (country)
1592,,1980,australia
12213,,1917,middle east (shift)
14695,,2004,oecd (ember)
17313,,1931,saudi arabia
2860,,1907,brazil
6628,79.039,1966,europe
17055,,2005,saint kitts and nevis
3022,,1904,brunei
418,,1969,africa (shift)
4885,,2006,cote d'ivoire
19073,0.0,1967,taiwan
12453,,2009,mongolia
21450,,2006,western africa (ei)
6897,,1914,european union (27)
11965,,2013,"mexico, chile, and other oecd americas (eia)"
10051,,2004,jamaica
7656,,1998,georgia
2895,,1942,brazil
2155,,1929,barbados
11937,,1985,"mexico, chile, and other oecd americas (eia)"
10800,,1938,libya
1264,1100.937,2015,asia
7296,,1964,france
15164,,2007,opec (shift)
5269,,1904,democratic republic of congo
14267,,2013,north america (shift)
6173,,1994,eritrea
14121,2471.626,2013,north america (ei)
7266,,1934,france
413,,1964,africa (shift)
21231,,1935,vietnam
12956,,2009,nauru
8091,,1900,greenland
7166,,2014,fiji
18853,65.797,1993,switzerland
16905,28.896,2020,romania
19612,,1901,tunisia
15798,,2019,palestine
14412,,2009,north macedonia
1352,274.657,1980,asia pacific (ei)
21843,,1976,zambia
13025,,1956,nepal
10564,,2011,laos
17666,32.453,1995,slovakia
5342,,1977,democratic republic of congo
18251,9.662,1983,south and central america (ei)
9695,,1937,ireland
529,,1963,albania
15622,,1991,other non-oecd - europe and eurasia (eia)
13032,,1963,nepal
9837,,1956,israel
1936,,1956,bahrain
5807,0.0,1989,eastern africa (ei)
22003,,2014,zimbabwe
20398,,1956,united arab emirates
9451,,1939,iran
13804,2027.682,2019,non-oecd (ei)
8437,,1998,guatemala
9236,3.712,1970,india
1800,0.0,1985,azerbaijan
2271,,2008,belarus
13494,,1931,niger
7567,,1982,gabon
11598,,1980,mali
17725,14.327,2021,slovenia
21205,,1909,vietnam
13383,0.0,1985,new zealand
2484,,2013,benin
252,30.707,2007,africa
18364,18.572,1973,spain
20085,,1924,ussr
3670,,1919,canada
21517,,1908,world
4628,,1957,congo
9406,,2017,indonesia
12435,,1991,mongolia
3661,,1910,canada
1073,16.233,2013,argentina
14204,,1950,north america (shift)
5345,,1980,democratic republic of congo
6653,2945.098,1991,europe
5190,,1918,czechoslovakia
2818,,1987,botswana
12771,,2021,mozambique
9307,,1918,indonesia
12922,,2017,namibia
13942,,2014,non-opec (eia)
20475,,1910,united kingdom
7914,,2010,ghana
13589,,1904,nigeria
16919,309.363,1996,russia
8976,41.109,2017,hungary
6379,,1998,ethiopia
8666,,1930,high-income countries
17081,,1989,saint lucia
8457,,2018,guatemala
20030,,1989,u.s. territories (eia)
5760,,1987,east germany (eia)
15170,,2013,opec (shift)
20588,,1900,united states
12768,,2018,mozambique
12203,,1907,middle east (shift)
7740,,1959,germany
20690,2299.877,2002,united states
8076,0.0,2008,greece
16329,,2020,philippines
2778,,1947,botswana
13429,,1988,nicaragua
19627,,1916,tunisia
4940,,1906,cuba
4105,,2005,central and south america (shift)
6956,113.702,1973,european union (27)
17001,,1993,saint helena
15483,,1979,oman
15542,,1995,other non-oecd - america (eia)
5060,0.0,1969,cyprus
14332,,1961,north korea
11636,,2018,mali
19045,,1939,taiwan
17286,,1904,saudi arabia
4739,,1983,costa rica
17123,,1989,saint pierre and miquelon
8197,,2006,greenland
12220,,1924,middle east (shift)
7934,,1988,gibraltar
653,0.0,1965,algeria
15065,,1908,opec (shift)
8983,,1981,ieo - africa (eia)
17989,,1955,south america
5528,,1998,djibouti
1986,,2006,bahrain
20831,,1904,upper-middle-income countries
8374,,1935,guatemala
2072,,1969,bangladesh
18529,,1914,suriname
1163,,1914,asia
18313,,1922,spain
11536,,2003,malaysia
7373,,1998,french guiana
8984,,1982,ieo - africa (eia)
12745,,1995,mozambique
7807,,1903,ghana
10719,,2021,lesotho
19947,,1990,tuvalu
16801,,1916,romania
19896,,1981,turks and caicos islands
8686,,1950,high-income countries
8989,,1987,ieo - africa (eia)
7974,,1906,greece
17213,,1995,samoa
9852,,1971,israel
17564,,2008,sierra leone
3511,,2004,cambodia
8200,,2009,greenland
15513,,2009,oman
18366,21.406,1975,spain
6991,2386.449,2008,european union (27)
9785,,1904,israel
6557,,2012,eurasia (shift)
8442,,2003,guatemala
4148,,2011,chad
14787,,1973,oecd (shift)
5583,,2011,dominica
9059,,2015,ieo - middle east (eia)
11172,,1968,luxembourg
5674,,1938,eu28 (shift)
6423,,2000,eurasia (eia)
7932,,1986,gibraltar
21976,,1987,zimbabwe
5360,,1995,democratic republic of congo
11035,,2012,low-income countries
13376,0.0,1978,new zealand
21484,,1997,western sahara
8544,,2021,guinea-bissau
20542,113.56,1977,united kingdom
6013,,1949,egypt
3468,406.233,2004,cis (ei)
11055,,1909,lower-middle-income countries
6099,,1992,el salvador
13766,319.551,1981,non-oecd (ei)
14536,0.0,1968,norway
2213,,1987,barbados
14667,,1998,oecd (eia)
15647,,2016,other non-oecd - europe and eurasia (eia)
3061,,1943,brunei
12502,,1997,montserrat
2481,,2010,benin
20189,,1987,uganda
4293,,1910,china
15620,,1989,other non-oecd - europe and eurasia (eia)
9391,,2002,indonesia
21903,,1914,zimbabwe
3105,,1987,brunei
12784,,1912,myanmar
19439,,2015,togo
21654,,2002,yemen
18661,,1924,sweden
16790,,1905,romania
3725,41.7,1974,canada
3956,0.0,1979,central america (ei)
751,,2020,american samoa
15276,,1918,oceania
3871,,1993,central & south america (eia)
2625,,1948,bolivia
6749,,2006,europe (ember)
9117,0.0,1974,iceland
21622,6512.807,2013,world
3436,27.902,1972,cis (ei)
18334,,1943,spain
19208,,1949,tanzania
13285,,2009,new caledonia
17278,,2018,sao tome and principe
2592,,1915,bolivia
19433,,2009,togo
13998,,1948,north america
7948,,2002,gibraltar
2758,,1927,botswana
11934,,1982,"mexico, chile, and other oecd americas (eia)"
11673,,2013,malta
18080,,1923,south korea
13717,,1989,niue
10150,249.191,1981,japan
4554,,2005,comoros
1616,,2004,australia
8418,,1979,guatemala
10639,,1983,lebanon
11079,,1933,lower-middle-income countries
4765,,2009,costa rica
16103,,1917,peru
12911,,2006,namibia
18357,0.0,1966,spain
