Unnamed__0,production_budget,release_year,content_rating
356,102000000,2002,pg-13
357,30000000,2002,pg
358,90000000,2002,pg-13
359,120000000,2002,pg
360,63000000,2002,pg-13
361,70702619,2002,pg-13
362,50000000,2002,r
363,70000000,2002,pg-13
364,12000000,2002,pg-13
365,38000000,2002,pg-13
366,78000000,2002,r
367,21000000,2002,pg-13
368,48000000,2002,pg-13
369,70000000,2002,pg-13
370,41000000,2002,r
371,100000000,2002,pg
372,142000000,2002,pg-13
373,60000000,2002,r
374,55000000,2002,pg-13
375,30000000,2002,r
376,97000000,2002,r
377,52000000,2002,pg-13
378,30000000,2002,pg-13
379,25000000,2002,pg-13
380,19000000,2003,pg-13
381,26000000,2003,r
382,50000000,2003,pg-13
383,50000000,2003,pg-13
384,80000000,2003,pg-13
385,24000000,2003,r
386,25000000,2003,r
387,20000000,2003,pg-13
388,75000000,2003,r
389,55000000,2003,r
390,68000000,2003,r
391,50000000,2003,r
392,35200000,2003,pg-13
393,85000000,2003,pg-13
394,36000000,2003,r
395,11000000,2003,r
396,25000000,2003,pg
397,56000000,2003,pg-13
398,20000000,2003,pg
399,28000000,2003,r
400,60000000,2003,pg
401,127000000,2003,r
402,81000000,2003,pg-13
403,94000000,2003,g
404,60000000,2003,pg-13
405,76000000,2003,pg-13
406,75000000,2003,pg-13
407,137000000,2003,pg-13
408,15000000,2003,r
409,78000000,2003,pg-13
410,130000000,2003,r
411,86000000,2003,pg-13
412,26000000,2003,pg
413,25000000,2003,r
414,26000000,2003,r
415,29000000,2003,r
416,4000000,2003,r
417,22000000,2003,r
418,50000000,2003,pg-13
419,30000000,2003,r
420,55000000,2003,r
421,60000000,2003,pg-13
422,45000000,2003,pg-13
423,110000000,2003,r
424,32000000,2003,pg
425,135000000,2003,pg-13
426,18000000,2003,r
427,65000000,2003,r
428,18000000,2003,pg-13
429,120000000,2003,r
430,70000000,2003,pg-13
431,80000000,2003,pg-13
432,55000000,2003,pg-13
433,65000000,2003,pg-13
434,40000000,2003,pg
435,80000000,2003,r
436,60000000,2003,pg-13
437,100000000,2003,pg
438,75000000,2004,pg-13
439,25000000,2004,r
440,50000000,2004,r
441,78000000,2004,pg-13
442,60000000,2004,pg-13
443,40000000,2004,pg-13
444,28000000,2004,r
445,20000000,2004,r
446,35000000,2004,pg-13
447,35000000,2004,r
448,60000000,2004,pg-13
449,56000000,2004,pg-13
450,60000000,2004,r
451,18000000,2004,pg-13
452,170000000,2004,pg-13
453,150000000,2004,r
454,70000000,2004,pg
455,50000000,2004,pg-13
456,125000000,2004,pg-13
457,130000000,2004,pg
458,400000,2004,pg
459,120000000,2004,pg-13
460,100000000,2004,pg-13
461,110000000,2004,pg
462,75000000,2004,pg-13
463,6000000,2004,r
464,20000000,2004,pg-13
465,30000000,2004,pg-13
466,200000000,2004,pg-13
467,90000000,2004,pg-13
468,85000000,2004,pg-13
469,2500000,2004,r
470,80000000,2004,r
471,71682975,2004,pg-13
472,60000000,2004,r
473,45000000,2004,pg-13
474,60000000,2004,pg-13
475,75000000,2004,pg
476,30000000,2004,pg-13
477,17000000,2004,r
478,92000000,2004,pg
479,170000000,2004,g
480,57000000,2004,pg-13
481,25000000,2004,pg
482,100000000,2004,pg
483,155000000,2004,r
484,35000000,2004,r
485,50000000,2004,r
486,85000000,2004,pg-13
487,30000000,2004,pg-13
488,110000000,2004,pg-13
489,100000000,2004,pg
490,75000000,2004,pg-13
491,60000000,2004,pg-13
492,55000000,2004,pg-13
493,45000000,2004,pg
494,26000000,2004,pg-13
495,20000000,2005,pg
496,20000000,2005,r
497,55000000,2005,pg-13
498,75000000,2005,r
499,75000000,2005,pg-13
500,56000000,2005,pg
501,80000000,2005,pg
502,40000000,2005,r
503,90000000,2005,pg-13
504,6500000,2005,r
505,45000000,2005,pg-13
506,82000000,2005,pg-13
507,75000000,2005,pg
508,88000000,2005,pg-13
509,150000000,2005,pg-13
510,80000000,2005,pg-13
511,87500000,2005,pg-13
512,150000000,2005,pg
513,53000000,2005,pg-13
514,30000000,2005,r
515,18000000,2005,pg-13
516,39000000,2005,pg-13
517,30000000,2005,g
518,50000000,2005,r
519,54000000,2005,pg-13
520,18000000,2005,pg-13
521,5000000,2005,r
522,80000000,2005,pg
523,60000000,2005,g
524,72000000,2005,r
525,150000000,2005,pg-13
526,29000000,2005,pg-13
527,13900000,2005,r
528,85000000,2005,pg-13
529,207000000,2005,pg-13
530,60000000,2005,pg
531,16000000,2005,pg-13
532,232000000,2006,pg-13
533,225000000,2006,pg-13
534,135000000,2006,r
535,12000000,2006,pg-13
536,33000000,2006,r
537,20000000,2006,pg-13
538,60000000,2006,r
539,30000000,2006,pg-13
540,55000000,2006,pg-13
541,60000000,2006,pg-13
542,6000000,2006,r
543,20000000,2006,pg-13
544,15000000,2006,pg-13
545,90000000,2006,r
546,14000000,2006,r
547,20000000,2006,pg
548,40000000,2006,pg-13
549,14000000,2006,pg-13
550,10000000,2006,r
551,149000000,2006,pg
552,35000000,2006,pg-13
553,30000000,2006,pg-13
554,14000000,2006,r
555,12000000,2006,pg-13
556,85000000,2006,pg
557,102000000,2006,pg-13
558,35000000,2006,pg-13
559,35000000,2006,pg
560,40000000,2006,r
561,100000000,2006,r
562,85000000,2006,pg-13
563,82500000,2006,g
564,75000000,2006,pg-13
565,32000000,2006,r
566,55000000,2006,pg-13
567,13000000,2006,r
568,110000000,2006,pg
569,76000000,2006,r
570,63700000,2006,r
571,30000000,2006,pg
572,20000000,2007,pg-13
573,21000000,2007,pg-13
574,20000000,2007,pg-13
575,17000000,2007,r
576,50000000,2007,r
577,120000000,2007,pg-13
578,32000000,2007,r
579,60000000,2007,r
580,14000000,2007,r
581,20000000,2007,r
582,60000000,2007,r
583,40000000,2007,r
584,20000000,2007,pg-13
585,16000000,2007,r
586,55000000,2007,pg-13
587,258000000,2007,pg-13
588,20000000,2007,r
589,300000000,2007,pg-13
590,27500000,2007,r
591,85000000,2007,pg-13
592,175000000,2007,pg
593,15000000,2007,r
594,4000000,2007,r
595,110000000,2007,pg-13
596,150000000,2007,g
597,35000000,2007,pg
598,151000000,2007,pg-13
599,150000000,2007,pg-13
600,75000000,2007,pg
601,85000000,2007,pg-13
602,40000000,2007,r
603,72500000,2007,pg-13
604,130000000,2007,pg-13
605,180000000,2007,pg-13
606,70000000,2007,pg-13
607,20000000,2007,r
608,17500000,2007,r
609,48000000,2007,r
610,23000000,2007,r
611,20000000,2007,r
612,45000000,2007,r
613,22000000,2007,pg
614,72500000,2007,r
615,28000000,2007,r
616,27500000,2007,r
617,100000000,2007,r
618,150000000,2007,pg
619,35000000,2007,r
620,150000000,2007,pg-13
621,45000000,2007,r
622,5000000,2007,r
623,85000000,2007,pg
624,13000000,2007,r
625,7000000,2007,pg-13
626,30000000,2007,r
627,55000000,2007,pg
628,20000000,2007,pg-13
629,150000000,2007,pg-13
630,15000000,2007,pg-13
631,27500000,2008,pg-13
632,30000000,2008,r
633,55000000,2008,pg-13
634,186000000,2008,pg-13
635,60000000,2008,r
636,137500000,2008,pg-13
637,180000000,2008,g
638,75000000,2008,r
639,185000000,2008,pg-13
640,175000000,2008,pg-13
641,90000000,2008,r
642,15000000,2008,pg-13
643,65000000,2008,r
644,25000000,2008,pg-13
645,45000000,2008,pg-13
646,20000000,2008,pg-13
647,45000000,2008,r
648,60000000,2008,r
649,20000000,2008,pg-13
650,20000000,2008,pg-13
651,20000000,2008,r
652,80000000,2008,pg-13
653,500000,2008,pg
654,2500000,2008,r
655,20000000,2008,pg-13
656,10000000,2008,pg-13
657,12000000,2008,r
658,67500000,2008,r
659,38000000,2008,pg
660,24000000,2008,r
661,14000000,2008,r
662,37000000,2008,pg-13
663,29000000,2008,r
664,33000000,2008,r
665,6000000,2008,r
666,60000000,2008,g
667,50000000,2008,pg-13
668,160000000,2008,pg-13
669,75000000,2008,pg-13
670,26000000,2009,pg
671,60000000,2009,pg
672,50000000,2009,pg-13
673,20000000,2009,pg-13
674,175000000,2009,pg
675,60000000,2009,pg-13
676,25000000,2009,pg-13
677,30000000,2009,pg-13
678,175000000,2009,pg
679,21000000,2009,r
680,35000000,2009,r
681,100000000,2009,pg-13
682,55000000,2009,pg
683,40000000,2009,pg-13
684,60000000,2009,pg-13
685,210000000,2009,pg-13
686,27500000,2009,pg-13
687,250000000,2009,pg
688,30000000,2009,r
689,70000000,2009,r
690,29000000,2009,r
691,100000000,2009,pg
692,15000,2009,r
693,80000000,2009,pg-13
694,23600000,2009,r
695,60000000,2009,pg-13
696,6400000,2009,r
697,53000000,2009,r
698,100000000,2009,pg
699,11000000,2009,r
700,24000000,2009,r
701,200000000,2009,pg-13
702,25000000,2009,pg-13
703,30000000,2009,pg-13
704,8300000,2010,pg-13
705,210000000,2010,pg-13
706,160000000,2010,pg-13
707,85000000,2010,pg-13
708,37000000,2010,r
