Unnamed__0,country,energy_cons_change_twh
1401,asia and oceania (shift),
2621,bolivia,
21276,vietnam,6.833
10605,latvia,-22.645
5242,czechoslovakia,
7899,ghana,0.565
8119,greenland,
6798,europe (shift),
21079,venezuela,
16671,qatar,
20912,upper-middle-income countries,-3080.27
15371,oceania,21.187
10497,kuwait,7.615
18078,south korea,
18942,syria,
15961,persian gulf (eia),289.604
18074,south korea,
17358,saudi arabia,39.533
10315,kiribati,
6593,europe,
19125,taiwan,-24.583
8566,guyana,-0.157
19013,taiwan,
16716,qatar,-41.094
18723,sweden,25.282
1562,australia,
15448,oman,
11380,madagascar,1.231
305,africa (ei),42.818
11162,lower-middle-income countries,768.238
12824,myanmar,
6010,egypt,
12220,middle east (shift),
11899,mexico,109.242
3221,bulgaria,17.738
10617,latvia,5.037
6780,europe (shift),
10293,kenya,0.811
15048,opec (eia),299.08
2318,belgium,
15715,pakistan,
13277,new caledonia,-0.438
21868,zambia,1.36
9873,israel,21.919
4933,croatia,-3.727
18812,switzerland,
384,africa (shift),
9430,iran,
4772,costa rica,1.553
3668,canada,
6700,europe (ei),-513.234
813,angola,
19204,tanzania,
7619,gambia,-0.004
13112,netherlands,
6038,egypt,13.465
20233,ukraine,
461,africa (shift),
19897,turks and caicos islands,0.0
17412,senegal,0.141
4952,cuba,
4682,congo,3.984
7441,g20 (ember),
3344,burundi,
8626,haiti,-1.379
5413,denmark,
5115,czechia,3.506
15934,persian gulf (eia),140.858
3375,burundi,
15870,papua new guinea,1.769
8266,guadeloupe,0.238
13985,north america,
12894,myanmar,
15016,opec (eia),94.624
9889,israel,7.429
7658,georgia,-6.89
11492,malaysia,
9799,israel,
11513,malaysia,5.541
8636,high-income countries,
18255,south and central america (ei),137.883
19563,trinidad and tobago,-11.55
8755,high-income countries,-844.648
310,africa (ei),146.843
2785,botswana,
15417,oman,
2250,belarus,6.781
10704,lesotho,0.194
19389,thailand,-0.145
6429,eurasia (eia),449.144
11271,madagascar,
5679,eu28 (shift),
21456,western africa (ei),24.504
16462,portugal,
14968,opec (ei),
19054,taiwan,
3663,canada,
20234,ukraine,
6967,european union (27),471.243
1637,australia and new zealand (eia),56.804
11021,low-income countries,-8.166
3885,central & south america (eia),178.153
16456,portugal,
6113,el salvador,1.96
7360,french guiana,-0.004
18341,spain,
14017,north america,616.236
1891,bahrain,
12957,nauru,0.012
13895,non-opec (ei),
17744,solomon islands,-0.002
5325,democratic republic of congo,
13540,niger,
8401,guatemala,
635,algeria,
17193,saint vincent and the grenadines,0.151
18120,south korea,
12576,morocco,
9847,israel,1.637
7078,falkland islands,-0.008
10564,laos,9.23
17971,south america,
16987,rwanda,-0.187
5316,democratic republic of congo,
2376,belgium,26.782
10129,japan,
12278,middle east (shift),
16,asean (ember),
6410,eurasia (eia),596.516
13461,nicaragua,0.471
17699,slovenia,3.548
9291,indonesia,
7003,european union (27),-1280.202
20544,united kingdom,116.846
11274,madagascar,
2184,barbados,
20104,ussr,
20248,ukraine,
20691,united states,82.266
16575,portugal,-27.431
11358,madagascar,-1.646
11249,macao,0.549
13067,nepal,2.241
15985,persian gulf (shift),
20549,united kingdom,-0.993
13509,niger,
15088,opec (shift),
1906,bahrain,
12147,middle east (eia),86.486
4074,central and south america (shift),
12523,montserrat,0.014
16000,persian gulf (shift),
16408,poland,65.252
21124,venezuela,
13129,netherlands,
13701,nigeria,10.351
13080,nepal,1.549
11191,luxembourg,-1.733
9979,italy,-33.98
16898,romania,-26.34
119,afghanistan,-0.143
18119,south korea,
16231,philippines,
16194,peru,14.36
12414,mongolia,
11378,madagascar,-1.283
10697,lesotho,0.43
14289,north korea,
17067,saint kitts and nevis,-0.001
19160,tanzania,
3040,brunei,
4045,central and south america (shift),
17810,somalia,0.203
21769,zambia,
3376,burundi,
14069,north america,-239.355
9111,iceland,0.455
1072,argentina,34.615
14930,oecd - north america (eia),571.184
12830,myanmar,
10724,liberia,-0.918
5670,eu28 (shift),
1589,australia,36.88
433,africa (shift),
8146,greenland,
14345,north korea,
17014,saint helena,-0.003
21762,yugoslavia,16.308
12029,middle africa (ei),6.717
7995,greece,
10241,kazakhstan,-11.062
7244,france,
13158,netherlands,25.423
15332,oceania,44.212
6959,european union (27),892.567
1699,austria,
17493,serbia and montenegro,-15.977
21253,vietnam,
18569,suriname,
19516,trinidad and tobago,
1071,argentina,25.122
7283,france,
1537,australia,
8637,high-income countries,
20753,united states territories (shift),
12878,myanmar,-4.395
2381,belgium,8.212
2076,bangladesh,4.29
18239,south and central america (ei),103.571
114,afghanistan,-17.843
13009,nepal,
3761,canada,34.781
9426,iran,
12671,mozambique,
12646,morocco,22.027
8032,greece,
20087,ussr,
15379,oceania,1.175
5844,ecuador,
1592,australia,2.956
18982,syria,6.441
3920,central african republic,-0.051
3948,central america (ei),2.082
17341,saudi arabia,
13993,north america,
8204,greenland,0.022
12140,middle east (eia),173.522
10100,japan,
16464,portugal,
12900,namibia,3.445
20979,uruguay,3.164
1857,bahamas,-1.899
32,afghanistan,
1197,asia,
3562,cameroon,
17760,solomon islands,-0.006
12647,morocco,-23.478
8377,guatemala,
12660,mozambique,
16398,poland,15.125
11586,maldives,0.049
3942,central america (ei),
20587,united kingdom,32.499
19775,turkey,
8489,guinea,0.099
4417,colombia,
1410,asia and oceania (shift),
20629,united states,
5937,ecuador,13.095
21314,vietnam,118.204
18337,spain,
13537,niger,
14708,oecd (ember),
13239,netherlands antilles,2.056
14175,north america (shift),
864,angola,4.02
5344,democratic republic of congo,
12425,mongolia,-6.723
20695,united states,365.668
14809,oecd (shift),
10761,liberia,0.289
2587,bolivia,
17386,saudi arabia,133.257
9313,indonesia,
10975,low-income countries,
18953,syria,
2479,benin,0.376
12831,myanmar,
4427,colombia,
13428,nicaragua,0.468
19258,tanzania,0.831
21964,zimbabwe,
496,albania,
19183,tanzania,
15410,oman,
20310,ukraine,-200.129
13576,niger,1.149
3195,bulgaria,
13194,netherlands,7.015
3183,bulgaria,
1364,asia pacific (ei),1009.012
1035,argentina,-9.707
11283,madagascar,
12712,mozambique,
17109,saint lucia,0.156
12857,myanmar,0.252
7859,ghana,
427,africa (shift),
14979,opec (ei),
4804,cote d'ivoire,
9933,italy,
7330,france,67.52
15957,persian gulf (eia),579.379
6467,eurasia (shift),
7472,g7 (ember),
19766,turkey,
2772,botswana,
18829,switzerland,7.581
14956,oecd - north america (eia),1544.094
11516,malaysia,20.801
12344,mongolia,
5688,eu28 (shift),
13307,new zealand,
6388,ethiopia,3.365
12296,middle east (shift),
17172,saint vincent and the grenadines,-0.055
15879,papua new guinea,1.693
20086,ussr,
19421,togo,-0.186
2087,bangladesh,3.252
15305,oceania,
18251,south and central america (ei),20.116
19142,tajikistan,1.517
2237,barbados,0.365
16175,peru,-9.237
8825,hong kong,9.21
485,albania,
711,american samoa,
303,africa (ei),70.469
5031,cuba,12.596
18492,sudan,9.505
17105,saint lucia,-0.005
12448,mongolia,-0.804
5908,ecuador,0.747
9395,indonesia,24.273
113,afghanistan,-0.306
1553,australia,
10537,laos,-0.333
10517,kyrgyzstan,1.099
7403,french polynesia,0.868
17078,saint lucia,0.002
1572,australia,
14200,north america (shift),
10318,kiribati,0.0
17620,singapore,44.426
2319,belgium,
15414,oman,
17571,sierra leone,-0.971
9866,israel,-7.689
18346,spain,
21540,world,
715,american samoa,0.252
5721,eu28 (shift),
5165,czechia,-6.342
9682,ireland,
9226,india,
20893,upper-middle-income countries,689.704
20868,upper-middle-income countries,
6048,egypt,26.3
1920,bahrain,
10603,latvia,1.429
21397,wake island (shift),
9244,india,42.653
10533,laos,
10499,kuwait,-41.519
16032,persian gulf (shift),
12050,middle africa (ei),3.397
19403,thailand,15.567
21239,vietnam,
21367,wake island (shift),
21513,world,
2639,bolivia,
4119,chad,0.0
2749,botswana,
374,africa (shift),
9175,india,
1462,asia and oceania (shift),
20798,united states virgin islands,0.191
8951,hungary,-12.249
8612,haiti,0.382
14941,oecd - north america (eia),-86.77
9459,iran,
10659,lebanon,0.765
11989,micronesia (country),0.0
21492,western sahara,0.0
18979,syria,13.922
21579,world,3414.559
17482,serbia and montenegro,-2.78
392,africa (shift),
11409,malawi,0.367
10173,japan,71.298
513,albania,
7249,france,
4811,cote d'ivoire,
14131,north america (ember),
8598,haiti,0.049
665,algeria,8.11
15790,palestine,1.449
1326,asia (ember),
12231,middle east (shift),
2897,brazil,
3718,canada,67.5
2628,bolivia,
4069,central and south america (shift),
5227,czechoslovakia,
2345,belgium,
6605,europe,
8940,hungary,-3.258
544,albania,
17769,somalia,
12306,middle east (shift),
19471,tonga,0.032
19032,taiwan,
15352,oceania,52.279
9414,iran,
236,africa,-2.917
8212,greenland,0.022
20577,united kingdom,37.57
2488,benin,1.68
17943,south america,
8002,greece,
4539,comoros,0.041
6850,europe (shift),
18808,switzerland,
5914,ecuador,1.193
6588,europe,
17536,sierra leone,
2002,bahrain,
12615,morocco,3.922
17942,south america,
9660,ireland,
13888,non-opec (ei),
19836,turkey,74.002
9520,iran,69.376
5559,dominica,0.059
19867,turkmenistan,-23.074
8847,hong kong,8.155
5329,democratic republic of congo,
9505,iran,-72.676
13823,non-oecd (eia),1345.004
21290,vietnam,11.473
7540,gabon,
21236,vietnam,
8325,guam,-4.375
18627,suriname,0.997
1097,armenia,-0.056
1366,asia pacific (ei),1318.209
10747,liberia,-0.189
6823,europe (shift),
7318,france,59.843
14149,north america (ember),
19006,taiwan,
21403,west germany (eia),161.816
17941,south america,
19851,turkey,100.221
4866,cote d'ivoire,2.255
7344,france,-1.138
20662,united states,-497.188
13657,nigeria,
14595,oecd (ei),2344.723
5776,east timor,-0.043
19329,thailand,
21117,venezuela,
14360,north korea,-59.166
21374,wake island (shift),
21506,western sahara,-0.0
13205,netherlands,-46.554
1435,asia and oceania (shift),
6422,eurasia (eia),93.127
13395,new zealand,0.034
18322,spain,
836,angola,1.257
21604,world,2252.086
14483,norway,
21647,yemen,4.337
11632,mali,1.666
4342,china,
19065,taiwan,
3584,cameroon,
5924,ecuador,-0.974
18840,switzerland,20.237
17120,saint pierre and miquelon,0.129
2194,barbados,
16246,philippines,
17771,somalia,-0.061
3460,cis (ei),-310.555
5736,eu28 (shift),
17853,south africa,
6685,europe (ei),
18642,sweden,
21940,zimbabwe,
13673,nigeria,13.103
14819,oecd (shift),
1245,asia,1400.582
20939,upper-middle-income countries,1928.828
2317,belgium,
5112,cyprus,1.561
16659,qatar,
14691,oecd (ember),
17168,saint vincent and the grenadines,0.084
15578,other non-oecd - asia (eia),184.298
219,africa,54.431
2709,bosnia and herzegovina,-0.333
21368,wake island (shift),
12019,middle africa (ei),1.526
12045,middle africa (ei),-2.605
1509,asia and oceania (shift),
17047,saint kitts and nevis,-0.001
6900,european union (27),
18413,spain,55.771
3984,central america (ei),10.676
6681,europe,-483.723
10521,kyrgyzstan,-2.643
14836,oecd - asia and oceania (eia),95.18
13139,netherlands,
3982,central america (ei),1.742
12183,middle east (ember),
20425,united arab emirates,-5.451
21986,zimbabwe,-0.72
6466,eurasia (shift),
16538,portugal,4.857
8034,greece,7.504
12688,mozambique,
12896,namibia,-4.761
16207,peru,38.731
5169,czechia,-35.337
3786,cape verde,0.063
4263,chile,1.688
8772,honduras,-0.048
10941,low-income countries,
7188,finland,19.925
21136,venezuela,
15629,other non-oecd - europe and eurasia (eia),-223.906
3956,central america (ei),3.042
13669,nigeria,12.133
10253,kazakhstan,29.112
13961,north america,
19334,thailand,
16512,portugal,
13774,non-oecd (ei),820.582
18577,suriname,
15783,palestine,4.047
5662,eu28 (shift),
13674,nigeria,16.078
6573,europe,
17182,saint vincent and the grenadines,-0.008
6086,egypt,52.277
4958,cuba,
5422,denmark,
225,africa,117.674
6699,europe (ei),743.887
7093,faroe islands,0.001
7950,gibraltar,
9575,iraq,
5586,dominica,0.024
9884,israel,7.053
16776,reunion,0.0
10217,jordan,6.795
7620,gambia,0.002
1841,bahamas,-3.777
1544,australia,
18474,sudan,1.317
8947,hungary,-7.997
4732,cook islands,0.026
4324,china,
17359,saudi arabia,52.968
20320,ukraine,-22.556
20381,united arab emirates,
15889,paraguay,0.633
6662,europe,364.295
16152,peru,12.138
7058,falkland islands,-0.062
766,angola,
2740,botswana,
18138,south korea,21.307
16622,qatar,
15843,papua new guinea,
16956,rwanda,0.155
8508,guinea-bissau,0.058
17597,singapore,6.791
10706,lesotho,-0.37
5786,eastern africa (ei),4.393
20400,united arab emirates,
1275,asia & oceania (eia),526.118
2161,barbados,
6985,european union (27),-124.781
8861,hungary,
17960,south america,
21582,world,3653.617
9821,israel,
21487,western sahara,0.137
9894,israel,-15.176
17042,saint kitts and nevis,0.001
7052,falkland islands,0.0
5871,ecuador,
722,american samoa,0.0
9536,iraq,
15065,opec (shift),
10740,liberia,0.213
10344,kiribati,-0.038
13521,niger,
14485,norway,
6488,eurasia (shift),
19038,taiwan,
10433,kuwait,
15739,pakistan,13.076
15950,persian gulf (eia),135.341
8746,high-income countries,2803.516
16341,poland,
15021,opec (eia),184.762
11921,mexico,19.871
14975,opec (ei),
12661,mozambique,
20090,ussr,
850,angola,3.02
21813,zambia,
15165,opec (shift),
4223,chile,
15321,oceania,
9134,iceland,-0.5
12813,myanmar,
1451,asia and oceania (shift),
9205,india,
15908,paraguay,6.95
19197,tanzania,
8424,guatemala,1.957
12216,middle east (shift),
17801,somalia,0.011
4489,colombia,10.581
1466,asia and oceania (shift),
21728,yugoslavia,
6626,europe,
14538,norway,12.335
20219,uganda,2.653
1652,australia and new zealand (eia),31.608
6729,europe (ei),-1498.777
20579,united kingdom,-131.484
12456,mongolia,3.822
15357,oceania,52.927
12566,morocco,
2201,barbados,
4889,cote d'ivoire,0.846
21209,vietnam,
1343,asia pacific (ei),791.557
13447,nicaragua,0.096
5086,cyprus,1.498
6491,eurasia (shift),
2455,benin,-0.017
15453,oman,
2955,brazil,52.296
8727,high-income countries,405.984
15953,persian gulf (eia),266.268
3401,burundi,-0.067
5596,dominican republic,1.065
21778,zambia,
16546,portugal,7.488
7469,g7 (ember),
4943,cuba,
17627,singapore,15.802
11953,"mexico, chile, and other oecd americas (eia)",33.283
20012,u.s. pacific islands (eia),-0.003
6339,eswatini,0.858
7097,faroe islands,0.079
17217,samoa,0.015
12981,nepal,
20611,united states,
443,africa (shift),
8888,hungary,
14543,norway,4.847
16158,peru,-7.871
19966,tuvalu,0.0
7909,ghana,1.148
11659,malta,1.24
19653,tunisia,
5615,dominican republic,-2.404
21756,yugoslavia,63.052
16183,peru,-2.669
11293,madagascar,
8452,guatemala,4.405
13902,non-opec (ei),
14235,north america (shift),
5551,djibouti,0.134
14896,oecd - europe (eia),363.637
3109,brunei,-4.127
1723,austria,
14675,oecd (eia),197.141
12807,myanmar,
9996,italy,-7.803
4172,chile,
4557,comoros,0.009
13934,non-opec (eia),4064.023
19175,tanzania,
4699,cook islands,-0.001
11710,martinique,0.372
21312,vietnam,70.023
16656,qatar,
51,afghanistan,
676,algeria,20.254
15538,other non-oecd - america (eia),57.771
3260,bulgaria,-7.27
20655,united states,531.177
5072,cyprus,-0.422
18710,sweden,29.621
4552,comoros,0.128
14596,oecd (ei),2123.129
18670,sweden,
800,angola,
14834,oecd - asia and oceania (eia),-51.077
8100,greenland,
9687,ireland,
2503,bermuda,-1.116
14852,oecd - asia and oceania (eia),22.47
15264,oceania,
19105,taiwan,42.298
11922,mexico,1.419
18185,south korea and other oecd asia (eia),41.05
809,angola,
21278,vietnam,3.697
9386,indonesia,79.549
15490,oman,2.57
18128,south korea,13.724
21324,wake island (eia),-0.076
6435,eurasia (eia),-44.369
4825,cote d'ivoire,
6617,europe,
16509,portugal,
2174,barbados,
14918,oecd - north america (eia),-138.428
9431,iran,
15022,opec (eia),173.912
14709,oecd (ember),
85,afghanistan,
10187,japan,-28.21
5747,eu28 (shift),
2340,belgium,
10990,low-income countries,
10467,kuwait,-10.532
21489,western sahara,0.0
21023,uzbekistan,-25.721
16616,puerto rico,0.422
1924,bahrain,
1992,bahrain,12.655
17400,saudi arabia,-80.142
7114,faroe islands,0.094
9774,ireland,7.728
3581,cameroon,
14458,northern mariana islands,0.0
7707,germany,
3384,burundi,
12907,namibia,-0.565
12703,mozambique,
3001,british virgin islands,0.015
3726,canada,-34.462
1254,asia,3566.785
6360,eswatini,0.502
13560,niger,0.021
2182,barbados,
12920,namibia,1.021
14698,oecd (ember),
18453,sri lanka,-1.555
974,argentina,
16587,puerto rico,-0.01
8463,guinea,0.063
14070,north america,-2454.744
2912,brazil,
19912,turks and caicos islands,-0.0
1422,asia and oceania (shift),
1561,australia,
1214,asia,
2921,brazil,43.907
12709,mozambique,
6787,europe (shift),
12589,morocco,
8042,greece,-3.996
21437,western africa (ei),1.717
20353,united arab emirates,
20924,upper-middle-income countries,15.127
3300,burkina faso,-0.612
5826,eastern africa (ei),-3.223
6556,eurasia (shift),
14640,oecd (ei),-530.043
9360,indonesia,-5.054
11374,madagascar,-0.326
1007,argentina,
16787,romania,
17030,saint kitts and nevis,
20239,ukraine,
11934,"mexico, chile, and other oecd americas (eia)",70.177
6726,europe (ei),219.93
4198,chile,
13886,non-opec (ei),
3998,central america (ei),46.731
2407,belgium,74.362
9387,indonesia,-17.126
7023,european union (eia),-52.791
19466,tonga,-0.124
3865,central & south america (eia),54.847
7573,gabon,0.541
5368,democratic republic of congo,0.877
21952,zimbabwe,
20017,u.s. pacific islands (eia),0.0
6312,eswatini,
5514,djibouti,-0.624
9624,iraq,30.521
11855,mexico,
19308,thailand,
14922,oecd - north america (eia),825.936
18445,sri lanka,2.117
10404,kuwait,
5212,czechoslovakia,
10021,italy,21.189
9920,italy,
5386,democratic republic of congo,-1.808
1425,asia and oceania (shift),
13392,new zealand,10.891
3955,central america (ei),4.275
12701,mozambique,
12282,middle east (shift),
12458,mongolia,-1.204
9633,iraq,-105.559
9668,ireland,
5401,denmark,
7032,european union (eia),137.965
5789,eastern africa (ei),1.015
7541,gabon,
12319,moldova,-2.913
7816,ghana,
19564,trinidad and tobago,5.959
8123,greenland,
19603,trinidad and tobago,-6.809
9639,iraq,21.971
17927,south africa,63.709
12292,middle east (shift),
16088,peru,
6812,europe (shift),
3664,canada,
10739,liberia,0.0
11035,low-income countries,-58.482
7941,gibraltar,
9488,iran,40.82
6398,ethiopia,1.018
14648,oecd (ei),567.324
216,africa,60.133
16197,peru,23.27
6551,eurasia (shift),
981,argentina,
2401,belgium,6.571
12362,mongolia,
20506,united kingdom,
3281,burkina faso,1.857
14433,northern mariana islands,0.0
15267,oceania,
5339,democratic republic of congo,
7604,gabon,-2.621
4366,china,320.828
7994,greece,
21891,zimbabwe,
15639,other non-oecd - europe and eurasia (eia),106.793
8878,hungary,
14590,norway,-42.361
11641,malta,0.546
4397,china,876.945
13068,nepal,1.638
7269,france,
2063,bangladesh,
20567,united kingdom,-60.765
15771,pakistan,30.032
5865,ecuador,
4328,china,
20280,ukraine,
12396,mongolia,
13494,niger,
10624,latvia,-5.334
10977,low-income countries,
15737,pakistan,11.437
13803,non-oecd (ei),3316.758
16079,persian gulf (shift),
11677,malta,4.524
6134,equatorial guinea,0.001
4944,cuba,
71,afghanistan,
5173,czechoslovakia,
445,africa (shift),
8144,greenland,
10929,low-income countries,
17738,solomon islands,0.0
3140,brunei,
20461,united arab emirates,28.738
6836,europe (shift),
1038,argentina,0.669
2378,belgium,-1.37
11341,madagascar,
18432,sri lanka,-0.358
2527,bermuda,0.675
3486,cis (ei),-651.463
10062,jamaica,1.096
264,africa,126.024
5801,eastern africa (ei),6.2
9093,ieo oecd - europe (eia),-140.951
14078,north america (ei),771.238
4412,colombia,
12836,myanmar,
8195,greenland,-0.105
13295,new caledonia,-0.144
19737,turkey,
16479,portugal,
12795,myanmar,
21805,zambia,
3994,central america (ei),13.436
9545,iraq,
19981,u.s. pacific islands (eia),0.0
11548,malaysia,17.072
16834,romania,
7671,georgia,6.896
19991,u.s. pacific islands (eia),-0.089
19231,tanzania,
13376,new zealand,-1.328
7766,germany,123.338
18849,switzerland,-22.275
11799,mauritius,0.146
15159,opec (shift),
13301,new zealand,
14419,north macedonia,1.107
