chart_id,chart_type,status,question,explanation,operation_spec,feedback,updated_at
2jki13q54zizc6i4,simpleLine,pending,"If you compare the average value from july 2008 until june 2012 and july 2013 until june 2017, which value is higher?","1. Take the four values from Jul 2008_un 2012 (3136, 3136, 3620, 2942) and compute their average. 
2. Then take the four values from Jul 2013_un 2017 (1948, 2663, 4111, 5550) and compute their average. 
3. The first period averages about 3209.5 trucks, while the second averages about 3568 trucks, so the Jul 2013_un 2017 average is higher.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Period"",""include"":[""Jul 2008–Jun 2009"",""Jul 2009–Jun 2010"",""Jul 2010–Jun 2011"",""Jul 2011–Jun 2012""]},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Number of trucks""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Period"",""include"":[""Jul 2013–Jun 2014"",""Jul 2014–Jun 2015"",""Jul 2015–Jun 2016"",""Jul 2016–Jun 2017""]},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Number of trucks""}],""ops3"":[{""op"":""compareBool"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4"",""n2""],""sentenceIndex"":3},""operator"":"">"",""targetA"":""ref:n4"",""targetB"":""ref:n2""}]}",,2026-05-22T14:42:22Z
0pzdf7hfbxgjghsa,simpleBar,pending,How big was the change from 2016 to 2017 compared to the change from 2017 to 2018?,"1. Read the production values for 2016 (2.09), 2017 (3.48), and 2018 (3.70). 
2. Compute the year-to-year change from 2016 to 2017 (3.48  2.09) and from 2017 to 2018 (3.70  3.48). 
3. Compare these two changes by subtracting the smaller change from the larger one.","{""ops"":[{""op"":""lagDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""orderField"":""Year"",""order"":""asc"",""absolute"":false}],""ops2"":[{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""target"":""2017""},{""op"":""retrieveValue"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1""],""sentenceIndex"":2},""target"":""2018""}],""ops3"":[{""op"":""diff"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n2"",""n3""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n3"",""signed"":true}]}",,2026-05-22T14:42:21Z
0rfuaawgi58ajpsv,groupedBar,pending,what is the difference of the average between northern america and latin america?,"1. Take the five yearly values (20092013) for North America and compute their average. 
2. Do the same for Latin America. 
3. Subtract the Latin America average from the North America average to get the difference between the two regional averages.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Region"",""operator"":""=="",""value"":""Northern America""},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Media rights revenue in billion US dollars""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Region"",""operator"":""=="",""value"":""Latin America""},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Media rights revenue in billion US dollars""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":true}]}",,2026-05-22T14:42:20Z
0rdpculfpyw3bv5p,groupedBar,pending,which year shows the lowest gap between lending and investment?,"1. For each year, compare the lending value to the investment value and compute the gap (lending minus investment). 
2. The gaps are: 2011 = 0.52  0.11 = 0.41, 2012 = 1.2  0.12 = 1.08, 2013 = 3.4  0.4 = 3.0, and 2014 = 11.1  1.1 = 10.0. 
3. The smallest gap is 0.41 in 2011, so 2011 shows the lowest gap between lending and investment.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""Lending"",""groupB"":""Investment"",""field"":""Value in billion US dollars"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""min""}]}",,2026-05-22T15:47:59Z
10x2rgiqw97wdspi,stackedBar,pending,which season was above average in both commercial and broadcasting?,"1. First, compute the average revenue across all seasons for the Commercial category and separately for the Broadcasting category. 
2. Then, for each season, compare its Commercial value to the Commercial average and its Broadcasting value to the Broadcasting average. 
3. Select the seasons where both values are above their respective averages; these are 2016/17, 2017/18, and 2018/19.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Type_of_Revenue"",""operator"":""=="",""value"":""Commercial""},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Revenue_Million_Euros""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Type_of_Revenue"",""operator"":""=="",""value"":""Broadcasting""},{""op"":""average"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Revenue_Million_Euros""}],""ops3"":[{""op"":""filter"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""operator"":"">"",""value"":""ref:n2"",""field"":""Revenue_Million_Euros"",""group"":""Commercial""},{""op"":""filter"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n4""],""sentenceIndex"":3},""operator"":"">"",""value"":""ref:n4"",""field"":""Revenue_Million_Euros"",""group"":""Broadcasting""}]}",,2026-05-22T14:42:26Z
0qz3v0bszsex7jjm,simpleBar,pending,Which fiscal years' expenditures are below average?,"1. Add all expenditure values and divide by the number of fiscal years to get the overall average (about 3.53 billion GBP). 
2. Then compare each fiscal year_ expenditure to this average and select those that are smaller. 
3. All years from 00/01 through 13/14 are below the average, while 14/15 and later are above it.","{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Expenditure in billion GBP""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""operator"":""<"",""value"":""ref:n1"",""field"":""Expenditure in billion GBP""}]}",,2026-05-22T15:55:35Z
23wg8zio5ahp40tg,multipleLine,pending,Which year had the biggest gap between favor and oppose?,"1. For each year, compare the _ppose percentage to the _avor percentage and compute the gap between them. 
2. The largest gap occurs in 1996, where Oppose is 65% and Favor is 27%, giving a difference of 38 percentage points, which is bigger than the gap in any other year shown.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""Oppose"",""groupB"":""Favor"",""field"":""Percentage"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}",,2026-05-22T14:42:44Z
28bxxhd6omv2l2h1,multipleLine,pending,What is the difference between the maximum and minimum gap between the two groups?,"1. For each year, compute the gap in life expectancy between Canada and Newfoundland and Labrador (Canada minus Newfoundland and Labrador). 
2. The smallest gap occurs in 20072009 (80.8 vs 79.0), which is 1.8 years. 
3. The largest gap occurs in 20142016 (81.9 vs 79.4), which is 2.5 years. The difference between the maximum and minimum gaps is therefore 2.5  1.8 = 0.7 years.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""Canada"",""groupB"":""Newfoundland and Labrador"",""field"":""Life expectancy in years"",""absolute"":true}],""ops2"":[{""op"":""range"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2}}]}",,2026-05-22T14:42:41Z
29rxoltwhongoday,multipleLine,pending,"In 2002 and 2017, which year shows the highest gap?","1. Look up the _issatisfied and _atisfied percentages for each of the two years and compute the gap as the difference between them. 
2. In 2002, the gap is 79  16 = 63 points. 
3. In 2017, the gap is 85  13 = 72 points. Since 72 is larger than 63, 2017 shows the higher gap.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2002""]},{""op"":""pairDiff"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""groupA"":""Dissatisfied"",""groupB"":""Satisfied"",""field"":""Percentage"",""absolute"":true}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Year"",""include"":[""2017""]},{""op"":""pairDiff"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""groupA"":""Dissatisfied"",""groupB"":""Satisfied"",""field"":""Percentage"",""absolute"":true}],""ops3"":[{""op"":""compareBool"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4"",""n2""],""sentenceIndex"":3},""operator"":"">"",""targetA"":""ref:n4"",""targetB"":""ref:n2""}]}",,2026-05-22T15:47:59Z
2eiyyw562tcvjypp,multipleLine,pending,How many years has Russia had higher favorability than the US?,"1. For each year, compare _ussia favorability in U.S. against _.S. favorability in Russia. 
2. Russia is higher in 2007 (44 vs 41) and 2015 (22 vs 15). 
3. In all other listed years, the U.S. value is higher, so Russia is higher in 2 years total.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""Russia"",""groupB"":""US"",""field"":""Favorable_View_Percentage"",""signed"":true}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""operator"":"">"",""value"":0}],""ops3"":[{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3}}]}",,2026-05-22T14:42:50Z
221xwpab655f7g8x,stackedBar,pending,What is the difference between the youngest age group's population values in an earliest year and the oldest age group's population values in an latest year?,"1. Identify the earliest year in the data (2009) and take the value for the youngest age group (014 years), which is 35.21. 
2. Then identify the latest year in the data (2019) and take the value for the oldest age group (65 years and older), which is 4.37. 
3. Subtract the latest-year oldest-group value from the earliest-year youngest-group value to get 35.21  4.37 = 30.84.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""=="",""value"":""2009""},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""target"":""0–14 years"",""field"":""Age group""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Year"",""operator"":""=="",""value"":""2019""},{""op"":""retrieveValue"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""target"":""65 years and older"",""field"":""Age group""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4"",""signed"":true}]}",,2026-05-22T14:42:48Z
23an1hozb7myw4e2,stackedBar,pending,Find the year when the share of men's apparel starts to decrease.,"1. List the men_ apparel shares by year and compare year-to-year changes. 
2. The values rise from 0.22 (2013) to 0.23 (2014) to 0.24 (2015) and stay at 0.24 (2016). 
3. The first drop happens from 0.24 (2016) to 0.23 (2017), so 2017 is when it starts to decrease.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Apparel_Item"",""operator"":""=="",""value"":""Men's apparel""}],""ops2"":[{""op"":""monotonicRun"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""direction"":""decreasing"",""mode"":""firstBreak"",""orderField"":""Year""}]}",,2026-05-22T14:43:09Z
4wqpl5jrdmc75go3,multipleLine,pending,What is the average of direct and total content predicted in the future based on the present(2025)?,"1. Treat 2025 as the present, so the _uture years are 20262029. 
2. For each contribution type (Direct contribution and Total contribution), take the values for 2026, 2027, 2028, and 2029 and compute their average. 
3. This gives an average future direct contribution of 5,084.88 billion USD and an average future total contribution of 16,437.10 billion USD.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""include"":[""2026"",""2027"",""2028"",""2029""]}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Contribution_Type"",""operator"":""=="",""value"":""Direct contribution""},{""op"":""average"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":2},""field"":""Economic_Impact_Billion_USD""},{""op"":""filter"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Contribution_Type"",""operator"":""=="",""value"":""Total contribution""},{""op"":""average"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":2},""field"":""Economic_Impact_Billion_USD""}]}",,2026-05-22T15:55:42Z
74p313e1n8rzkfzp,simpleLine,pending,Find the a pair of age group with the largest difference between adjacent groups,"1. Compare the share of respondents for each pair of neighboring (adjacent) age groups in the listed order and compute the absolute difference. 
2. The largest jump occurs between 60-69 (47) and 70 and older (33), which differ by 14 points_arger than any other adjacent difference in the data. ","{""ops"":[{""op"":""lagDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""orderField"":""Age group"",""order"":""asc"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}",,2026-05-22T14:42:59Z
7mgydgux0ay0flv4,simpleLine,pending,What is the highest period of three years of average sales?,"1. Compute the average number of units sold for every consecutive 3-year window (e.g., 20032005, 20042006, , 20172019). 
2. Compare these 3-year averages and select the window with the largest value. 
3. The years 20152017 have sales of 5427, 13775, and 12571, giving the highest 3-year average among all periods.","{""ops"":[{""op"":""rollingWindow"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""window"":3,""aggregate"":""avg"",""field"":""Number of units sold"",""orderField"":""Year""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}",,2026-05-22T15:56:07Z
1gb8sqnptdsdvagz,groupedBar,pending,Find the difference between the average of the first three years of the male group and the average of the last three years of the female group,"1. Take the male population values for the first three years (20092011) and compute their average. 
2. Then take the female population values for the last three years (20182020) and compute their average. 
3. Subtract the male (first-three-years) average from the female (last-three-years) average to get the difference, which is 468,086.",,,2026-05-22T15:56:00Z
,,pending,Find a hair removal type with a share of 10% or more in the under 30s group,"1. Look at the _nder 30s shares for each hair removal type and select any that are at least 0.10 (10%). 
2. _ollywood has a share of 0.35 (35%), which meets the 10% or more requirement.",,,
4vcdm7lwwlgdd0h1,multipleLine,pending,When was the year when the difference in wealth between the Senate and the House was the least?,"1. For each year, compare the Senate and House median wealth values and compute the gap between them. 
2. The smallest gap occurs in 2008, where the Senate is 1.74 and the House is 0.69, giving a difference of 1.05 million USD, which is lower than the difference in any other year shown.","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""groupA"":""Senate"",""groupB"":""House"",""field"":""Median_Wealth_Million_USD"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""min""}]}",,2026-05-22T15:56:20Z
1hm2mi3o0ejxp7tn,groupedBar,pending,"Among untreated people, find the difference between the proportion of males and the proportion of females ","1. Look at the _ypertensive untreated group, which represents untreated people. 
2. The share for men is 0.14 and for women is 0.11. 
3. Subtract the female proportion from the male proportion to get the difference: 0.14  0.11 = 0.03.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Group"",""operator"":""=="",""value"":""Hypertensive untreated""}],""ops2"":[{""op"":""pairDiff"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""groupA"":""Male"",""groupB"":""Female"",""field"":""Share of respondents"",""signed"":true}]}",,2026-05-22T14:43:48Z
240rurpp2arislnt,stackedBar,pending,Find the difference between the response with the smallest percentage in the youngest group and the response with the highest percentage in the oldest group,"1. Look at the youngest age group (1829) and identify the smallest share among its responses; the minimum is 6% (_uch more likely). 
2. Then look at the oldest age group (65+) and identify the largest share among its responses; the maximum is 57% (_either more nor less likely). 
3. Subtract the youngest-group minimum from the oldest-group maximum: 57  6 = 51.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Age Group"",""operator"":""=="",""value"":""18–29""},{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Share of respondents"",""which"":""min""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Age Group"",""operator"":""=="",""value"":""65+""},{""op"":""findExtremum"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""field"":""Share of respondents"",""which"":""max""}],""ops3"":[{""op"":""diff"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4"",""n2""],""sentenceIndex"":3},""targetA"":""ref:n4"",""targetB"":""ref:n2"",""signed"":true}]}",,2026-05-22T14:43:49Z
