#,chart_type,E,Q,chart_id,question,explanation,ops_spec,ops_note
44,simpleLine,6,4,25gpdzxh8nu0c0vf,"In average and median values, which one is bigger?",Calculate the average of the Number_of_Fatalities values across all years to get about 167.6. Sort the Number_of_Fatalities values and take the middle (11th) value to get a median of 173. Compare the two summary values to see that the average is bigger.,"{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Number_of_Fatalities""}], ""ops2"": [{""op"": ""sort"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Number_of_Fatalities"", ""order"": ""asc""}, {""op"": ""nth"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}, ""n"": 11}], ""ops3"": [{""op"": ""compareBool"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n1"", ""n3""], ""sentenceIndex"": 3}, ""operator"": "">"", ""targetA"": ""ref:n1"", ""targetB"": ""ref:n3""}]}",exec: avg>median = False → median is bigger
45,multipleLine,6,5,2eiyyw562tcvjypp,How many years has Russia had higher favorability than the US?,Compare the Russia and US favorable-view percentages for each year shown on the chart. Count the years where the Russia value is greater than the US value. The total number of such years is 3.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Year"", ""groupA"": ""Russia favorability in US"", ""groupB"": ""US favorability in Russia"", ""seriesField"": ""Favorability_Direction"", ""field"": ""Favorable_View_Percentage"", ""signed"": true}], ""ops2"": [{""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""operator"": "">"", ""value"": 0}], ""ops3"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}}]}",exec: 2.0
50,multipleLine,6,10,2s65jcap9pn289qx,What is the sum of the differences between women and men in the last five years?,Treat the last five years as 2016 through 2020. Subtract the men’s value from the women’s value for each of those years to get the yearly gender differences. Sum those five yearly differences to get -172.26.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": "">"", ""value"": ""2015""}], ""ops2"": [{""op"": ""pairDiff"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""by"": ""Year"", ""groupA"": ""Female"", ""groupB"": ""Male"", ""seriesField"": ""Gender"", ""field"": ""Population_Million_Inhabitants"", ""signed"": true}], ""ops3"": [{""op"": ""sum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""field"": ""Population_Million_Inhabitants""}]}",exec: -163.28 [fix: Year>2015 replaces between (dropped final year on 2-row/yr data)]
53,groupedBar,7,3,0prhtod4tli879nh,Which city had the biggest jump in population from 2010 to 2025?,"Compute the population change for each city by subtracting the 2010 bar height from the 2025 bar height. Compare these changes across all city panels. Select the city with the largest increase, which is Delhi.","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""City"", ""groupA"": ""2025"", ""groupB"": ""2010"", ""seriesField"": ""Year"", ""field"": ""Population in millions"", ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Population in millions""}]}",exec: 6.4 @ Delhi
56,simpleBar,7,6,0vmvmj77j3p6vcy7,What is the net income sum from 2010 to 2015?,Select the bars for the years 2010 through 2015 inclusive. Add their “Net income in USD” values together. The resulting total net income is 41581.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""between"", ""value"": [""2010"", ""2015""]}, {""op"": ""sum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""Net income in USD""}]}",exec: 41581.0
62,stackedBar,8,2,2bhsybiilde28j87,What is the average percentage of non-black races that they answered very interested?,"Treat “non-black races” as White, Hispanic, and Other in the chart. Get the Share_of_Respondents values for the “Very interested” segment for those three races. Average those three values to obtain 19%.","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Race_Ethnicity"", ""exclude"": [""Black""], ""group"": ""Very interested""}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Share_of_Respondents""}]}",exec: 0.19
69,simpleLine,8,9,8chfa8n079zpfigi,How many years correspond to a value between 20 and 30?,Filter the chart to the years whose FIFA World Ranking position lies between 20 and 30 inclusive. Count the remaining year points to get 10.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""FIFA World Ranking position"", ""operator"": "">="", ""value"": 20}, {""op"": ""filter"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}, ""field"": ""FIFA World Ranking position"", ""operator"": ""<="", ""value"": 30}], ""ops2"": [{""op"": ""count"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 2}}]}",exec: 11.0 [fix: field→'FIFA World Ranking position']
82,stackedBar,10,2,77xb5ug5lhfmkb74,What is the sum of number of employees from Europe region before 2015?,"Treat the Europe region as the bars colored Germany, Great Britain, Spain, and Rest of Europe. Filter the chart to the years before 2015 (2011–2014). Sum the Number_of_Employees values across those regions and years to get 166816.","{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Year"", ""operator"": ""<"", ""value"": ""2015"", ""group"": [""Germany"", ""Great Britain"", ""Spain"", ""Rest of Europe""]}], ""ops2"": [{""op"": ""sum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""field"": ""Number_of_Employees""}]}",exec: 230769.0
84,simpleLine,10,4,avwb8xstxx1lmfpk,What is the Year that has the biggest deviation from the total average?,"Group the chart’s points by year using the year portion of the Month Year labels. Calculate the overall average Consumer Price Index across all plotted months. Compute each year’s average Consumer Price Index from its months. Compare the absolute difference between each year’s average and the overall average. Select the year with the largest deviation, which is 2020.","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Consumer Price Index (100 = 1982-1984)""}], ""ops2"": [{""op"": ""diffByValue"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""targetValue"": ""ref:n1"", ""signed"": false, ""field"": ""Consumer Price Index (100 = 1982-1984)""}], ""ops3"": [{""op"": ""findExtremum"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n2""], ""sentenceIndex"": 3}, ""which"": ""max""}]}",exec: max |dev|=7.64 at May '21 (→2021); per-point diffByValue (per-year averaging not in grammar)
,multipleLine,8,10,16aphfabldrpgcmd,What is the sum of the number of weights exceeding 3670 in the Boys group and the number of weights exceeding 3550 in the Girls group?,Filter the chart to the Boys group and count the years where the average weight is greater than 3670. Filter the chart to the Girls group and count the years where the average weight is greater than 3550. Add the two counts together to get 5.,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Average weight in metric grams"", ""operator"": "">"", ""value"": 3670, ""group"": ""Boys""}, {""op"": ""count"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 1}}], ""ops2"": [{""op"": ""filter"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Average weight in metric grams"", ""operator"": "">"", ""value"": 3550, ""group"": ""Girls""}, {""op"": ""count"", ""id"": ""n4"", ""meta"": {""nodeId"": ""n4"", ""inputs"": [""n3""], ""sentenceIndex"": 2}}], ""ops3"": [{""op"": ""add"", ""id"": ""n5"", ""meta"": {""nodeId"": ""n5"", ""inputs"": [""n2"", ""n4""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n2"", ""targetB"": ""ref:n4""}]}",exec: 8 (3 Boys>3670 + 5 Girls>3550) [expl said 5]
,multipleLine,7,5,20qa83ih1gn6toqt,Which year shows the lowest gap between convenience and price,Select the Convenience and Price values for each year from the chart. Calculate the absolute difference between those two values within each year. Compare these yearly gaps to find the smallest one. The year with the lowest gap is 2013.,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Year"", ""groupA"": ""Convenience"", ""groupB"": ""Price"", ""seriesField"": ""Metric"", ""field"": ""Has a great impact"", ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""min"", ""field"": ""Has a great impact""}]}",exec: 2013 (gap 15)
,groupedBar,2,3,0rfuaawgi58ajpsv,What is the difference in the average between North America and Latin America?,"Collect the North America values across all years and average them to get 9.578. Collect the Latin America values across all years and average them to get 1.156. Subtract the Latin America average from the North America average, leaving a difference of 8.62.","{""ops"": [{""op"": ""average"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""field"": ""Media rights revenue in billion US dollars"", ""group"": ""North America""}], ""ops2"": [{""op"": ""average"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [], ""sentenceIndex"": 2}, ""field"": ""Media rights revenue in billion US dollars"", ""group"": ""Latin America""}], ""ops3"": [{""op"": ""diff"", ""id"": ""n3"", ""meta"": {""nodeId"": ""n3"", ""inputs"": [""n1"", ""n2""], ""sentenceIndex"": 3}, ""targetA"": ""ref:n1"", ""targetB"": ""ref:n2"", ""signed"": true}]}",exec: 8.422 [expl said 8.62]
,groupedBar,6,8,01mksjs373fhcl4q,Which sector showed the most decline?,"Compare the 2003 bar to the mid-2013 bar within each sector’s panel. Calculate the decline for each sector by subtracting the mid-2013 value from the 2003 value. Select the sector with the largest drop, which is Large companies.","{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Sector"", ""groupA"": ""2003"", ""groupB"": ""mid-2013"", ""seriesField"": ""Year"", ""field"": ""Average length of lease in years"", ""signed"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Average length of lease in years""}]}",exec: Large companies (4.3)
,stackedBar,7,2,10t8o5vhethzeod1,In which year was the agriculture sector the highest,Filter the chart to the Agriculture-colored segment for each year. Compare the heights (Share_of_GDP values) of those Agriculture segments across all years. Select the year whose Agriculture segment is tallest,"{""ops"": [{""op"": ""filter"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""group"": ""Agriculture""}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max"", ""field"": ""Share_of_GDP""}]}",exec: 2011 (0.3498)
,stackedBar,7,7,21fa7gb8l1ix6yfm,Which method shows the highest difference between every day and less often?,Locate the “EVERY DAY” and “LESS OFTEN” segments within each method’s stacked bar. Calculate the absolute difference between those two segment values for each method. Compare these differences across methods. Select the method with the largest gap,"{""ops"": [{""op"": ""pairDiff"", ""id"": ""n1"", ""meta"": {""nodeId"": ""n1"", ""inputs"": [], ""sentenceIndex"": 1}, ""by"": ""Method"", ""groupA"": ""EVERY DAY"", ""groupB"": ""LESS OFTEN"", ""seriesField"": ""Frequency"", ""field"": ""Share_of_Respondents"", ""absolute"": true}], ""ops2"": [{""op"": ""findExtremum"", ""id"": ""n2"", ""meta"": {""nodeId"": ""n2"", ""inputs"": [""n1""], ""sentenceIndex"": 2}, ""which"": ""max""}]}",exec: Text messaging (0.42)
