"#","chart_type","chart_id","all_id","question","explanation","operation_spec","status","author_note","updated_at"
"1","line_simple","2jromeq5u9lloh1s","line_simple_2jromeq5u9lloh1s","Which years has the biggest jump?","1. Get the difference between every year
2. Get the extremum ","{""ops"":[{""op"":""lagDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Audience_Millions""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}","pending","",""
"12","bar_simple","0pzdf7hfbxgjghsa","bar_simple_0pzdf7hfbxgjghsa","How big was the change from 2016 to 2017 compared to the change from 2017 to 2018?","1. retrieve value of 2016 and 2017
2. retrieve value of 2017 and 2018
3. get the difference of the retrieved values","{""ops"":[{""op"":""retrieveValue"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""target"":""2016""},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""target"":""2017""},{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":1},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":false}],""ops2"":[{""op"":""retrieveValue"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[],""sentenceIndex"":2},""target"":""2017""},{""op"":""retrieveValue"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[],""sentenceIndex"":2},""target"":""2018""},{""op"":""diff"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n4"",""n5""],""sentenceIndex"":2},""targetA"":""ref:n4"",""targetB"":""ref:n5"",""signed"":false}],""ops3"":[{""op"":""diff"",""id"":""n7"",""meta"":{""nodeId"":""n7"",""inputs"":[""n3"",""n6""],""sentenceIndex"":3},""targetA"":""ref:n3"",""targetB"":""ref:n6"",""signed"":false}]}","pending","",""
"13","bar_grouped","0rfuaawgi58ajpsv","bar_grouped_0rfuaawgi58ajpsv","What is the difference in the average between North America and Latin America?","1. Get the average of Northern America
2. Get the average of Latin America
3. Get the difference between the two average values","{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Media rights revenue in billion US dollars"",""group"":""North America""}],""ops2"":[{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":2},""field"":""Media rights revenue in billion US dollars"",""group"":""Latin America""}],""ops3"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":3},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":true}]}","pending","avg(North America) minus avg(Latin America).",""
"14","bar_grouped","0rdpculfpyw3bv5p","bar_grouped_0rdpculfpyw3bv5p","Which year shows the lowest gap between lending and investment?","1. Get the difference between lending and investment in every year
2. Find the year with the smallest value","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Year"",""groupA"":""Lending"",""groupB"":""Investment"",""seriesField"":""Type"",""field"":""Value in billion US dollars"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""min"",""field"":""Value in billion US dollars""}]}","pending","Lowest |Lending-Investment| gap per year -> pairDiff(by=Year) then findExtremum min. (series=Type, key dim=Year.)",""
"15","bar_stacked","10x2rgiqw97wdspi","bar_stacked_10x2rgiqw97wdspi","Which season was above average in both commercial and broadcasting?","1. Find the average of the commercial
2. Find the average of the broadcasting
3. Find the season that is above average for both commercial and broadcasting","","empty","GAP: needs the season satisfying TWO separate per-series conditions (Commercial>its avg AND Broadcasting>its avg) = intersection of two key-sets; chaining filter(group=Commercial) then filter(group=Broadcasting) yields an empty set (no Broadcasting rows survive the first filter). No set-intersection-across-two-series op in the grammar.",""
"16","bar_simple","0qz3v0bszsex7jjm","bar_simple_0qz3v0bszsex7jjm","Which fiscal years' expenditures are below average?","1. Determine average
2. Compare each year's value with the average
3. Filter to countries that are below average","{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Expenditure in billion GBP""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Expenditure in billion GBP"",""operator"":""<"",""value"":""ref:n1""}]}","pending","below-average: average -> filter(<,ref). Explanation 'filter to ... below average'; no explicit count, left as filter.",""
"17","line_multiple","23wg8zio5ahp40tg","line_multiple_23wg8zio5ahp40tg","Which year had the biggest gap between favor and oppose?","1. calculate difference between the values of favor and oppose
2. find extremum","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Year"",""groupA"":""Favor"",""groupB"":""Oppose"",""seriesField"":""Opinion"",""field"":""Percentage"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max""}]}","pending","",""
"18","line_multiple","28bxxhd6omv2l2h1","line_multiple_28bxxhd6omv2l2h1","What is the difference between the maximum and minimum gap between the two groups?","1. calculate the difference for each value
2. find the maximum value","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Year"",""groupA"":""Canada"",""groupB"":""Newfoundland and Labrador"",""seriesField"":""Region"",""field"":""Life expectancy in years"",""absolute"":true}],""ops2"":[{""op"":""range"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Life expectancy in years""}]}","pending","max-minus-min of the per-year |gap| = range of the pairDiff series.",""
"19","line_multiple","29rxoltwhongoday","line_multiple_29rxoltwhongoday","In 2002 and 2017, which year shows the highest gap between two opinion?","1. calculate the difference in 2002 and 2017
2. find the year which has the bigger difference","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Year"",""groupA"":""Dissatisfied"",""groupB"":""Satisfied"",""seriesField"":""Opinion"",""field"":""Percentage"",""absolute"":true},{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Year"",""include"":[""2002"",""2017""]}],""ops2"":[{""op"":""findExtremum"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":2},""which"":""max"",""field"":""Percentage""}]}","pending","",""
"20","line_multiple","2eiyyw562tcvjypp","line_multiple_2eiyyw562tcvjypp","How many years has Russia had higher favorability than the US?","1. calculate the difference between Russia and the US
2. count the number of years that Russia is higher than the US","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Year"",""groupA"":""Russia favorability in US"",""groupB"":""US favorability in Russia"",""seriesField"":""Favorability_Direction"",""field"":""Favorable_View_Percentage"",""signed"":true}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""operator"":"">"",""value"":0}],""ops3"":[{""op"":""count"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3}}]}","pending","series live in other_dims.Favorability_Direction (series_vals empty); pairDiff over those two labels.",""
"21","line_multiple","1h4rj9i2jtzq589y","line_multiple_1h4rj9i2jtzq589y","Which of the most recent years is the value of the EU 5-country media with y-axis values between 51 and 61?
","1. Check y-axis number
2. Check the points between 51 and 61
3. Check the year of values corresponding to the EU 5-country media between 51 and 61 
4. Choose the largest year","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""group"":""EU 5-country median""}],""ops2"":[{""op"":""filter"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Favorable_View_Percentage"",""operator"":"">="",""value"":51},{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n2""],""sentenceIndex"":3},""field"":""Favorable_View_Percentage"",""operator"":""<="",""value"":61}],""ops3"":[{""op"":""sort"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":4},""field"":""Year"",""order"":""desc""},{""op"":""nth"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n4""],""sentenceIndex"":4},""n"":1,""from"":""left""}]}","pending","value range 51..61 = two comparison filters; 'largest year' = sort Year desc + first.",""
"22","bar_stacked","0gf8ugj84bs1ko2k","bar_stacked_0gf8ugj84bs1ko2k","What is the average value for each service area in the year when the data center's revenue was highest?","1. Check the graph for the data center with the highest value.
2. Check the value for each service area.
3. Calculate the average.","","empty","GAP: average across all series (the whole stack) within a single year that is itself selected by a sub-query (year of max Data Centers). Per-key aggregate across the stack + dynamic key selection; findExtremum returns one row so a following average just echoes that value, and a selected x-label cannot be fed back as a filter value.",""
"23","line_multiple","14jt6jor7iknkjkl","line_multiple_14jt6jor7iknkjkl","What is the sum of the Confidence in U.S. present values for the period in which the favorite view of the U.S. is the lowest?","1. Check the section with the lowest favorite view of U.S. value (2009, 2010, 2011)
2. Check Confidence in U.S. present value corresponding to section 1
3. Add all values of number 2","","empty","GAP: explanation selects a multi-year region (2009-2011) where 'Favorable view of US' is lowest, then sums the *other* series ('Confidence in US president') over those years. findExtremum min yields a single x, and there is no op to carry an x-set from one series to sum another series.",""
"24","line_multiple","16aphfabldrpgcmd","line_multiple_16aphfabldrpgcmd","What is the sum of the number of weights exceeding 3670 in the Boys group and the number of weights exceeding 3550 in the Girls group?","1. Counting the number of values above 3670 on the Boys graph
2. Counting the number of values above 3550 on the Girls graph
3. Add the number of 1 and 2","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Average weight in metric grams"",""operator"":"">"",""value"":3670,""group"":""Boys""},{""op"":""count"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1}}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Average weight in metric grams"",""operator"":"">"",""value"":3550,""group"":""Girls""},{""op"":""count"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2}}],""ops3"":[{""op"":""add"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[""n2"",""n4""],""sentenceIndex"":3},""targetA"":""ref:n2"",""targetB"":""ref:n4""}]}","pending","",""
"25","bar_stacked","0dglnk2wbf5ll15t","bar_stacked_0dglnk2wbf5ll15t","What is the difference between the average of values corresponding to Poor and the average of values corresponding to Good?","1. Check the values for each year's Poor
2. Obtaining the mean of the values found in number 1
3. Check the value corresponding to Good for each year
4. Obtaining the mean of the values found in number 3
5. Find the difference between the two mean values","{""ops"":[{""op"":""average"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Share_of_Respondents"",""group"":""Poor""}],""ops2"":[{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":2},""field"":""Share_of_Respondents"",""group"":""Good""}],""ops3"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":3},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":false}]}","pending","",""
"26","line_simple","10gtgmmgh599jnr7","line_simple_10gtgmmgh599jnr7","What is the difference between the second largest and the smallest values between 2000 and 2008?","1. Check the largest value between 2000 and 2009
2. Determine the second largest value after the largest value between 2000 and 2009
3. Determine the smallest value between 2000 and 2009 
4. Subtract small value from large value","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""between"",""value"":[""2000"",""2009""]},{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""which"":""max"",""field"":""Percentage_of_Population""}],""ops2"":[{""op"":""filter"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[],""sentenceIndex"":2},""field"":""Year"",""operator"":""between"",""value"":[""2000"",""2009""]},{""op"":""findExtremum"",""id"":""n4"",""meta"":{""nodeId"":""n4"",""inputs"":[""n3""],""sentenceIndex"":2},""which"":""max"",""rank"":2,""field"":""Percentage_of_Population""}],""ops3"":[{""op"":""filter"",""id"":""n5"",""meta"":{""nodeId"":""n5"",""inputs"":[],""sentenceIndex"":3},""field"":""Year"",""operator"":""between"",""value"":[""2000"",""2009""]},{""op"":""findExtremum"",""id"":""n6"",""meta"":{""nodeId"":""n6"",""inputs"":[""n5""],""sentenceIndex"":3},""which"":""min"",""field"":""Percentage_of_Population""}],""ops4"":[{""op"":""diff"",""id"":""n7"",""meta"":{""nodeId"":""n7"",""inputs"":[""n4"",""n6""],""sentenceIndex"":4},""targetA"":""ref:n4"",""targetB"":""ref:n6"",""signed"":false}]}","pending","Explanation scopes 2000-2009 (Q says 2008) — followed the explanation. Step1 'largest' is scaffolding; answer = 2nd largest - smallest.",""
"27","line_simple","0ix8hz9qvakto18g","line_simple_0ix8hz9qvakto18g","What is the sum of the year when the Ease of Doing Business score is the second largest and the year when the Ease of Doing Business score is the second smallest?","1. Check the top of the graph
2. Then check the value of the dot above
3. Check the bottom of the graph
4. Compare each of the bottom three point values
5. Check the smallest value and check the Year
6. Add values of 2 and 5","","empty","GAP: final step adds two x-axis YEAR labels (year of 2nd-largest score + year of 2nd-smallest score); add operates on measure values, not x labels — not expressible.",""
"28","bar_simple","0egdxqun1m2n9k4z","bar_simple_0egdxqun1m2n9k4z","What is the average of the revenue multiple from 2006 to 2011?","1. Check the Revenue multiple values from 2006 to 2011.
2. Add all the values
3. Divide by six.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Year"",""operator"":""between"",""value"":[""2006"",""2011""]},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Revenue multiple""}]}","pending","avg from 2006 to 2011 (filter between -> average). 'divide by six' = the averaging.",""
"29","bar_stacked","0aj7na7tkqb7iomu","bar_stacked_0aj7na7tkqb7iomu","What is the difference between the installed base million value of Tablets in 2017 and the installed base million value of Mobile PCs in 2022?","1. Check the value of the installed Base Millions in Tablets for 2017
2. Check Mobile PCs' Installed Base Millions value for 2022
3. Check the values of 1 and 2 which are greater
4. Subtract small value from large value","{""ops"":[{""op"":""retrieveValue"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""target"":""2017"",""field"":""Installed_Base_Millions"",""group"":""Tablets""},{""op"":""retrieveValue"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":1},""target"":""2022"",""field"":""Installed_Base_Millions"",""group"":""Mobile PCs""}],""ops2"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":2},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":false}]}","pending","",""
"30","bar_simple","0gvrmm8qbn6o1vya","bar_simple_0gvrmm8qbn6o1vya","What is the average of Season's ticket prices with a ticket price of $60 or less?
","1. Identify the 60 line on the Y-axis.
2. Identify the bar graphs with values ​​under 60.
3. Calculate the average of each bar.","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Average ticket price in US dollars"",""operator"":""<="",""value"":60},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Average ticket price in US dollars""}]}","pending","measure-value filter (<=60) on ticket price -> average.",""
"31","bar_grouped","0egzejn5mejtnfdm","bar_grouped_0egzejn5mejtnfdm","What is the difference between Scotland's largest value and England and Wales's smallest value?","1. Check Scotland's Biggest Value
2. Check the smallest value for England & Wales
3. Check if the value is greater than the value of number 1 or number 2
4. Subtract small value from large value
","{""ops"":[{""op"":""findExtremum"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""which"":""max"",""field"":""SharePercentage"",""group"":""Scotland""}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[],""sentenceIndex"":2},""which"":""min"",""field"":""SharePercentage"",""group"":""England & Wales""}],""ops3"":[{""op"":""diff"",""id"":""n3"",""meta"":{""nodeId"":""n3"",""inputs"":[""n1"",""n2""],""sentenceIndex"":3},""targetA"":""ref:n1"",""targetB"":""ref:n2"",""signed"":false}]}","pending","Scotland's max minus England & Wales's min; step3 'subtract small from large' -> unsigned diff.",""
"32","line_simple","0roec4s0drcyiuz4","line_simple_0roec4s0drcyiuz4","What is the average of the values in the period in which the Unemployment rate value falls for more than two years?
","1. Check for sections where prices have fallen for more than two years
2. Check all values for each year from Quarter obtained by 1
3. Finds the average of the values obtained in number 2 ","{""ops"":[{""op"":""monotonicRun"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""direction"":""decreasing"",""minLength"":3,""field"":""Unemployment rate (%)"",""orderField"":""Quarter""}],""ops2"":[{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""field"":""Unemployment rate (%)""}]}","pending","'falls for more than two years' -> longest decreasing run, then average.",""
"33","bar_simple","0eq4w2wsl864mhcj","bar_simple_0eq4w2wsl864mhcj","What is the average of the sales values of a company with a sales volume in million units of 60 or more?
","1. Confirmation of a company with a Sales value of more than 60
2. Finds the average of the values found in number 1","{""ops"":[{""op"":""filter"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""field"":""Sales volume in million units"",""operator"":"">="",""value"":60},{""op"":""average"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":1},""field"":""Sales volume in million units""}]}","pending","the only measure is 'Sales volume in million units'; Q's '60 or more' threshold and the averaged value are the same column. filter(>=60)->average.",""
"34","bar_stacked","0g0xma0b0k29lk5j","bar_stacked_0g0xma0b0k29lk5j","Which year has the second largest difference between 65 years and older and 15–64 years?

","1. Check the graph with the second smallest value of 65 years and old and check the value 
2. Check the graph with the second largest value of 15–64 years and check the value
3. Check the year in question (Compare the value between 1 and 2)","{""ops"":[{""op"":""pairDiff"",""id"":""n1"",""meta"":{""nodeId"":""n1"",""inputs"":[],""sentenceIndex"":1},""by"":""Year"",""groupA"":""65 years and older"",""groupB"":""15–64 years"",""seriesField"":""Age_Group"",""field"":""Share_of_Total_Population"",""absolute"":true}],""ops2"":[{""op"":""findExtremum"",""id"":""n2"",""meta"":{""nodeId"":""n2"",""inputs"":[""n1""],""sentenceIndex"":2},""which"":""max"",""rank"":2}]}","pending","Question = 2nd largest |difference| between the two age-group series per year -> pairDiff(abs) + findExtremum(max, rank=2). (Explanation steps are garbled; followed the question.)",""
