chart_id,chart_type,ours_correct,baseline_correct,true_answer,gold_looks_wrong,ours_note,user_id,question,explanation,ops_selected,ops_others
23wg8zio5ahp40tg,line_multiple,0,0,1996 (gap of 38 between Oppose 65 and Favor 27),0,"Biggest gap is 1996 (38); gold correct, but ours/baseline used signed non-absolute diff so max picked 2010 (-6), the smallest gap — wrong year.",,,,,
28bxxhd6omv2l2h1,line_multiple,0,0,0.8 (max gap 2.6 at 2013-2015 minus min gap 1.8),0,"Question wants range(max-min gap)=0.8; gold's range op gives 0.8 (correct), but ours/baseline used findExtremum max returning only the max gap 2.6.",,,,,
29rxoltwhongoday,line_multiple,1,1,,0,,,,,,
2eiyyw562tcvjypp,line_multiple,0,0,,0,,,,,,
1h4rj9i2jtzq589y,line_multiple,0,0,2014,0,,,,,,
0gf8ugj84bs1ko2k,bar_stacked,0,0,1319 (avg of 2022 service areas: (1848+564+1545)/3),0,"Max DC year=2022; true avg across 3 areas=1319. Ours returned 1848 (DC only, not averaged); baseline returned NaN; gold has no spec.",,,,,
14jt6jor7iknkjkl,line_multiple,1,0,154 (Confidence in US president for 2009/2010/2011 = 56+49+49),0,"Lowest favorable view years 2009/2010/2011; Confidence sum 56+49+49=154; ours=154 correct, baseline/gold absent.",,,,,
16aphfabldrpgcmd,line_multiple,1,1,8 (Boys >3670: 3; Girls >3550: 5),0,,,,,,
0dglnk2wbf5ll15t,bar_stacked,0,0,48.25 (Poor avg 3.25 - Good avg 51.5 = -48.25; magnitude 48.25),0,"Poor avg=3.25, Good avg=51.5, diff=48.25; gold=48.25 correct, ours=NaN (broken), baseline empty.",,,,,
10gtgmmgh599jnr7,line_simple,1,1,,0,,,,,,
0ix8hz9qvakto18g,line_simple,0,0,4035 (2019 second-largest score + 2016 second-smallest score),0,"Question wants sum of YEARS (2019+2016=4035); baseline returned 156.06 summing scores, wrong; ours/gold absent.",,,,,
0egdxqun1m2n9k4z,bar_simple,1,1,,0,,,,,,
0aj7na7tkqb7iomu,bar_stacked,1,1,70.87 (244.43 Mobile PCs 2022 − 173.56 Tablets 2017),0,,,,,,
0gvrmm8qbn6o1vya,bar_simple,1,1,,0,,,,,,
0egzejn5mejtnfdm,bar_grouped,0,1,"26 (Scotland's largest = 28 [Strongly against], England & Wales's smallest = 2 [Strongly against]; 28 - 2 = 26)",0,"True diff = 28 - 2 = 26; gold and baseline give 26 (correct), ours produced NaN (incorrect).",,,,,
0roec4s0drcyiuz4,line_simple,1,1,,0,,,,,,
0eq4w2wsl864mhcj,bar_simple,1,1,,0,,,,,,
0g0xma0b0k29lk5j,bar_stacked,0,1,2010 (second-largest |15–64 − 65+| difference = 0.5976; largest is 2009 at 0.6005),0,"Diffs decrease monotonically; 2nd largest = 2010 (0.5976); ours returned empty (incorrect), baseline value 0.5976 matches (correct), gold 0.5976/2010 matches.",,,,,
0fhm43s0j7glca29,bar_grouped,1,1,,0,,,,,,
0gacqohbzj07n25s,bar_grouped,0,0,"~8176 (gold interpretation: EU avg {Germany,France,Italy}=323891 vs Asia avg {Japan,India,Turkey}=332067, unsigned diff 8176)",0,"Gold=8176 matches data; ours filtered wrong countries (Brazil/US in Europe) yielding diff 0.0; baseline used 5-EU vs 2-Asia grouping giving 38667.9, far from true region diff.",,,,,
1c80b6i7wdu3m1ir,line_simple,0,0,10.5 (run 1999-2001 has the largest start-to-end increase of 3.5; sum of its values 1.7+3.6+5.2=10.5),1,,,,,,
1k8qhmg9rui7gtzh,line_multiple,1,1,,0,,,,,,
0ihx2vzdsej883sq,bar_grouped,0,0,"0.733 (Male share in Leadership, the category with the second-lowest Female share 0.267)",1,"True Male value=0.733; ours returned empty (wrong Tech target), baseline returned rows via diff, gold returned 0.267 (the Female value, not Male).",,,,,
0fh0emp095qhq3ag,bar_simple,1,1,,0,,,,,,
0k75gqf8ckjikdym,bar_grouped,1,1,,0,,,,,,
1p4nnba4568wza9n,line_multiple,0,0,"2 (dominant opinion changes: Good→Bad in 2009, Bad→Good in 2011)",0,True answer is 2 dominant-opinion changes; baseline returned 0.0 (wrong); gold and ours produced no spec.,,,,,
0gzowodb2py0d1s9,bar_stacked,1,1,,0,,,,,,
0nmj7sdej4cipma7,bar_stacked,1,1,,0,,,,,,
0i9bxppwocx0tyop,bar_simple,1,1,,0,,,,,,
0lua5jsw92d3enb4,bar_grouped,0,0,8 diet types (2019 Share of respondents > 0.03),0,8 diet types exceed 0.03 in 2019; gold=8 correct; ours=15.95 and baseline=0.0 both wrong (bad diff steps).,,,,,
0iv07908ph6y6ifj,bar_simple,1,1,,0,,,,,,
1jabqwjz9pmd7qwz,line_simple,0,0,268 (median of 2010-2019 facilities),0,"Median of 10 values is 268 (avg of 266 & 270); ours/baseline returned the average 272.7, wrong metric.",,,,,
1sf5c8wqw1192q6b,line_simple,1,1,,0,,,,,,
1vh62ks9wweck6m2,line_multiple,1,1,,0,,,,,,
0jbrb1dcbliiampz,bar_simple,1,1,,0,,,,,,
0ufvwi9xv37e597q,bar_stacked,0,0,2018/19 (gap of 59.4 million euros: |92.5 - 151.9|),0,"Biggest gap is 2018/19 (59.4); gold correct. Ours/baseline used signed (not absolute) diff and returned 2008/09 (12.5), wrong season.",,,,,
0oinwvo88bvvs25b,bar_grouped,1,1,,0,,,,,,
1vni31fp2ii7wz68,line_simple,0,0,"Jun '20 (largest month-over-month drop of -2.00, from 10.78 to 8.78)",1,"True min lagDiff is -2.00 at Jun '20; ours/baseline used absolute=true so returned smallest change (0.12, Jan '21); gold's -6.61/May '21 is not a valid lagDiff value either.",,,,,
20gpvz4ylu4olrm7,line_multiple,0,0,"9 (average of yearly Women-minus-Men differences for years >= 2000: 12,7,7,10 -> mean 9)",0,,,,,,
0k7bm9iqewnrzj47,bar_simple,1,0,Yes — top-three avg = 345.93 > twice lowest-three avg = 330.4 (True),0,,,,,,
0vfqjaxeiv96ww7g,bar_stacked,0,0,11 (White: 10+32=42; Black: 26+27=53; |42-53|=11),0,"Ours summed all White/Black rows (no frequency filter) giving 100, not the 11 diff of the two top-frequency groups; gold's 11 is correct; baseline empty.",,,,,
0opt5fjw2xphdgp2,bar_grouped,1,0,"White (Occasionally 0.4 + Infrequently 0.48 = 0.88, highest per-group sum)",0,Ours identified target group White (correct answer) though its value 0.48 is the max single bar not the 0.88 sum; baseline summed across all groups (3.23) and returned no group.,,,,,
25gpdzxh8nu0c0vf,line_simple,0,1,,0,,,,,,
20qa83ih1gn6toqt,line_multiple,0,1,"2013 (gap = |56-71| = 15, the smallest absolute Convenience-Price gap)",0,"Gap means magnitude; ours used signed diff (min=-22→2014), inverting the answer; correct is 2013 (gap 15) which gold and baseline return.",,,,,
0baf5ch9y4z8914p,bar_simple,0,1,2.46,0,"Three lowest (2.38,2.5,2.5) avg=2.46; gold & baseline=2.46 correct; ours summed full dataset (sum input was n1 not nth subset) giving 10.0967.",,,,,
01h0jkno5l7jola8,bar_grouped,1,0,Average of per-artist (Men-Women) differences = -0.0114 (signed); average of absolute differences = 0.013 (gold's interpretation),0,"Gold averages absolute diffs (0.013); ours/baseline average signed diffs (-0.0114) — both valid readings of an ambiguous ""average difference"" question.",,,,,
0cjk67q39ee6dhzj,line_multiple,1,0,14 (highest diff 19 in 2010 minus smallest diff 5 in 2008),0,,,,,,
01mksjs373fhcl4q,bar_grouped,0,0,"Large companies (decline of 4.3 years, from 9.5 to 5.2)",0,"Answer is Large companies (4.3); gold correct; ours returned Offices (-0.8, took max of mid-2013-minus-2003 = least decline); baseline returned empty/null.",,,,,
04xwv56n37ybj8zr,line_simple,0,1,0.02,0,,,,,,
0cymcilknp8krjwz,line_simple,0,1,3.25 (sum above 4.0 = 9.48; sum below 2.5 = 6.23; |9.48 - 6.23| = 3.25),0,"True diff is 3.25; ours returned 9.48 (only the sum above 4.0, diff failed to subtract 6.23); baseline and gold both 3.25.",,,,,
0abj8blv663ussbr,bar_simple,1,1,,0,,,,,,
0cad2xfrwdgvo9zk,bar_simple,0,0,967 (three middle values 334+319+314 from 11 sorted values),0,Gold 967 matches the sum of the three middle sorted values; ours=314 and baseline=911 are both wrong.,,,,,
0gr1c2jcthc8h9f6,line_simple,0,0,"1.42 (6.17 - 4.75; or 1.22 if using 5.97). Between-5.8-and-6.2 group = {5.97, 6.17}, below-4.8 = {4.75}.",0,Gold 1.42 (6.17-4.75) valid; ours 1.03 and baseline 1.2233 both wrongly include 5.78 which is below the 5.8 lower bound.,,,,,
001dao0mq0pplbzj,bar_stacked,1,1,,0,,,,,,
0a5npu4o61dz4r5f,bar_simple,1,1,,0,,,,,,
07lo3vvwztz32ifq,bar_grouped,0,0,0.01 (signed: highest diff +0.03 Latin America + lowest -0.02; absolute interpretation as in gold = 0.03),0,"Per-region 2010-2009 diffs: max +0.03, min -0.02 → sum 0.01 (gold's absolute-diff reading gives 0.03); ours returned 0.0 (total sum of all diffs), baseline returned -0.04 (two lowest), both wrong.",,,,,
075i5mfewy2uvwej,bar_stacked,1,1,"0.0504 (Services 2010=0.5804, 2020=0.6308; |diff|=0.0504, signed 2010-2020=-0.0504)",0,"Both produced -0.0504 (signed 2010-2020); equals gold's unsigned 0.0504 under sign convention, so both correct.",,,,,
08x3crju85yix5ab,line_simple,1,1,5,0,,,,,,
004fhteah0l9kud2,bar_stacked,1,1,,0,,,,,,
0bunvsqd54e3qahz,line_multiple,1,1,,0,,,,,,
0bgcjlbz7nv5vnjc,bar_grouped,0,0,"1.4667 (top-3 absolute year-differences 2.1, 1.3, 1.0 → average 4.4/3)",0,"True avg of top-3 diffs = 1.4667 (matches gold); ours value -1.3 (used sum, signed) and baseline value 0.1 both wrong.",,,,,
08iur64i01boakg5,line_multiple,0,0,"2017 (Male 30 - Female 14 = 16, the largest Male-Female difference)",0,"True max diff is 2017 (16); gold matches; ours sorts by Year not diff (→2002/11), baseline also returns 2002/11 — both wrong.",,,,,
05qg5ubxklojfze7,bar_stacked,0,0,"Anxiety and depression (major+minor = 0.96, highest)",0,Both did a global sum over all problems (6.98) instead of per-problem major+minor then max; correct answer is Anxiety and depression at 0.96.,,,,,
0b9o2vahkw2a1bxy,line_multiple,0,1,"19 (or -19 signed): highest No = 46 (2015), third-highest Yes = 65 (2014), 46 - 65 = -19, |diff| = 19",0,,,,,,
0v0l4wdbx7orkqz1,bar_simple,1,1,,0,,,,,,
14jud3ymyoonba4e,bar_stacked,0,1,"Global Nutritionals (sum 9678.1, the largest sector total vs GPN 5810.0 and JV&A 4654.1)",0,Ours grouped all sectors into one sum giving grand total 20142.2; baseline summed per-sector and max=9678.1 correctly picks Global Nutritionals.,,,,,
0vw6ydim9cff8ji6,bar_grouped,1,1,,0,,,,,,
5lhrulhnl0io2r81,line_simple,1,1,,0,,,,,,
2hjkdo5w242alvjd,line_multiple,1,1,"No (False). In 2006-2011, only 2 years had Satisfied >50% (2006:55, 2011:65); 2 is not > 3, so the comparison is False.",0,"True answer is No/False (0.0); both ours and baseline return compareBool 0.0 matching, though their op decompositions differ from the >50% threshold intent.",,,,,
0vmvmj77j3p6vcy7,bar_simple,1,1,,0,,,,,,
174uq759pluu079w,bar_stacked,1,0,3.7 (Sony 2017=1.7 + 2018=2.0),0,,,,,,
0w5jptak9peti0mj,bar_grouped,0,0,6,0,"APAC is lowest region in all 6 years (true=6); both systems counted APAC's own min datum and returned 1, misreading cross-region comparison as within-group.",,,,,
5po479f2ju9lqv16,line_simple,1,1,,0,,,,,,
2kmpy10btl65kr2j,line_multiple,1,1,,0,,,,,,
0vqxnzu0mpbz12ch,bar_simple,1,1,,0,,,,,,
19xwo5oscmgpcdyl,bar_stacked,1,0,"105.6 (avg of all Subsidies_Billion_USD rows > 0.2; question's ""agricultural""/""industry"" fields don't exist in the energy-subsidy data, so the faithful read is filter>0.2 then average the sole numeric field)",0,"Question is template-mismatched to energy-subsidy data; ours faithfully does filter>0.2→average=105.6, baseline adds an unsupported group=Coal giving 2.857.",,,,,
0wgqpso2vnilpym6,bar_grouped,1,0,,0,,,,,,
651x1l1swysyy6vp,line_simple,0,0,"5th highest value is 78, on ""Apr 28 to 29, 2020"" (tied with ""Oct 29, 2020"" at 78)",1,"5th-highest=78 (Apr 28-29 2020); gold/baseline return 62 (Jun 10-11) and ours returns 69 (Feb 23-24) — all wrong; baseline only ""matched"" because gold itself is wrong.",,,,,
2s65jcap9pn289qx,line_multiple,1,0,-163.28 (sum of Female-Male differences for 2016-2020; equivalently 163.28 by sign),1,,,,,,
0vvz9mdgdiazke5o,bar_simple,0,1,"20.19 (average of 6.52, 14.82, 23.78, 35.64 for 2012-2015)",0,"Question asks average=20.19; ours computed sum=80.76 (wrong), baseline computed average=20.19 (correct), gold matches.",,,,,
19msoowya2szdynd,bar_stacked,0,0,"Unanswerable: data_csv has no Coal/Gas/Oil fields (only Agriculture/Industry/Services GDP shares), so the question cannot be computed.",0,"Question references Coal/Gas/Oil but data only has Agriculture/Industry/Services GDP shares; ours filtered Share_of_GDP>1/3 then summed group=Agriculture giving 0, which answers nothing real.",,,,,
0xc7sx6ll8fl5rgh,bar_grouped,0,0,"Filter to age groups where Clinton < Sanders (18–29, 30–44, 45–64). Gold's difference interpretation: avg of signed pairDiffs (-0.67, -0.34, -0.09) = -0.3667. Literal vote-share interpretation: avg of all vote shares in those 3 groups = 2.96/6 ≈ 0.4933 (or Clinton-only = 0.31). Either way a filter is required.",0,"Ours applied no filter and averaged all 8 rows (3.95/8=0.4938); the ~0.4933 filtered value is coincidental, so ours is wrong; baseline produced no spec; gold's -0.3667 matches its pairDiff+filter<0+average intent.",,,,,
66va2s35es5t86l3,line_simple,1,1,,0,,,,,,
3tc31k5k2o6wmvyp,line_multiple,0,0,5,0,"Per-date Dem+Rep sums: 58,43,47,61,66 <70 and Jul94=72 not; true count=5. Ours counted all 12 raw rows; baseline collapsed to one sum then 0.",,,,,
12sdcc2xjltg7qj2,bar_grouped,1,1,,0,,,,,,
72yqb8jwj9a6g4nx,line_simple,0,1,"39 (avg from 2011 = 71, avg up to 2010 = 32; |71-32| = 39)",0,"Ours=0 because both average ops point to the same filter input n1, collapsing both subsets; baseline=39 and gold=39 match true answer.",,,,,
6al86e9qyokma74i,line_simple,1,1,,0,,,,,,
724mfnyk34kp97le,line_simple,0,0,11,0,,,,,,
1q3mzgt77lwo172f,bar_stacked,1,0,"2011 (absolute difference 9.8 between first series ""0–500M"" 24.8 and last series ""Over 10,001M"" 15.0)",0,,,,,,
0xo3r87obscjsktm,bar_simple,0,1,"2.92 times (1110 / 380 = 2.921; ES-Ukraine diff 1110, ES-Denmark diff 380)",0,"Ours returned 0.3423 (reciprocal 380/1110); correct ratio is larger/smaller = 1110/380 = 2.92, which baseline got (2.9211); gold has no spec.",,,,,
0ykydh8vao50ceou,bar_grouped,0,0,"Direct writing (range 0.009: max 0.2 - min 0.191); per-channel ranges: Brokers 0.002, Direct writing 0.009, Agents 0.005, Bancassurance 0.006",0,"Ours computes global max/min then arbitrarily filters to Agents, final empty/null; true answer is Direct writing. Gold and baseline produced no spec.",,,,,
4p1m4tsmzmtvsrys,line_multiple,0,1,"11 (Obama higher on 12 days, Romney higher on 1 day; 12 - 1 = 11)",0,Ours counted by group label (got 0) instead of filtering pairDiff by sign; baseline and gold correctly filter >0/<0 to get 12-1=11.,,,,,
0wflwm4jebx7n12y,bar_simple,0,1,141.25 (max 380 − average 238.75),0,"True diff is 141.25; baseline=141.25 correct, ours=0.0 (findExtremum wrongly chained on average node) incorrect, gold=141.25 matches.",,,,,
21fa7gb8l1ix6yfm,bar_stacked,1,1,,0,,,,,,
0zjxkqy20iibpdvo,bar_grouped,0,0,0.0458 (avg Female on Male-dominant platforms 0.4867 minus avg Male on Female-dominant platforms 0.5325 = -0.0458; abs 0.0458),0,"Ours filter is no-op (>0), never compares Male vs Female, so value 0.0157 != true 0.0458; baseline is NaN; gold has no spec.",,,,,
0xnim79vztf8hjor,bar_simple,0,1,"05/06 (highest absolute difference from average 47.221, ≈3.14)",0,"Avg=47.221; max absolute diff is 05/06 (3.14); ours used signed diff returning 14/15 (1.68), wrong per explanation's ""highest absolute difference"".",,,,,
0w88bu7qm4ilsqmh,bar_simple,1,1,,0,,,,,,
0yx2080f08329xxb,bar_grouped,0,1,"0.0205 (combined blue+orange average for first five years 0.4567 minus last five years 0.4362 = ~0.0205, i.e. ~2.05 percentage points)",0,"True diff ~0.0205; ours=0.0094 computes channel diff-of-diffs (wrong); baseline=0.0211 within rounding of 0.0205 (correct); gold=0.0197 minor executor artifact, still ~correct.",,,,,
3z678inbp0t89ahu,line_multiple,1,0,5,0,,,,,,
3un2wyjae3ebkncl,line_multiple,0,0,"22.4 (Internet values for years 2003-2007 where Internet > Radio and Internet < Newspaper: 20,24,20,24,24)",0,"Baseline returned 25.5 = average of ALL Internet values, ignoring the cross-series Radio/Newspaper condition; correct answer is 22.4. Ours/gold produced no spec.",,,,,
1xz4egh52kvh2xwx,bar_stacked,1,1,,0,,,,,,
7272hodb02i6e09q,line_simple,0,0,0.03 (max before 2014 = 2.76; max after 2014 = 2.73; 2.76 - 2.73 = 0.03),0,"""after 2014"" range wrongly includes 2014 (2.75) via between[2014,2019], giving 0.01 instead of 0.03; gold uses strict >2014 and is correct.",,,,,
1y6itl6f2ho959ec,bar_stacked,0,0,,0,,,,,,
4ldjaoujpydpkbu5,line_multiple,0,0,"4 years (2009, 2010, 2011, 2012; |F-M| diff > avg 0.2736)",0,"True count is 4 (gold correct); ours=7 (signed diff broke threshold), baseline=0 (group:Female corrupted average).",,,,,
221xwpab655f7g8x,bar_stacked,1,1,,0,,,,,,
23an1hozb7myw4e2,bar_stacked,0,1,2017 (first year Men's apparel share decreases: 2016→2017 diff = -0.01),1,"Men's share: .22/.23/.24/.24/.23/.21; first negative diff is at 2017 (explanation's intent). Baseline=2017 correct; ours returned unreduced rows; gold=2016 is the peak year, disagrees with the stated ""first negative diff"" logic (though arguably a valid ""last year before decline"" reading).",,,,,
4wqpl5jrdmc75go3,line_multiple,0,1,10761.0 (avg of all future 2026-2029 values for both Direct and Total; equivalently (avgDirect 5084.875 + avgTotal 16437.125)/2),1,True avg over 2026-2029 both types = 10761.0; ours=15882.5 (just 2027 Total); baseline=9762.11 (only 2026 D+T avg); gold=9722.4286 drops 2029 Total (averages 7 of 8 values).,,,,,
74p313e1n8rzkfzp,line_simple,0,0,"Largest adjacent difference = 15, between age groups 16-17 and 18-19 (target 18-19)",0,"Max adjacent diff is 15 at 18-19; ours and baseline both returned 2.0 at 40-49 (the minimum), so both are wrong; gold (15.0, 18-19) is correct.",,,,,
7mgydgux0ay0flv4,line_simple,1,0,"Period 2016-2018 (centered on 2017), with the highest 3-year rolling average sales = 10865.3333",0,,,,,,
4pi1e6ev8e0zobww,line_multiple,0,1,500490.33 (male avg 5317035.33 − female avg 5817525.67 = −500490.33),0,"Ours dropped group filtering (-189021.17, wrong); baseline -500490.33 matches under sign convention; gold 500490.33 matches.",,,,,
1gb8sqnptdsdvagz,bar_grouped,0,1,"Hollywood (35%), Standard bikini line (15%), Full bikini line (10%) — the 3 types with share >=10% in the Under 30s group",0,Ours drops the Under-30s group filter (returns 7 rows across both age groups); baseline returns count=3 instead of the requested list of types.,,,,,
4vcdm7lwwlgdd0h1,line_multiple,0,1,2008 (smallest Senate-House difference = 1.05),0,"Question asks LEAST diff (2008, 1.05); ours found max diff (2016, 2.88) via findExtremum max, baseline correctly took smallest.",,,,,
1hm2mi3o0ejxp7tn,bar_grouped,1,1,,0,,,,,,
240rurpp2arislnt,bar_stacked,1,1,"51 (youngest min = 6, oldest max = 57; |57 - 6| = 51)",0,,,,,,
2a8mliwolqqo6s5u,bar_stacked,0,0,"2015 (Asia Pacific minus sum of other three regions = 0.41, the smallest; 2013 is 0.42)",0,True answer is 2015 (diff 0.41 < 2013's 0.42); baseline returned 2013 with bogus value -400.49 (sum not grouped by year); gold and ours produced no spec.,,,,,
1a6pxfig1xf4oeu3,bar_simple,0,0,2006-2012 (the years where franchise value is $200 million or less; 2013 onward all exceed 200),0,"Question wants the year range (2006-2012); ours returned empty (ops2 filter >200 over the already <200 subset), baseline returned a value diff 251 not a period.",,,,,
1ashoniy42n3n5jr,bar_simple,1,1,"285.3 (avg 2013-2019 = 4865.43 minus avg 2013-2020 = 4580.125; difference ≈285.3, signed -285.3)",0,,,,,,
4twwx65oath7vrkt,line_multiple,0,0,"Min imports = 1.15 (2001); years with exports > 1.15: 2007 (1.16), 2008 (1.31), 2010 (1.29), 2011 (1.5)",0,Gold filters Exports>1.15 yielding rows (correct: 2007/2008/2010/2011); ours' diffByValue and baseline's pairDiff both poison the working data so the final filter returns empty.,,,,,
1ar60b8rke2d8e64,bar_grouped,0,0,"1st month (smallest difference = 0.32: |0.68-0.36|; other diffs 0.38, 0.40, 0.44, 0.51)",0,"Both used signed (non-absolute) diff then min, returning -0.51/12th month (largest magnitude), but smallest difference is 0.32 at 1st month; gold (0.32, 1st month) is correct.",,,,,
7w9v4fsbg5ydxsr2,line_simple,0,0,0.156 (even-year avg 2.418 - odd-year avg 2.262),0,Gold=0.156 matches; ours=NaN (2nd filter chained off even-year subset→empty); baseline=0.1444 used between-ranges not even/odd parity.,,,,,
1a09xqtrj8zms716,bar_simple,1,1,,0,,,,,,
1bbe64wpvq06sknm,bar_simple,1,1,"avg=4597; per-year signed diffs: 2010/11=-94, 2011/12=-64, 2012/13=589, 2013/14=-161, 2014/15=-524, 2015/16=-108, 2016/17=935, 2017/18=-682, 2018/19=109",0,Question asks per-year diff vs overall avg (4597); all three specs do average→signed diffByValue producing the correct 9-row per-year diff list.,,,,,
16fif5hdi8yzml00,bar_grouped,0,1,7.5 (avg max 20 − avg min 12.5),0,"Ours used sum (no /4 averaging) yielding 80, not 7.5; baseline summed then scaled by 0.25 (=avg) to get 7.5; gold=7.5 correct.",,,,,
827lhm2w7n652knp,line_simple,0,1,"7 years (negative year-over-year differences: 2008, 2009, 2012, 2014, 2015, 2016, 2017)",0,"True answer is 7 negative diffs; ours=15 (count wrongly chained to n1 full lagDiff, not filtered n2), baseline=7 correct, gold=7 correct.",,,,,
1bv05pu9d8jnidty,bar_simple,1,1,,0,,,,,,
2mi8b2r0oalayl6g,bar_stacked,0,0,"2015 (golf wear+gear = 548.26, the smallest yearly sum)",0,"Answer should be year 2015; ours returned scalar 10616.16 and baseline scalar 3989.76, neither identifies the year.",,,,,
82aqt0k0jnbj3irf,line_simple,0,0,2015 (median = 5th of 9 sorted-ascending values = 494099),0,"Median is 2015/494099; ours returned empty (count op broke chain), baseline returned 575733/2014 (the max, not median).",,,,,
1jatwi94v2d8cr9u,bar_grouped,1,1,26.0 (Digital sum 192.0 − Package sum 166.0),0,,,,,,
2bhsybiilde28j87,bar_stacked,1,1,,0,,,,,,
1bywaj7stsb3060c,bar_simple,0,0,,0,,,,,,
6ah60yba8o7rw0i9,line_multiple,1,1,0.91 (max with-additives 2.48 − min without-additives 1.57),0,,,,,,
5p6g89v7l99aes05,line_multiple,0,0,2004 (difference of 31.9; Playoff 100.9 - All 69.0),0,"Max diff is 2004 (31.9); gold correct, ours returned 0.0/2002, baseline returned 8.21 (2012, the smallest diff).",,,,,
1ce802l2rdg98d7d,bar_simple,0,0,"PD (Partito Democratico), 0.19 (3rd largest share)",1,"3rd most = PD (0.19); gold gave Azione 0.031 (3rd-smallest), ours/baseline gave Forza Italia 0.075 (5th) — all wrong.",,,,,
1hokbw2gmzar9ye8,bar_grouped,0,1,0.427 (Women 60+ = 0.739 minus Men 18-39 = 0.312),0,"Ours used average without Group filter, yielding NaN; baseline and gold both correctly give 0.427.",,,,,
5wpw8detqynmqv1s,line_multiple,1,1,151 (female max 207 in 2002 minus male min 358 in 2013 = -151; absolute difference 151),0,"Female max=207, Male min=358, diff magnitude=151; ours' -151 (signed) is correct under sign convention despite auto-grader flagging WRONG.",,,,,
8e9wp443ff1i6snq,line_simple,0,0,2010 (the 2010→2011 change of |39.09-33.46|=5.63 is the biggest year-over-year difference; gold labels it 2011 by lagDiff convention),0,"Biggest abs diff is 5.63 (2010→2011)=gold; ours=0.26 (the minimum, wrong) and baseline=4.7 (2nd largest, wrong).",,,,,
2n0g3tsz1rsz6fgr,bar_stacked,0,0,"27.564 (Industry 5-year average for 2010-2014, the largest)",0,"Ours missing filter-to-Industry, returned 26.644/2019__2020 vs true 27.564/2010-2014; gold matches; baseline empty.",,,,,
8chfa8n079zpfigi,line_simple,0,0,11,0,"11 years have values in [20,30]; gold=11 correct, ours and baseline both returned 17 (counted only the >=20 filter, omitting the <=30 bound).",,,,,
1j7gx35h6i9mpi6j,bar_grouped,0,0,"0.19 (Beauty products 0.44 vs Books 0.63 on ""Much more important/A little more important"", |0.44-0.63|=0.19)",0,"Gold=0.19 correct; ours averaged wrong groups giving NaN; baseline summed all 3 response rows per item giving -0.01, both wrong.",,,,,
