Unnamed__0,title,production_budget
86,tomorrow never dies,110000000
87,as good as it gets,50000000
88,jackie brown,12000000
89,the postman,80000000
90,wag the dog,15000000
91,the replacement killers,30000000
92,sphere,73000000
93,the big lebowski,15000000
94,primary colors,65000000
95,lost in space,80000000
96,mercury rising,60000000
97,city of angels,55000000
98,he got game,25000000
99,deep impact,80000000
100,bulworth,30000000
101,the horse whisperer,60000000
102,godzilla,125000000
103,hope floats,30000000
104,the truman,60000000
105,"six days, seven nights",80000000
106,out of sight,48000000
107,armageddon,140000000
108,lethal weapon 4,140000000
109,small soldiers,40000000
110,there's something about mary,22000000
111,the mask of zorro,65000000
112,saving private ryan,65000000
113,the negotiator,50000000
114,snake eyes,73000000
115,blade,45000000
116,rounders,12000000
117,simon birch,20000000
118,one true thing,30000000
119,rush hour,35000000
120,ronin,55000000
121,antz,60000000
122,beloved,53000000
123,bride of chucky,25000000
124,practical magic,60000000
125,vampires,20000000
126,elizabeth,25000000
127,the waterboy,23000000
128,meet joe black,85000000
129,a bug's life,45000000
130,enemy of the state,85000000
131,babe: pig in the city,80000000
132,psycho,20000000
133,a simple plan,17000000
134,rushmore,10000000
135,shakespeare in love,26000000
136,the prince of egypt,60000000
137,you've got mail,65000000
138,the thin red line,52000000
139,a civil action,60000000
140,the faculty,15000000
141,patch adams,50000000
142,stepmom,50000000
143,varsity blues,16000000
144,blast from the past,35000000
145,my favorite martian,60000000
146,8mm,40000000
147,analyze this,30000000
148,cruel intentions,11000000
149,the corruptor,10000000
150,edtv,60000000
151,the matrix,65000000
152,life,75000000
153,election,8500000
154,entrapment,66000000
155,the mummy,80000000
156,tea with mussolini,14000000
157,instinct,55000000
158,tarzan,145000000
159,the general's daughter,60000000
160,big daddy,30000000
161,wild wild west,175000000
162,summer of sam,22000000
163,american pie,12000000
164,muppets from space,24000000
165,eyes wide shut,65000000
166,lake placid,27000000
167,the haunting,80000000
168,deep blue sea,60000000
169,runaway bride,70000000
170,the iron giant,50000000
171,the sixth sense,40000000
172,the thomas crown affair,48000000
173,bowfinger,55000000
174,the 13th warrior,125000000
175,stigmata,32000000
176,american beauty,15000000
177,blue streak,36000000
178,for love of the game,50000000
179,double jeopardy,40000000
180,three kings,48000000
181,drive me crazy,8000000
182,random hearts,64000000
183,fight club,65000000
184,the story of us,50000000
185,bringing out the dead,32000000
186,the best man,9000000
187,being john malkovich,13000000
188,house on haunted hill,19000000
189,the bone collector,48000000
190,the insider,68000000
191,anywhere but here,23000000
192,dogma,10000000
193,the world is not enough,135000000
194,sleepy hollow,70000000
195,toy story 2,90000000
196,end of days,100000000
197,the green mile,60000000
198,anna and the king,75000000
199,bicentennial man,90000000
200,magnolia,37000000
201,stuart little,105000000
202,man on the moon,52000000
203,any given sunday,60000000
204,the talented mr. ripley,40000000
205,the hurricane,38000000
206,next friday,9500000
207,my dog skip,7000000
208,scream 3,40000000
209,the beach,50000000
210,pitch black,23000000
211,wonder boys,35000000
212,mission to mars,90000000
213,erin brockovich,50000000
214,final destination,23000000
215,romeo must die,25000000
216,high fidelity,20000000
217,the road to el dorado,95000000
218,the skulls,15000000
219,rules of engagement,60000000
220,28 days,43000000
221,love and basketball,15000000
222,u-571,62000000
223,the flintstones in viva rock vegas,58000000
224,gladiator,103000000
225,road trip,16000000
226,shanghai noon,55000000
227,big momma's house,33000000
228,shaft,53012938
229,titan a.e.,75000000
230,chicken run,42000000
231,"me, myself & irene",51000000
232,the patriot,110000000
233,the perfect storm,120000000
234,scary movie,19000000
235,the kid,65000000
236,x-men,75000000
237,what lies beneath,90000000
238,hollow man,90000000
239,space cowboys,65000000
240,autumn in new york,40000000
241,bless the child,40000000
242,the replacements,50000000
243,the original kings of comedy,3000000
244,the art of war,40000000
245,bring it on,10000000
246,nurse betty,24000000
247,almost famous,60000000
248,best in,6000000
249,remember the titans,30000000
250,meet the parents,55000000
251,billy elliot,5000000
252,bedazzled,48000000
253,pay it forward,40000000
254,charlie's angels,90000000
255,the legend of bagger vance,60000000
256,the 6th day,82000000
257,how the grinch stole christmas,123000000
258,102 dalmatians,85000000
259,unbreakable,73243106
260,proof of life,65000000
261,vertical limit,75000000
262,chocolat,25000000
263,the emperor's new groove,100000000
264,what women want,65000000
265,finding forrester,43000000
266,cast away,85000000
267,the family man,60000000
268,miss congeniality,45000000
269,thirteen days,80000000
270,traffic,48000000
271,the wedding planner,28000000
272,hannibal,87000000
273,down to earth,30000000
274,the mexican,40000000
275,enemy at the gates,85000000
276,exit wounds,33000000
277,someone like you,23000000
278,spy kids,35000000
279,along came a spider,28000000
280,blow,30000000
281,joe dirt,16000000
282,crocodile dundee in los angeles,25000000
283,driven,72000000
284,the mummy returns,98000000
285,shrek,50000000
286,pearl harbor,151500000
287,the animal,22000000
288,evolution,80000000
289,swordfish,80000000
290,the fast and the furious,38000000
291,baby boy,16000000
292,scary movie 2,45000000
293,kiss of the dragon,25000000
294,legally blonde,18000000
295,the score,68000000
296,planet of the apes,100000000
297,the princess diaries,30000000
298,rush hour 2,90000000
299,captain corelli's mandolin,57000000
300,rat race,48000000
301,jay and silent bob strike back,22000000
302,the musketeer,40000000
303,hardball,21000000
304,zoolander,28000000
305,serendipity,28000000
306,training day,45000000
307,bandits,75000000
308,from hell,35000000
309,riding in cars with boys,47000000
310,k-pax,48000000
311,domestic disturbance,53000000
312,"monsters, inc.",115000000
313,the one,49000000
314,heist,35000000
315,shallow hal,40000000
316,spy game,90000000
317,in the bedroom,1700000
318,ocean's eleven,110000000
319,the royal tenenbaums,28000000
320,vanilla sky,70000000
321,a beautiful mind,78000000
322,joe somebody,38000000
323,the majestic,72000000
324,ali,109000000
325,gosford park,18000000
326,monster's ball,4000000
327,black hawk down,95000000
328,snow dogs,32000000
329,the count of monte cristo,40000000
330,a walk to remember,11000000
331,big fat liar,15000000
332,john q,36000000
333,dragonfly,60000000
334,40 days and 40 nights,17000000
335,all about the benjamins,14000000
336,ice age,65000000
337,resident evil,35000000
338,showtime,85000000
339,clockstoppers,26000000
340,panic room,48000000
341,high crimes,42000000
342,my big fat greek wedding,5000000
343,murder by numbers,50000000
344,the scorpion king,60000000
345,spider-man,139000000
346,unfaithful,50000000
347,about a boy,27000000
348,enough,38000000
349,insomnia,46000000
350,the sum of all fears,68000000
351,undercover brother,25000000
352,bad company,70000000
353,the bourne identity,60000000
354,scooby-doo,84000000
355,windtalkers,115000000
356,minority report,102000000
357,like mike,30000000
358,k-19: the widowmaker,90000000
359,stuart little 2,120000000
360,austin powers in goldmember,63000000
361,signs,70702619
362,blood work,50000000
363,xxx,70000000
364,barbershop,12000000
365,sweet home alabama,38000000
366,red dragon,78000000
367,the transporter,21000000
368,the ring,48000000
369,i spy,70000000
370,8 mile,41000000
371,harry potter and the chamber of secrets,100000000
372,die another day,142000000
373,analyze that,60000000
374,maid in manhattan,55000000
375,about schmidt,30000000
376,gangs of new york,97000000
377,catch me if you can,52000000
378,chicago,30000000
379,the hours,25000000
380,just married,19000000
381,final destination 2,26000000
382,how to lose a guy in 10 days,50000000
383,shanghai knights,50000000
384,daredevil,80000000
385,old school,24000000
386,cradle 2 the grave,25000000
387,bringing down the house,20000000
388,tears of the sun,75000000
389,the hunted,55000000
390,dreamcatcher,68000000
391,basic,50000000
392,head of state,35200000
393,the core,85000000
394,a man apart,36000000
395,phone booth,11000000
396,what a girl wants,25000000
397,anger management,56000000
398,holes,20000000
399,identity,28000000
400,daddy day care,60000000
401,the matrix reloaded,127000000
402,bruce almighty,81000000
403,finding nemo,94000000
404,the italian job,60000000
405,2 fast 2 furious,76000000
406,hollywood homicide,75000000
407,hulk,137000000
408,28 days later...,15000000
409,the league of extraordinary gentlemen,78000000
410,bad boys ii,130000000
411,seabiscuit,86000000
412,freaky friday,26000000
413,freddy vs. jason,25000000
414,open range,26000000
415,once upon a time in mexico,29000000
416,lost in translation,4000000
417,underworld,22000000
418,out of time,50000000
419,mystic river,30000000
420,kill bill: volume 1,55000000
421,intolerable cruelty,60000000
422,scary movie 3,45000000
423,the matrix revolutions,110000000
424,elf,32000000
425,master and commander: the far side of the world,135000000
426,bad santa,18000000
427,the missing,65000000
428,honey,18000000
429,the last samurai,120000000
430,big fish,70000000
431,something's gotta give,80000000
432,stuck on you,55000000
433,mona lisa smile,65000000
434,cheaper by the dozen,40000000
435,cold mountain,80000000
436,paycheck,60000000
437,peter pan,100000000
438,50 first dates,75000000
439,the passion of the christ,25000000
440,twisted,50000000
441,hidalgo,78000000
442,starsky & hutch,60000000
443,secret window,40000000
444,dawn of the dead,28000000
445,eternal sunshine of the spotless mind,20000000
446,jersey girl,35000000
447,the ladykillers,35000000
448,hellboy,60000000
449,walking tall,56000000
450,man on fire,60000000
451,mean girls,18000000
452,van helsing,170000000
453,troy,150000000
454,shrek 2,70000000
455,raising helen,50000000
456,the day after tomorrow,125000000
457,harry potter and the prisoner of azkaban,130000000
458,napoleon dynamite,400000
459,the chronicles of riddick,120000000
460,the stepford wives,100000000
461,around the world in 80 days,110000000
462,the terminal,75000000
463,fahrenheit 9/11,6000000
464,white chicks,20000000
465,the notebook,30000000
466,spider-man 2,200000000
467,king arthur,90000000
468,the bourne supremacy,85000000
469,garden state,2500000
470,the manchurian candidate,80000000
471,the village,71682975
472,collateral,60000000
473,cellular,45000000
474,ladder 49,60000000
475,shark tale,75000000
476,friday night lights,30000000
477,sideways,17000000
478,the incredibles,92000000
479,the polar express,170000000
480,after the sunset,57000000
481,finding neverland,25000000
482,national treasure,100000000
483,alexander,155000000
484,closer,35000000
485,the life aquatic with steve zissou,50000000
486,ocean's twelve,85000000
487,million dollar baby,30000000
488,the aviator,110000000
489,lemony snicket's a series of unfortunate events,100000000
490,spanglish,75000000
491,meet the fockers,60000000
492,the phantom of the opera,55000000
493,fat albert,45000000
494,in good company,26000000
495,are we there yet?,20000000
496,alone in the dark,20000000
497,hitch,55000000
498,constantine,75000000
499,be cool,75000000
500,the pacifier,56000000
501,robots,80000000
502,sin city,40000000
503,the interpreter,90000000
504,crash,6500000
505,monster-in-law,45000000
506,the longest yard,82000000
507,madagascar,75000000
508,cinderella man,88000000
509,batman begins,150000000
510,bewitched,80000000
511,fantastic four,87500000
512,charlie and the chocolate factory,150000000
513,the dukes of hazzard,53000000
514,four brothers,30000000
515,the exorcism of emily rose,18000000
516,serenity,39000000
517,wallace & gromit: the curse of the were-rabbit,30000000
518,domino,50000000
519,elizabethtown,54000000
520,the fog,18000000
521,saw ii,5000000
522,the legend of zorro,80000000
523,chicken little,60000000
524,jarhead,72000000
525,harry potter and the goblet of fire,150000000
526,walk the line,29000000
527,brokeback mountain,13900000
528,memoirs of a geisha,85000000
529,king kong,207000000
530,cheaper by the dozen 2,60000000
531,the white countess,16000000
532,superman returns,232000000
533,pirates of the caribbean: dead man's chest,225000000
534,miami vice,135000000
535,step up,12000000
536,snakes on a plane,33000000
537,the covenant,20000000
538,the black dahlia,60000000
539,gridiron gang,30000000
540,all the king's men,55000000
541,flyboys,60000000
542,the last king of scotland,6000000
543,school for scoundrels,20000000
544,the queen,15000000
545,the departed,90000000
546,little children,14000000
547,one night with the king,20000000
548,the prestige,40000000
549,catch a fire,14000000
550,saw iii,10000000
551,flushed away,149000000
552,a good year,35000000
553,stranger than fiction,30000000
554,bobby,14000000
555,for your consideration,12000000
556,happy feet,85000000
557,casino royale,102000000
558,the fountain,35000000
559,the nativity story,35000000
560,apocalypto,40000000
561,blood diamond,100000000
562,the holiday,85000000
563,charlotte's web,82500000
564,dreamgirls,75000000
565,the good german,32000000
566,the pursuit of happyness,55000000
567,letters from iwo jima,13000000
568,night at the museum,110000000
569,children of men,76000000
570,perfume: the story of a murderer,63700000
571,miss potter,30000000
572,code name: the cleaner,20000000
573,freedom writers,21000000
574,epic movie,20000000
575,smokin' aces,17000000
576,hannibal rising,50000000
577,ghost rider,120000000
578,the number 23,32000000
579,300,60000000
580,i think i love my wife,14000000
581,reign over me,20000000
582,shooter,60000000
583,the reaping,40000000
584,disturbia,20000000
585,hot fuzz,16000000
586,lucky you,55000000
587,spider-man 3,258000000
588,georgia rule,20000000
589,pirates of the caribbean: at world's end,300000000
590,knocked up,27500000
591,ocean's thirteen,85000000
592,evan almighty,175000000
593,a mighty heart,15000000
594,you kill me,4000000
595,live free or die hard,110000000
596,ratatouille,150000000
597,license to wed,35000000
598,transformers,151000000
599,harry potter and the order of the phoenix,150000000
600,hairspray,75000000
601,i now pronounce you chuck and larry,85000000
602,sunshine,40000000
603,the simpsons movie,72500000
604,the bourne ultimatum,130000000
605,rush hour 3,180000000
606,stardust,70000000
607,death at a funeral,20000000
608,superbad,17500000
609,3:10 to yuma,48000000
610,in the valley of elah,23000000
611,into the wild,20000000
612,resident evil: extinction,45000000
613,the game plan,22000000
614,the kingdom,72500000
615,we own the night,28000000
616,rendition,27500000
617,american gangster,100000000
618,bee movie,150000000
619,lions for lambs,35000000
620,beowulf,150000000
621,love in the time of cholera,45000000
622,redacted,5000000
623,enchanted,85000000
624,the mist,13000000
625,juno,7000000
626,atonement,30000000
627,alvin and the chipmunks,55000000
628,the kite runner,20000000
629,i am legend,150000000
630,the great debaters,15000000
631,welcome home roscoe jenkins,27500000
632,88 minutes,30000000
633,the forbidden kingdom,55000000
634,iron man,186000000
635,the happening,60000000
636,the incredible hulk,137500000
637,wall-e,180000000
638,wanted,75000000
639,the dark knight,185000000
640,the mummy: tomb of the dragon emperor,175000000
641,tropic thunder,90000000
642,the rocker,15000000
643,death race,65000000
644,the house bunny,25000000
645,babylon a.d.,45000000
646,disaster movie,20000000
647,bangkok dangerous,45000000
648,righteous kill,60000000
649,ghost town,20000000
650,lakeview terrace,20000000
651,my best friend's girl,20000000
652,eagle eye,80000000
653,fireproof,500000
654,religulous,2500000
655,an american carol,20000000
656,nick and norah's infinite playlist,10000000
657,rachel getting married,12000000
658,body of lies,67500000
659,city of ember,38000000
660,zack and miri make a porno,24000000
661,slumdog millionaire,14000000
662,twilight,37000000
663,frost/nixon,29000000
664,the reader,33000000
665,the wrestler,6000000
666,the tale of despereaux,60000000
667,yes man,50000000
668,the curious case of benjamin button,160000000
669,valkyrie,75000000
670,paul blart: mall cop,26000000
671,inkheart,60000000
672,knowing,50000000
673,12 rounds,20000000
674,monsters vs. aliens,175000000
675,state of play,60000000
676,dance flick,25000000
677,drag me to hell,30000000
678,up,175000000
679,away we go,21000000
680,the hangover,35000000
681,land of the lost,100000000
682,imagine that,55000000
683,the proposal,40000000
684,year one,60000000
685,transformers: revenge of the fallen,210000000
686,my sister's keeper,27500000
687,harry potter and the half-blood prince,250000000
688,district 9,30000000
689,inglourious basterds,70000000
690,taking woodstock,29000000
691,cloudy with a chance of meatballs,100000000
692,paranormal activity,15000
693,surrogates,80000000
694,zombieland,23600000
695,couples retreat,60000000
696,the damned united,6400000
697,law abiding citizen,53000000
698,where the wild things are,100000000
699,saw vi,11000000
700,the men who stare at goats,24000000
701,2012,200000000
702,me and orson welles,25000000
703,the imaginarium of doctor parnassus,30000000
704,the city of your final destination,8300000
705,robin hood,210000000
706,inception,160000000
707,scott pilgrim vs. the world,85000000
708,the town,37000000
