Unnamed__0,release_year
234,2000
235,2000
236,2000
237,2000
238,2000
239,2000
240,2000
241,2000
242,2000
243,2000
244,2000
245,2000
246,2000
247,2000
248,2000
249,2000
250,2000
251,2000
252,2000
253,2000
254,2000
255,2000
256,2000
257,2000
258,2000
259,2000
260,2000
261,2000
262,2000
263,2000
264,2000
265,2000
266,2000
267,2000
268,2000
269,2000
270,2000
271,2001
272,2001
273,2001
274,2001
275,2001
276,2001
277,2001
278,2001
279,2001
280,2001
281,2001
282,2001
283,2001
284,2001
285,2001
286,2001
287,2001
288,2001
289,2001
290,2001
291,2001
292,2001
293,2001
294,2001
295,2001
296,2001
297,2001
298,2001
299,2001
300,2001
301,2001
302,2001
303,2001
304,2001
305,2001
306,2001
307,2001
308,2001
309,2001
310,2001
311,2001
312,2001
313,2001
314,2001
315,2001
316,2001
317,2001
318,2001
319,2001
320,2001
321,2001
322,2001
323,2001
324,2001
325,2001
326,2001
327,2001
328,2002
329,2002
330,2002
331,2002
332,2002
333,2002
334,2002
335,2002
336,2002
337,2002
338,2002
339,2002
340,2002
341,2002
342,2002
343,2002
344,2002
345,2002
346,2002
347,2002
348,2002
349,2002
350,2002
351,2002
352,2002
353,2002
354,2002
355,2002
356,2002
357,2002
358,2002
359,2002
360,2002
361,2002
362,2002
363,2002
364,2002
365,2002
366,2002
367,2002
368,2002
369,2002
370,2002
371,2002
372,2002
373,2002
374,2002
375,2002
376,2002
377,2002
378,2002
379,2002
380,2003
381,2003
382,2003
383,2003
384,2003
385,2003
386,2003
387,2003
388,2003
389,2003
390,2003
391,2003
392,2003
393,2003
394,2003
395,2003
396,2003
397,2003
398,2003
399,2003
400,2003
401,2003
402,2003
403,2003
404,2003
405,2003
406,2003
407,2003
408,2003
409,2003
410,2003
411,2003
412,2003
413,2003
414,2003
415,2003
416,2003
417,2003
418,2003
419,2003
420,2003
421,2003
422,2003
423,2003
424,2003
425,2003
426,2003
427,2003
428,2003
429,2003
430,2003
431,2003
432,2003
433,2003
434,2003
435,2003
436,2003
437,2003
438,2004
439,2004
440,2004
441,2004
442,2004
443,2004
444,2004
445,2004
446,2004
447,2004
448,2004
449,2004
450,2004
451,2004
452,2004
453,2004
454,2004
455,2004
456,2004
457,2004
458,2004
459,2004
460,2004
461,2004
462,2004
463,2004
464,2004
465,2004
466,2004
467,2004
468,2004
469,2004
470,2004
471,2004
472,2004
473,2004
474,2004
475,2004
476,2004
477,2004
478,2004
479,2004
480,2004
481,2004
482,2004
483,2004
484,2004
485,2004
486,2004
487,2004
488,2004
489,2004
490,2004
491,2004
492,2004
493,2004
494,2004
495,2005
496,2005
497,2005
498,2005
499,2005
500,2005
501,2005
502,2005
503,2005
504,2005
505,2005
506,2005
507,2005
508,2005
509,2005
510,2005
511,2005
512,2005
513,2005
514,2005
515,2005
516,2005
517,2005
518,2005
519,2005
520,2005
521,2005
522,2005
523,2005
524,2005
525,2005
526,2005
527,2005
528,2005
529,2005
530,2005
531,2005
532,2006
533,2006
534,2006
535,2006
536,2006
537,2006
538,2006
539,2006
540,2006
541,2006
542,2006
543,2006
544,2006
545,2006
546,2006
547,2006
548,2006
549,2006
550,2006
551,2006
552,2006
553,2006
554,2006
555,2006
556,2006
557,2006
558,2006
559,2006
560,2006
561,2006
562,2006
563,2006
564,2006
565,2006
566,2006
567,2006
568,2006
569,2006
570,2006
571,2006
572,2007
573,2007
574,2007
575,2007
576,2007
577,2007
578,2007
579,2007
580,2007
581,2007
582,2007
583,2007
584,2007
585,2007
586,2007
587,2007
588,2007
589,2007
590,2007
591,2007
592,2007
593,2007
594,2007
595,2007
596,2007
597,2007
598,2007
599,2007
600,2007
601,2007
602,2007
603,2007
604,2007
605,2007
606,2007
607,2007
608,2007
609,2007
610,2007
611,2007
612,2007
613,2007
614,2007
615,2007
616,2007
617,2007
618,2007
619,2007
620,2007
621,2007
622,2007
623,2007
624,2007
625,2007
626,2007
627,2007
628,2007
629,2007
630,2007
631,2008
632,2008
633,2008
634,2008
635,2008
636,2008
637,2008
638,2008
639,2008
640,2008
641,2008
642,2008
643,2008
644,2008
645,2008
646,2008
647,2008
648,2008
649,2008
650,2008
651,2008
652,2008
653,2008
654,2008
655,2008
656,2008
657,2008
658,2008
659,2008
660,2008
661,2008
662,2008
663,2008
664,2008
665,2008
666,2008
667,2008
668,2008
669,2008
670,2009
671,2009
672,2009
673,2009
674,2009
675,2009
676,2009
677,2009
678,2009
679,2009
680,2009
681,2009
682,2009
683,2009
684,2009
685,2009
686,2009
687,2009
688,2009
689,2009
690,2009
691,2009
692,2009
693,2009
694,2009
695,2009
696,2009
697,2009
698,2009
699,2009
700,2009
701,2009
702,2009
703,2009
704,2010
705,2010
706,2010
707,2010
708,2010
