Unnamed__0,population,country,year
5746,,eu28 (shift),2010
8963,10094499.0,hungary,2004
2721,3617564.0,bosnia and herzegovina,2013
1720,6781747.0,austria,1943
16729,1610281.0,qatar,2009
11671,423577.0,malta,2011
124,19688634.0,afghanistan,2001
2307,7583777.0,belgium,1921
13991,182857555.0,north america,1941
18746,9301413.0,sweden,2009
10412,127001.0,kuwait,1932
3390,4842271.0,burundi,1984
10456,1168799.0,kuwait,1976
15234,,opec - south america (eia),1998
8583,785518.0,guyana,2018
3214,8753492.0,bulgaria,1973
2728,3318410.0,bosnia and herzegovina,2020
17038,41341.0,saint kitts and nevis,1988
10240,16993796.0,kazakhstan,1991
14471,2284192.0,norway,1903
4061,,central and south america (shift),1961
583,2879361.0,albania,2017
18325,24346811.0,spain,1934
11785,1194879.0,mauritius,1998
21030,34627648.0,uzbekistan,2022
9626,17846384.0,iraq,1991
313,,africa (ei),2010
11827,14468493.0,mexico,1918
16685,64859.0,qatar,1965
5229,13360000.0,czechoslovakia,1957
15517,3816688.0,oman,2013
14911,,oecd - europe (eia),2018
15198,,opec - africa (eia),2004
534,2195474.0,albania,1968
11160,3099123675.0,lower-middle-income countries,2014
9488,33841064.0,iran,1976
5436,4228235.0,denmark,1949
4103,,central and south america (shift),2003
17342,4165566.0,saudi arabia,1960
10069,44416502.0,japan,1900
10974,116668543.0,low-income countries,1951
1536,5691958.0,australia,1924
11887,64124000.0,mexico,1978
10633,1897057.0,latvia,2020
3285,12249767.0,burkina faso,2001
14205,,north america (shift),1951
8864,7358788.0,hungary,1905
17819,5893599.0,south africa,1908
1822,8878408.0,azerbaijan,2007
7776,81123264.0,germany,1995
18138,38731908.0,south korea,1981
15954,,persian gulf (eia),2007
12584,10831992.0,morocco,1957
12074,,middle east (ei),1965
2183,229474.0,barbados,1957
21200,14126641.0,vietnam,1904
4780,1514625.0,cote d'ivoire,1901
20733,,united states pacific islands (shift),2002
8045,8983231.0,greece,1977
15086,,opec (shift),1929
3714,18971014.0,canada,1963
2293,7233095.0,belgium,1907
19729,11933040.0,tunisia,2018
18399,45966544.0,spain,2008
20347,50509.0,united arab emirates,1905
5334,19583128.0,democratic republic of congo,1969
5315,12295748.0,democratic republic of congo,1950
10635,1850654.0,latvia,2022
21289,71176408.0,vietnam,1993
3750,30399776.0,canada,1999
706,41927008.0,algeria,2018
14323,10228064.0,north korea,1952
11953,,"mexico, chile, and other oecd americas (eia)",2001
13792,,non-oecd (ei),2007
2327,8343998.0,belgium,1941
13437,4812391.0,nicaragua,1996
8241,112497.0,grenada,2008
5974,11361079.0,egypt,1910
12699,5816523.0,mozambique,1949
6099,5552210.0,el salvador,1992
770,2840434.0,angola,1917
14549,4099860.0,norway,1981
19536,612773.0,trinidad and tobago,1948
17857,12040737.0,south africa,1946
1399,,asia and oceania (shift),1904
1081,45276788.0,argentina,2021
6547,,eurasia (shift),2002
5496,5526455.0,denmark,2009
17073,123929.0,saint lucia,1981
16898,20066550.0,romania,2013
14421,2113497.0,north macedonia,2018
7064,2833.0,falkland islands,1996
362,,africa (shift),1913
2229,267509.0,barbados,2003
5593,72435.0,dominica,2021
13080,27266398.0,nepal,2011
1326,,asia (ember),2012
6079,97723792.0,egypt,2015
1074,42824064.0,argentina,2014
12586,11452438.0,morocco,1959
2953,175873712.0,brazil,2000
2216,258871.0,barbados,1990
1718,6740236.0,austria,1941
20732,,united states pacific islands (shift),2001
216,375086296.0,africa,1971
2601,2470465.0,bolivia,1924
5828,,eastern africa (ei),2010
6760,,europe (ember),2017
15405,381971.0,oman,1901
18024,297146501.0,south america,1990
4645,1580286.0,congo,1974
4891,22010708.0,cote d'ivoire,2012
9479,26133346.0,iran,1967
15751,145476112.0,pakistan,1998
17052,46288.0,saint kitts and nevis,2002
12178,,middle east (ember),2004
18209,,south korea and other oecd asia (eia),2009
13267,181731.0,new caledonia,1991
1613,19248146.0,australia,2001
12684,4557101.0,mozambique,1934
5368,53205640.0,democratic republic of congo,2003
21084,3041974.0,venezuela,1911
9204,368231967.0,india,1938
9253,815716160.0,india,1987
7609,742853.0,gambia,1981
15958,,persian gulf (eia),2011
16235,10574987.0,philippines,1926
3049,32280.0,brunei,1931
20895,1336327932.0,upper-middle-income countries,1968
18791,4059522.0,switzerland,1931
10212,5056172.0,jordan,2000
19071,13070711.0,taiwan,1965
733,58200.0,american samoa,2002
11213,497876.0,luxembourg,2009
17150,5990.0,saint pierre and miquelon,2016
16248,14120183.0,philippines,1939
11364,13869136.0,madagascar,1995
21935,2567459.0,zimbabwe,1946
20808,107303.0,united states virgin islands,2003
2325,8287916.0,belgium,1939
21678,,yugoslavia,1903
21051,192087.0,vanuatu,2000
9116,212377.0,iceland,1973
16810,13201944.0,romania,1925
6448,,eurasia (shift),1903
21141,10672653.0,venezuela,1968
16521,8881846.0,portugal,1966
20244,28263326.0,ukraine,1920
17206,167464.0,samoa,1988
2386,10264351.0,belgium,2000
4960,3570664.0,cuba,1926
19615,1999787.0,tunisia,1904
16570,10365436.0,portugal,2015
4181,4096300.0,chile,1921
8762,4137786.0,honduras,1983
6466,,eurasia (shift),1921
19282,7497622.0,thailand,1901
2948,163515328.0,brazil,1995
15097,,opec (shift),1940
20457,8916909.0,united arab emirates,2015
18092,14306538.0,south korea,1935
7949,28320.0,gibraltar,2003
1689,6589530.0,austria,1912
4825,2521188.0,cote d'ivoire,1946
10969,108932630.0,low-income countries,1946
21662,24743944.0,yemen,2010
15280,7889021.0,oceania,1922
16599,3832138.0,puerto rico,2001
9539,2578082.0,iraq,1904
17822,6194530.0,south africa,1911
11063,575352981.0,lower-middle-income countries,1917
11203,429352.0,luxembourg,1999
3913,3089148.0,central african republic,1993
10754,4519410.0,liberia,2014
16590,3612634.0,puerto rico,1992
8626,11160441.0,haiti,2019
18994,22730734.0,syria,2011
8609,8661546.0,haiti,2002
6222,1346711.0,estonia,2006
12547,5772593.0,morocco,1920
7538,482194.0,gabon,1953
10686,1733736.0,lesotho,1988
3242,8034863.0,bulgaria,2001
21953,4310332.0,zimbabwe,1964
7099,47512.0,faroe islands,1989
4054,,central and south america (shift),1954
12765,26843252.0,mozambique,2015
1916,119805.0,bahrain,1936
4703,16942.0,cook islands,1989
19910,15123.0,turks and caicos islands,1995
20986,3413768.0,uruguay,2016
16033,,persian gulf (shift),1964
17833,7449070.0,south africa,1922
8755,1214846354.0,high-income countries,2019
21178,26668790.0,venezuela,2005
18595,375123.0,suriname,1980
4390,1321513216.0,china,2007
19513,406973.0,trinidad and tobago,1925
4224,8825044.0,chile,1964
2455,4293077.0,benin,1984
2907,60827596.0,brazil,1954
20989,3428412.0,uruguay,2019
16298,60127352.0,philippines,1989
9993,56711524.0,italy,1989
159,146256012.0,africa,1914
6361,34945472.0,ethiopia,1980
8408,5308300.0,guatemala,1969
20500,46949578.0,united kingdom,1935
15681,25129824.0,pakistan,1928
12496,10593.0,montserrat,1991
1911,119805.0,bahrain,1931
10694,1955102.0,lesotho,1996
8646,491482327.0,high-income countries,1910
15333,21537776.0,oceania,1975
17009,5971.0,saint helena,2001
7796,82073232.0,germany,2015
17000,6541.0,saint helena,1992
130,25903306.0,afghanistan,2007
13607,23572038.0,nigeria,1922
16826,15905325.0,romania,1941
758,3001447.0,angola,1905
7987,5722766.0,greece,1919
16524,8768163.0,portugal,1969
12466,3398373.0,mongolia,2022
3968,,central america (ei),1991
19972,10896.0,tuvalu,2015
13092,5209957.0,netherlands,1901
266,1393676724.0,africa,2021
5645,,eu28 (shift),1909
4116,,central and south america (shift),2016
11406,10112813.0,malawi,1995
19110,22703098.0,taiwan,2004
6188,3083900.0,eritrea,2009
9587,5930354.0,iraq,1952
17939,45674718.0,south america,1905
14999,,opec (ei),2007
12702,6082380.0,mozambique,1952
4548,526450.0,comoros,1999
9871,4803255.0,israel,1990
11931,127504120.0,mexico,2022
6391,89237800.0,ethiopia,2010
3906,2583635.0,central african republic,1986
6695,,europe (ei),1975
21781,1484651.0,zambia,1914
12315,4482513.0,moldova,1994
21841,4789047.0,zambia,1974
13365,2725199.0,new zealand,1967
20803,106879.0,united states virgin islands,1998
10171,127301744.0,japan,2002
5672,,eu28 (shift),1936
13592,20024302.0,nigeria,1907
2471,6998022.0,benin,2000
3903,2495102.0,central african republic,1983
13805,,non-oecd (ei),2020
7513,351599.0,gabon,1928
3949,,central america (ei),1972
15053,,opec (eia),2018
530,1949020.0,albania,1964
1576,11131608.0,australia,1964
1792,8642422.0,austria,2015
9218,372997184.0,india,1952
15756,166876672.0,pakistan,2003
14236,,north america (shift),1982
11723,370399.0,martinique,2020
17159,109700.0,saint vincent and the grenadines,1983
7039,,european union (eia),2013
16104,4574463.0,peru,1918
13433,4427177.0,nicaragua,1992
16380,25194625.0,poland,1948
2504,57897.0,bermuda,1991
14793,,oecd (shift),1979
21798,1702032.0,zambia,1931
11402,9831584.0,malawi,1991
7219,5363279.0,finland,2010
14891,,oecd - europe (eia),1998
4881,17683904.0,cote d'ivoire,2002
13582,23443400.0,niger,2019
7145,789209.0,fiji,1993
14088,,north america (ei),1980
11563,204268.0,maldives,1987
6631,653377719.0,europe,1969
18492,26298778.0,sudan,2000
16672,25958.0,qatar,1952
4730,17572.0,cook islands,2016
21946,3470499.0,zimbabwe,1957
18143,41808708.0,south korea,1986
20034,,u.s. territories (eia),1993
20245,28522687.0,ukraine,1921
10247,15474257.0,kazakhstan,1998
21885,17835898.0,zambia,2018
9338,68405199.0,indonesia,1949
1186,1250648056.0,asia,1937
5900,4490254.0,ecuador,1959
11891,70656784.0,mexico,1982
8194,56748.0,greenland,2003
10312,51985780.0,kenya,2020
8012,7467821.0,greece,1944
15111,,opec (shift),1954
16616,3319269.0,puerto rico,2018
16490,7206141.0,portugal,1935
18515,88412.0,suriname,1900
12310,,middle east (shift),2014
15458,484747.0,oman,1954
10051,2664027.0,jamaica,2004
13838,,non-oecd (eia),2010
17046,43120.0,saint kitts and nevis,1996
9252,797878976.0,india,1986
5329,16965852.0,democratic republic of congo,1964
20222,44404608.0,uganda,2020
856,18124346.0,angola,2003
6295,314451.0,eswatini,1956
6226,1331535.0,estonia,2010
11163,3236754793.0,lower-middle-income countries,2017
4441,8602649.0,colombia,1935
1293,,asia & oceania (eia),2001
15366,35745111.0,oceania,2008
7844,4223839.0,ghana,1940
11413,11784500.0,malawi,2002
123,19542986.0,afghanistan,2000
14034,388847666.0,north america,1984
21136,9059957.0,venezuela,1963
6835,,europe (shift),1969
4927,4223748.0,croatia,2016
11894,74872008.0,mexico,1985
5241,14280000.0,czechoslovakia,1969
8617,9842883.0,haiti,2010
12469,631931.0,montenegro,2007
6573,444363548.0,europe,1911
3208,8369839.0,bulgaria,1967
18692,7264358.0,sweden,1955
2185,231418.0,barbados,1959
17230,198131.0,samoa,2012
4744,3001463.0,costa rica,1988
12333,3507197.0,moldova,2012
8252,122737.0,grenada,2019
8978,9771799.0,hungary,2019
5840,,eastern africa (ei),2022
16212,6962152.0,philippines,1903
11971,,"mexico, chile, and other oecd americas (eia)",2019
10485,2235409.0,kuwait,2005
833,8330053.0,angola,1980
6787,,europe (shift),1921
4620,819090.0,congo,1949
4119,4622833.0,chad,1982
17436,12875878.0,senegal,2011
1011,17354614.0,argentina,1951
1830,9863485.0,azerbaijan,2015
2214,258771.0,barbados,1988
17850,10528607.0,south africa,1939
21653,19143456.0,yemen,2001
853,16394067.0,angola,2000
17609,3651905.0,singapore,1996
20469,42562831.0,united kingdom,1904
18914,2694373.0,syria,1931
763,2906100.0,angola,1910
19456,98744.0,tonga,1990
16852,19348540.0,romania,1967
11206,445920.0,luxembourg,2002
9435,10135396.0,iran,1923
21042,154694.0,vanuatu,1991
11328,4944331.0,madagascar,1959
12491,11098.0,montserrat,1986
13146,10767911.0,netherlands,1955
13941,,non-opec (eia),2013
13867,,non-opec (ei),1982
0,,asean (ember),2000
15774,231402112.0,pakistan,2021
14981,,opec (ei),1989
4667,2816600.0,congo,1996
5933,10914222.0,ecuador,1992
14683,,oecd (eia),2014
14972,,opec (ei),1980
10666,4995799.0,lebanon,2010
5099,1092402.0,cyprus,2008
4427,6429040.0,colombia,1921
15720,54629796.0,pakistan,1967
20666,217881440.0,united states,1978
5417,3545296.0,denmark,1930
7639,1998215.0,gambia,2011
2753,236228.0,botswana,1922
3943,,central america (ei),1966
11200,413202.0,luxembourg,1996
1991,1212086.0,bahrain,2011
11180,355900.0,luxembourg,1976
4820,2307792.0,cote d'ivoire,1941
2269,9874700.0,belarus,2006
21679,,yugoslavia,1904
12849,31554606.0,myanmar,1977
3800,498895.0,cape verde,2006
12708,6580335.0,mozambique,1958
2146,158593.0,barbados,1920
9498,48913236.0,iran,1986
10585,,latin america and caribbean (ember),2010
371,,africa (shift),1922
2138,168658.0,barbados,1912
12123,,middle east (ei),2014
7089,3786.0,falkland islands,2021
1818,8462335.0,azerbaijan,2003
16190,27893914.0,peru,2004
19079,15933851.0,taiwan,1973
7344,63071412.0,france,2012
10775,623258.0,libya,1913
15676,22937465.0,pakistan,1923
3642,21632852.0,cameroon,2013
8282,401620.0,guadeloupe,2007
20693,296842656.0,united states,2005
15903,4923454.0,paraguay,1998
10768,563995.0,libya,1906
18527,95564.0,suriname,1912
6637,677416162.0,europe,1975
2057,43282036.0,bangladesh,1954
15128,,opec (shift),1971
10436,204037.0,kuwait,1956
2381,10095204.0,belgium,1995
1891,85586.0,bahrain,1911
3797,480095.0,cape verde,2003
15736,91080376.0,pakistan,1983
17233,203586.0,samoa,2015
20490,46259648.0,united kingdom,1925
9564,3899075.0,iraq,1929
5282,8233995.0,democratic republic of congo,1917
4765,4563131.0,costa rica,2009
1597,15785685.0,australia,1985
14836,,oecd - asia and oceania (eia),1985
2451,3833947.0,benin,1980
4337,589936000.0,china,1954
356,,africa (shift),1907
13161,13037686.0,netherlands,1970
20035,,u.s. territories (eia),1994
18523,88908.0,suriname,1908
6311,467518.0,eswatini,1972
20104,,ussr,1943
17675,5374932.0,slovakia,2004
21771,1574998.0,zambia,1904
15841,4294391.0,panama,2020
7364,108778.0,french guiana,1989
12053,,middle africa (ei),2002
3597,6127201.0,cameroon,1968
5037,11199215.0,cuba,2003
20487,46546526.0,united kingdom,1922
15504,2344261.0,oman,2000
19762,14499730.0,turkey,1928
8874,7767474.0,hungary,1915
3624,13211643.0,cameroon,1995
15838,4096071.0,panama,2017
3835,38319.0,cayman islands,1999
8371,1927435.0,guatemala,1932
246,839464127.0,africa,2001
6325,730156.0,eswatini,1986
10272,16187124.0,kenya,1980
13566,12900793.0,niger,2003
2726,3400132.0,bosnia and herzegovina,2018
4512,42772912.0,colombia,2006
15687,28038984.0,pakistan,1934
4280,19300318.0,chile,2020
20542,56244844.0,united kingdom,1977
10599,2668865.0,latvia,1986
4783,1538993.0,cote d'ivoire,1904
3042,28599.0,brunei,1924
11737,2147536.0,mauritania,1992
21537,2029682397.0,world,1928
14300,7888263.0,north korea,1929
9762,4031961.0,ireland,2004
6251,131749.0,eswatini,1912
17703,1986263.0,slovenia,1999
12450,2581245.0,mongolia,2006
15970,,persian gulf (shift),1901
21558,2463242071.0,world,1949
17242,100949.0,sao tome and principe,1982
11654,378568.0,malta,1994
17488,10850000.0,serbia and montenegro,2000
20389,71473.0,united arab emirates,1947
18152,45393416.0,south korea,1995
10734,2125202.0,liberia,1994
5443,4459563.0,denmark,1956
18137,38170500.0,south korea,1980
20047,,u.s. territories (eia),2006
10451,858740.0,kuwait,1971
6968,412238154.0,european union (27),1985
810,5104334.0,angola,1957
12058,,middle africa (ei),2007
8407,5164911.0,guatemala,1968
1637,,australia and new zealand (eia),1982
11721,374843.0,martinique,2018
1663,,australia and new zealand (eia),2008
17484,11000000.0,serbia and montenegro,1996
18474,18128632.0,sudan,1982
19233,15671323.0,tanzania,1974
16848,18895146.0,romania,1963
8642,470485448.0,high-income countries,1906
12521,5108.0,montserrat,2016
3150,4415050.0,bulgaria,1909
10738,2639227.0,liberia,1998
1902,119805.0,bahrain,1922
17926,55876504.0,south africa,2015
18439,17204098.0,sri lanka,1990
14666,,oecd (eia),1997
15201,,opec - africa (eia),2007
6233,1317550.0,estonia,2017
19186,5281492.0,tanzania,1927
8173,51363.0,greenland,1982
18803,4352547.0,switzerland,1943
13315,1176113.0,new zealand,1917
21783,1470754.0,zambia,1916
14725,,oecd (shift),1911
18346,29095376.0,spain,1955
14812,,oecd (shift),1998
16858,20628254.0,romania,1973
3058,42042.0,brunei,1940
1712,6702847.0,austria,1935
2950,168546704.0,brazil,1997
16107,4767491.0,peru,1921
10723,2109151.0,liberia,1983
1059,36653032.0,argentina,1999
14765,,oecd (shift),1951
9898,8309256.0,israel,2017
5906,5337356.0,ecuador,1965
18042,385031415.0,south america,2008
19722,11032529.0,tunisia,2011
1652,,australia and new zealand (eia),1997
5034,11105799.0,cuba,2000
7931,28701.0,gibraltar,1985
1364,,asia pacific (ei),1992
5306,10595400.0,democratic republic of congo,1941
7336,60108436.0,france,2004
12548,5822794.0,morocco,1921
6829,,europe (shift),1963
16112,5150378.0,peru,1926
1218,2093665797.0,asia,1969
14037,404153729.0,north america,1987
15534,,other non-oecd - america (eia),1987
13122,7960289.0,netherlands,1931
4077,,central and south america (shift),1977
20449,5872640.0,united arab emirates,2007
21174,24880210.0,venezuela,2001
20607,102419259.0,united states,1919
14575,4709582.0,norway,2007
14317,10440758.0,north korea,1946
3356,2254121.0,burundi,1950
21373,,wake island (shift),1992
6851,,europe (shift),1985
1445,,asia and oceania (shift),1950
1260,4268479060.0,asia,2011
13454,6119377.0,nicaragua,2013
4329,527915947.0,china,1946
20174,,ussr,2013
12667,3758560.0,mozambique,1917
12568,7764682.0,morocco,1941
2797,574860.0,botswana,1966
9064,,ieo - middle east (eia),2020
19349,33807356.0,thailand,1968
14239,,north america (shift),1985
12150,,middle east (eia),1998
2942,148003424.0,brazil,1989
6207,1565621.0,estonia,1991
2276,9691143.0,belarus,2013
16755,686479.0,reunion,1992
5312,11660743.0,democratic republic of congo,1947
5499,5600955.0,denmark,2012
4482,23913004.0,colombia,1976
1886,79842.0,bahrain,1906
8526,1315670.0,guinea-bissau,2003
9014,,ieo - africa (eia),2012
7575,983039.0,gabon,1990
2518,62980.0,bermuda,2005
21301,83142096.0,vietnam,2005
8621,10412741.0,haiti,2014
9681,3812396.0,ireland,1923
21701,13580000.0,yugoslavia,1926
16070,,persian gulf (shift),2001
19622,2215480.0,tunisia,1911
18588,396348.0,suriname,1973
16253,15913398.0,philippines,1944
4348,723846336.0,china,1965
7690,63557664.0,germany,1909
3565,3462361.0,cameroon,1936
19780,19454100.0,turkey,1946
17992,141190603.0,south america,1958
7589,1417115.0,gabon,2004
15418,416492.0,oman,1914
11800,1290698.0,mauritius,2013
10231,10698682.0,jordan,2019
14693,,oecd (ember),2002
17767,691198.0,solomon islands,2020
5323,14569216.0,democratic republic of congo,1958
13797,,non-oecd (ei),2012
21631,7975105024.0,world,2022
21919,1874974.0,zimbabwe,1930
18517,88536.0,suriname,1902
21823,2758240.0,zambia,1956
13472,1476804.0,niger,1909
9087,,ieo oecd - europe (eia),2001
13156,12275797.0,netherlands,1965
15482,912754.0,oman,1978
19102,21612430.0,taiwan,1996
16090,3836833.0,peru,1904
502,1055458.0,albania,1936
8593,6375104.0,haiti,1986
16271,30185988.0,philippines,1962
18066,9841836.0,south korea,1909
14709,,oecd (ember),2018
8964,10073533.0,hungary,2005
8246,116954.0,grenada,2013
15050,,opec (eia),2015
13129,8654613.0,netherlands,1938
4479,22396324.0,colombia,1973
8134,,greenland,1943
7554,584637.0,gabon,1969
8026,8385152.0,greece,1958
14271,5432032.0,north korea,1900
5292,8869332.0,democratic republic of congo,1927
9888,6952007.0,israel,2007
19988,,u.s. pacific islands (eia),1989
18762,3377719.0,switzerland,1902
1512,3693331.0,australia,1900
21775,1533299.0,zambia,1908
16192,28381080.0,peru,2006
8304,130272.0,guam,1987
8245,115930.0,grenada,2012
15323,17609458.0,oceania,1965
11426,16938944.0,malawi,2015
17692,5447621.0,slovakia,2021
7292,45659572.0,france,1960
14789,,oecd (shift),1975
21837,4281679.0,zambia,1970
2493,53583.0,bermuda,1980
8861,7207003.0,hungary,1902
1416,,asia and oceania (shift),1921
11401,9539669.0,malawi,1990
5908,5658454.0,ecuador,1967
5058,627698.0,cyprus,1967
6579,451568957.0,europe,1917
436,,africa (shift),1987
3582,4519193.0,cameroon,1953
15723,59290872.0,pakistan,1970
888,,antarctica,1992
21992,12075835.0,zimbabwe,2003
11899,81720424.0,mexico,1990
4443,8860633.0,colombia,1937
2134,176343.0,barbados,1908
12997,5345917.0,nepal,1928
8210,55955.0,greenland,2019
6422,,eurasia (eia),1999
4190,4638243.0,chile,1930
10176,128006424.0,japan,2007
469,828461.0,albania,1903
21158,17402310.0,venezuela,1985
10843,3112019.0,libya,1981
20354,53066.0,united arab emirates,1912
5347,28219220.0,democratic republic of congo,1982
19501,355789.0,trinidad and tobago,1913
8393,3462957.0,guatemala,1954
21192,28971686.0,venezuela,2019
7939,27143.0,gibraltar,1993
20893,1276824449.0,upper-middle-income countries,1966
12418,1443134.0,mongolia,1974
4952,2899928.0,cuba,1918
6523,,eurasia (shift),1978
10731,1939244.0,liberia,1991
13665,72951440.0,nigeria,1980
15668,20364235.0,pakistan,1915
3574,3963176.0,cameroon,1945
14890,,oecd - europe (eia),1997
4658,2188660.0,congo,1987
18704,7882645.0,sweden,1967
4695,17582.0,cook islands,1981
12560,6770297.0,morocco,1933
18957,7244912.0,syria,1974
9090,,ieo oecd - europe (eia),2004
11448,2962236.0,malaysia,1915
16069,,persian gulf (shift),2000
20120,209900000.0,ussr,1959
15030,,opec (eia),1995
18415,11299725.0,sri lanka,1966
457,,africa (shift),2008
14343,15768368.0,north korea,1972
1134,96797.0,aruba,2007
13065,22783972.0,nepal,1996
270,,africa (ei),1967
21988,11716452.0,zimbabwe,1999
4696,17425.0,cook islands,1982
15924,6530029.0,paraguay,2019
2860,20982964.0,brazil,1907
8512,958245.0,guinea-bissau,1989
7938,26974.0,gibraltar,1992
358,,africa (shift),1909
11006,246279320.0,low-income countries,1983
12616,24148104.0,morocco,1989
8093,,greenland,1902
4873,13802283.0,cote d'ivoire,1994
17457,7935023.0,serbia,2000
4032,,central and south america (shift),1932
221,429573262.0,africa,1976
13440,5049885.0,nicaragua,1999
4250,13342876.0,chile,1990
5604,7129004.0,dominican republic,1990
16400,32016872.0,poland,1968
11726,1551693.0,mauritania,1981
3981,,central america (ei),2004
21744,19700000.0,yugoslavia,1969
11651,368676.0,malta,1991
18238,,south and central america (ei),1970
14730,,oecd (shift),1916
6730,,europe (ei),2010
18722,8389918.0,sweden,1985
18782,3903008.0,switzerland,1922
12903,1735959.0,namibia,1998
10539,3848392.0,laos,1986
16646,19191.0,qatar,1926
20691,291109824.0,united states,2003
17977,96371873.0,south america,1943
19272,49253648.0,tanzania,2013
1376,,asia pacific (ei),2004
15494,1804528.0,oman,1990
3064,45021.0,brunei,1946
19442,8046680.0,togo,2018
204,277648583.0,africa,1959
18600,387181.0,suriname,1985
2741,194195.0,botswana,1910
18247,,south and central america (ei),1979
6910,296810766.0,european union (27),1927
6786,,europe (shift),1920
19344,29114124.0,thailand,1963
12900,1605382.0,namibia,1995
7241,40408851.0,france,1909
7695,64033646.0,germany,1914
9828,1139421.0,israel,1947
16503,8271739.0,portugal,1948
14448,77177.0,northern mariana islands,2002
4513,43306592.0,colombia,2007
13100,5830495.0,netherlands,1909
12019,,middle africa (ei),1968
15136,,opec (shift),1979
4315,487883101.0,china,1932
20797,101546.0,united states virgin islands,1992
3393,5157770.0,burundi,1987
8880,7995099.0,hungary,1921
21860,8270921.0,zambia,1993
6891,277167972.0,european union (27),1908
21323,,wake island (eia),1984
18771,3735410.0,switzerland,1911
12676,4061487.0,mozambique,1926
5904,5034337.0,ecuador,1963
13752,,non-oecd (ei),1967
11419,13889420.0,malawi,2008
2441,337067.0,belize,2012
13030,10365144.0,nepal,1961
10030,2232789.0,jamaica,1983
1292,,asia & oceania (eia),2000
15897,4277057.0,paraguay,1992
14222,,north america (shift),1968
7371,142241.0,french guiana,1996
6275,206727.0,eswatini,1936
4142,10005013.0,chad,2005
14322,10557969.0,north korea,1951
6332,953454.0,eswatini,1993
90,10010037.0,afghanistan,1967
3276,9598555.0,burkina faso,1992
10303,42635148.0,kenya,2011
13478,1573259.0,niger,1915
3852,62274.0,cayman islands,2016
18823,5694677.0,switzerland,1963
17366,12310362.0,saudi arabia,1984
19789,23821346.0,turkey,1955
13681,110956184.0,nigeria,1996
4374,1170626176.0,china,1991
1638,,australia and new zealand (eia),1983
19095,20404386.0,taiwan,1989
12412,1230411.0,mongolia,1968
8351,1527765.0,guatemala,1912
14232,,north america (shift),1978
1191,1306306710.0,asia,1942
3883,,central & south america (eia),2005
2259,10436455.0,belarus,1996
18973,12409003.0,syria,1990
16913,148005696.0,russia,1990
