Unnamed__0,coal_production,country
21736,80.294,yugoslavia
11476,4.046,malaysia
8950,55.172,hungary
12442,26.76,mongolia
18213,,south korea and other oecd asia (eia)
16881,93.789,romania
16439,726.756,poland
14997,,opec (ei)
7167,0.0,fiji
4314,122.607,china
11085,228.88,lower-middle-income countries
1885,,bahrain
895,,antarctica
10303,0.0,kenya
17395,0.0,saudi arabia
23,0.0,afghanistan
15628,,other non-oecd - europe and eurasia (eia)
17795,0.0,somalia
847,0.0,angola
4761,0.0,costa rica
8287,0.0,guadeloupe
21284,39.728,vietnam
640,2.19,algeria
11709,0.0,martinique
8558,0.0,guyana
15966,,persian gulf (eia)
7983,0.064,greece
18176,5.963,south korea
5325,1.327,democratic republic of congo
12178,,middle east (ember)
8490,0.0,guinea
12755,0.267,mozambique
17940,8.14,south america
3967,,central america (ei)
12004,,micronesia (country)
3293,0.0,burkina faso
13647,5.161,nigeria
17006,0.0,saint helena
8839,0.0,hong kong
17616,0.0,singapore
3575,,cameroon
11683,0.0,martinique
15059,0.0,opec (shift)
19505,,trinidad and tobago
19801,70.253,turkey
15944,,persian gulf (eia)
11236,0.0,macao
159,55.367,africa
2671,0.0,bolivia
6683,3970.236,europe
19789,46.456,turkey
18601,0.0,suriname
14645,10099.709,oecd (ei)
1205,1392.863,asia
16376,576.261,poland
5170,122.446,czechia
1487,10666.686,asia and oceania (shift)
20217,0.0,uganda
13425,0.0,nicaragua
6031,,egypt
20091,304.29,ussr
20846,354.24,upper-middle-income countries
292,1228.45,africa (ei)
6917,1950.565,european union (27)
17832,72.901,south africa
5714,4574.036,eu28 (shift)
4407,0.0,colombia
15228,,opec - south america (eia)
17702,16.261,slovenia
16502,3.452,portugal
15208,,opec - africa (eia)
4332,180.193,china
18019,131.756,south america
1360,8641.372,asia pacific (ei)
7685,725.256,germany
8115,0.0,greenland
17587,,singapore
19569,0.0,trinidad and tobago
17812,11.21,south africa
15375,3493.439,oceania
4633,,congo
18715,0.121,sweden
5125,,czechia
20404,,united arab emirates
14488,0.636,norway
20845,367.422,upper-middle-income countries
3389,0.0,burundi
13301,9.63,new zealand
15366,2755.357,oceania
8064,83.61,greece
3791,0.0,cape verde
20352,,united arab emirates
15570,,other non-oecd - asia (eia)
20944,26061.764,upper-middle-income countries
14052,6766.947,north america
11905,53.109,mexico
9980,4.953,italy
3931,0.0,central african republic
19692,0.0,tunisia
5104,0.0,cyprus
5793,,eastern africa (ei)
15225,,opec - south america (eia)
8738,11319.838,high-income countries
5936,0.0,ecuador
4832,,cote d'ivoire
3993,,central america (ei)
10108,392.678,japan
2503,0.0,bermuda
15792,0.0,palestine
13142,101.924,netherlands
6013,,egypt
1837,,azerbaijan
1000,0.007,argentina
14419,9.133,north macedonia
10636,0.0,lebanon
18181,,south korea and other oecd asia (eia)
21089,0.155,venezuela
10269,485.08,kazakhstan
20018,,u.s. pacific islands (eia)
9676,0.757,ireland
4303,82.139,china
7370,0.0,french guiana
9924,5.07,italy
1545,67.326,australia
661,0.106,algeria
3800,0.0,cape verde
18575,,suriname
2094,0.0,bangladesh
11627,0.0,mali
15472,,oman
12366,0.0,mongolia
21903,2.581,zimbabwe
7913,0.0,ghana
1798,,austria
6774,3838.301,europe (shift)
17386,0.0,saudi arabia
14207,3472.049,north america (shift)
14055,6936.563,north america
13669,0.574,nigeria
3028,,brunei
3175,7.026,bulgaria
20961,0.0,uruguay
8891,24.268,hungary
19104,0.6,taiwan
19484,,tonga
6734,2380.712,europe (ei)
15808,0.0,panama
8875,31.289,hungary
13391,23.489,new zealand
19309,0.0,thailand
16291,3.609,philippines
3781,0.0,cape verde
21857,3.273,zambia
18288,462.204,south and central america (ei)
10927,0.0,low-income countries
10598,,latvia
4499,174.24,colombia
18221,,south korea and other oecd asia (eia)
3026,,brunei
18572,,suriname
19275,2.084,tanzania
13560,0.967,niger
20538,903.619,united kingdom
21728,38.659,yugoslavia
2732,0.0,botswana
14187,2695.047,north america (shift)
8898,37.433,hungary
17986,41.684,south america
6261,0.0,eswatini
12473,5.318,montenegro
1889,,bahrain
19681,0.0,tunisia
12532,0.0,morocco
2890,4.774,brazil
11134,2332.907,lower-middle-income countries
4158,,chad
8243,0.0,grenada
12113,9.239,middle east (ei)
20633,4293.315,united states
1425,649.643,asia and oceania (shift)
12517,0.0,montserrat
9280,3133.724,india
13528,0.0,niger
14346,288.721,north korea
14634,12654.913,oecd (ei)
826,,angola
3094,,brunei
17689,,slovakia
7110,0.0,faroe islands
765,,angola
1217,2972.597,asia
20123,3001.2,ussr
17933,1485.46,south africa
2873,1.921,brazil
8773,0.0,honduras
4716,0.0,cook islands
18538,,suriname
149,25.596,africa
1261,28752.855,asia
4947,,cuba
16255,0.264,philippines
13687,0.31,nigeria
16415,1423.497,poland
4780,,cote d'ivoire
14696,,oecd (ember)
8467,0.0,guinea
4373,6279.519,china
12472,5.224,montenegro
5588,0.0,dominica
15026,,opec (eia)
19123,,taiwan
9992,8.092,italy
19642,0.0,tunisia
2409,0.0,belize
4331,72.193,china
17271,0.0,sao tome and principe
2228,0.0,barbados
8957,42.75,hungary
16390,644.742,poland
521,0.794,albania
8951,50.174,hungary
9107,,ieo oecd - europe (eia)
3817,0.0,cayman islands
6452,174.307,eurasia (shift)
5376,0.011,democratic republic of congo
4269,3.26,chile
19435,0.0,togo
516,0.167,albania
1035,3.445,argentina
20324,403.293,ukraine
6546,2815.968,eurasia (shift)
12573,1.807,morocco
8547,0.0,guyana
12562,0.431,morocco
19565,,trinidad and tobago
166,79.079,africa
18169,10.959,south korea
14002,3614.79,north america
21405,,west germany (eia)
5131,501.446,czechia
9764,0.0,ireland
9274,2647.512,india
7008,,european union (eia)
7823,,ghana
1318,,asia (ember)
20503,1579.068,united kingdom
21275,44.776,vietnam
16588,0.0,puerto rico
72,0.041,afghanistan
17960,15.905,south america
1568,154.395,australia
12855,0.422,myanmar
18940,,syria
7557,,gabon
12711,2.613,mozambique
10753,0.0,liberia
21423,,western africa (ei)
11252,0.0,macao
13629,5.08,nigeria
3818,0.0,cayman islands
21676,2.09,yugoslavia
1317,,asia (ember)
18202,,south korea and other oecd asia (eia)
4640,,congo
18320,50.367,spain
7073,0.0,falkland islands
13593,0.0,nigeria
10318,0.0,kiribati
21874,0.1,zambia
13544,0.178,niger
6952,3622.268,european union (27)
7420,0.0,french polynesia
8384,,guatemala
19449,0.0,tonga
12818,0.0,myanmar
18358,101.502,spain
2992,0.0,british virgin islands
10550,0.465,laos
4590,,congo
14883,,oecd - europe (eia)
15468,,oman
19451,0.0,tonga
14580,10.107,norway
9374,13.706,indonesia
6054,0.0,egypt
3950,,central america (ei)
1207,2424.813,asia
8941,83.702,hungary
13866,,non-opec (ei)
8166,0.0,greenland
10403,,kuwait
13115,50.91,netherlands
4168,7.545,chile
13670,1.057,nigeria
21717,0.0,yugoslavia
4705,0.0,cook islands
19199,0.0,tanzania
16093,1.514,peru
14543,3.485,norway
13727,0.0,niue
17844,72.227,south africa
13255,,netherlands antilles
1431,824.537,asia and oceania (shift)
15534,,other non-oecd - america (eia)
10439,,kuwait
452,1697.026,africa (shift)
898,,antarctica
21509,5349.888,world
15962,,persian gulf (eia)
6394,0.0,ethiopia
16172,1.371,peru
20332,444.476,ukraine
15125,3.395,opec (shift)
21965,29.251,zimbabwe
18248,,south and central america (ei)
1740,24.18,austria
17965,13.076,south america
19816,86.842,turkey
20598,3402.565,united states
2104,0.0,bangladesh
12894,,myanmar
1014,0.638,argentina
8826,0.0,hong kong
18052,736.563,south america
16765,0.0,reunion
2175,,barbados
9497,8.848,iran
3604,,cameroon
2642,,bolivia
15147,28.453,opec (shift)
11953,,"mexico, chile, and other oecd americas (eia)"
17429,0.0,senegal
17867,226.503,south africa
4566,,comoros
7957,0.0,gibraltar
18689,2.624,sweden
5314,1.237,democratic republic of congo
18782,,switzerland
20293,,ukraine
7832,,ghana
15367,2855.148,oceania
3951,,central america (ei)
20743,0.0,united states pacific islands (shift)
5620,0.0,dominican republic
17823,49.767,south africa
10835,,libya
12049,,middle africa (ei)
19613,0.0,tunisia
21245,3.069,vietnam
10208,0.0,jordan
7029,,european union (eia)
3760,385.477,canada
3439,,cis (ei)
20477,1811.571,united kingdom
9658,0.0,ireland
11392,0.0,malawi
10492,0.0,kuwait
768,,angola
8578,0.0,guyana
11626,0.0,mali
14707,,oecd (ember)
17686,6.069,slovakia
2790,0.0,botswana
4410,0.0,colombia
14598,,oecd (ei)
15586,,other non-oecd - asia (eia)
19448,0.0,tonga
6604,5136.967,europe
17871,257.315,south africa
9326,11.178,indonesia
1028,3.239,argentina
2901,12.669,brazil
5500,0.0,denmark
14314,53.633,north korea
9025,,ieo - middle east (eia)
6895,2219.725,european union (27)
7513,,gabon
18499,0.0,sudan
7338,0.0,france
10576,,latin america and caribbean (ember)
5080,0.0,cyprus
6597,4435.266,europe
5184,174.307,czechoslovakia
18332,63.926,spain
18066,0.0,south korea
7934,0.0,gibraltar
2701,5.529,bosnia and herzegovina
16029,1.872,persian gulf (shift)
689,0.0,algeria
7550,,gabon
13773,13205.569,non-oecd (ei)
10280,0.0,kenya
19632,0.072,tunisia
3316,0.0,burundi
17275,0.0,sao tome and principe
3413,0.0,burundi
5220,208.097,czechoslovakia
3201,72.117,bulgaria
8160,0.0,greenland
11434,0.147,malaysia
9219,232.583,india
17191,0.0,saint vincent and the grenadines
14190,3476.375,north america (shift)
2967,41.827,brazil
13377,14.339,new zealand
11901,33.212,mexico
1236,8003.782,asia
8916,74.778,hungary
10398,,kuwait
15373,3579.409,oceania
5739,2276.165,eu28 (shift)
9077,,ieo oecd - europe (eia)
1102,0.0,armenia
15164,66.12,opec (shift)
10013,0.56,italy
11959,,"mexico, chile, and other oecd americas (eia)"
183,122.938,africa
16242,0.088,philippines
6088,0.0,el salvador
6343,3.382,eswatini
6737,2021.272,europe (ei)
12535,0.0,morocco
2730,,bosnia and herzegovina
6553,3417.597,eurasia (shift)
19763,10.796,turkey
21033,0.0,vanuatu
4429,0.0,colombia
14554,3.594,norway
21367,0.0,wake island (shift)
19683,0.0,tunisia
7970,0.014,greece
14939,,oecd - north america (eia)
11717,0.0,martinique
10752,0.0,liberia
8984,,ieo - africa (eia)
3247,50.095,bulgaria
7946,0.0,gibraltar
15717,6.81,pakistan
18771,,switzerland
6265,0.0,eswatini
21680,2.449,yugoslavia
2113,4.318,bangladesh
15864,0.0,papua new guinea
9876,0.0,israel
20950,0.0,uruguay
20279,,ukraine
8252,,grenada
19555,,trinidad and tobago
20649,2875.142,united states
1803,,azerbaijan
14273,0.0,north korea
4305,81.726,china
1145,,aruba
5865,,ecuador
17685,7.099,slovakia
10463,0.0,kuwait
5026,0.0,cuba
9114,,iceland
6858,3585.999,europe (shift)
11903,48.611,mexico
8129,0.0,greenland
21751,117.651,yugoslavia
9406,2691.093,indonesia
14067,4805.539,north america
21333,,wake island (eia)
947,0.0,antigua and barbuda
20024,,u.s. territories (eia)
18833,,switzerland
18150,49.232,south korea
3903,0.0,central african republic
6809,4590.945,europe (shift)
18738,0.0,sweden
10309,,kenya
18151,38.717,south korea
13681,0.128,nigeria
15535,,other non-oecd - america (eia)
17059,0.0,saint kitts and nevis
21721,24.117,yugoslavia
9416,0.0,iran
18244,,south and central america (ei)
10183,8.862,japan
12263,2.361,middle east (shift)
3536,,cameroon
19405,0.0,togo
8803,,hong kong
18581,,suriname
7032,,european union (eia)
7359,0.0,french guiana
9166,39.547,india
10230,,jordan
14878,,oecd - europe (eia)
11925,70.601,mexico
2638,,bolivia
2189,,barbados
9897,0.0,israel
21049,0.0,vanuatu
19081,25.571,taiwan
12705,1.4,mozambique
7854,,ghana
8186,0.0,greenland
7198,0.0,finland
12647,,morocco
187,157.085,africa
12032,,middle africa (ei)
14844,,oecd - asia and oceania (eia)
18073,0.0,south korea
12694,0.13,mozambique
5584,0.0,dominica
9574,,iraq
20626,2679.773,united states
3581,,cameroon
17519,0.0,seychelles
4276,13.514,chile
4961,,cuba
5933,0.0,ecuador
1945,,bahrain
7976,0.014,greece
15883,,papua new guinea
6592,4372.699,europe
5395,0.0,denmark
9064,,ieo - middle east (eia)
9567,,iraq
7136,0.0,fiji
17711,15.127,slovenia
4465,20.19,colombia
6681,4129.804,europe
10587,,latin america and caribbean (ember)
12327,0.0,moldova
19052,8.54,taiwan
11346,0.0,madagascar
15561,,other non-oecd - america (eia)
5511,0.0,djibouti
13665,0.893,nigeria
15364,2598.517,oceania
995,0.0,argentina
19714,0.0,tunisia
5972,,egypt
20811,0.0,united states virgin islands
10426,,kuwait
4717,0.0,cook islands
9573,,iraq
12355,0.0,mongolia
6344,3.124,eswatini
12495,0.0,montserrat
18529,,suriname
10228,0.0,jordan
13282,0.0,new caledonia
5904,,ecuador
13195,0.0,netherlands
313,1707.907,africa (ei)
19893,,turkmenistan
14637,12326.627,oecd (ei)
2419,0.0,belize
5417,0.0,denmark
11648,0.0,malta
699,0.0,algeria
18184,,south korea and other oecd asia (eia)
17707,16.111,slovenia
5286,0.024,democratic republic of congo
19896,0.0,turks and caicos islands
10429,,kuwait
1287,,asia & oceania (eia)
6390,0.135,ethiopia
12406,2.409,mongolia
17056,0.0,saint kitts and nevis
4002,6.02,central and south america (shift)
1030,4.228,argentina
16756,0.0,reunion
19998,,u.s. pacific islands (eia)
2258,0.0,belarus
11710,0.0,martinique
14832,,oecd - asia and oceania (eia)
18085,0.0,south korea
20200,0.0,uganda
1933,,bahrain
8897,33.015,hungary
9916,1.63,italy
11597,,maldives
21062,0.0,vanuatu
19127,,taiwan
13619,2.149,nigeria
8464,0.0,guinea
5479,0.0,denmark
5721,4222.765,eu28 (shift)
14808,11584.58,oecd (shift)
5119,,czechia
4182,8.452,chile
13194,0.0,netherlands
5217,136.6,czechoslovakia
13084,0.09,nepal
11404,0.38,malawi
18482,0.0,sudan
12563,0.407,morocco
8587,0.0,haiti
1293,,asia & oceania (eia)
11401,0.367,malawi
13526,0.0,niger
10394,,kuwait
9662,0.0,ireland
2973,27.919,brazil
12496,0.0,montserrat
8211,,greenland
14884,,oecd - europe (eia)
7956,0.0,gibraltar
3868,,central & south america (eia)
4977,,cuba
19158,,tajikistan
19539,,trinidad and tobago
7084,0.0,falkland islands
10482,0.0,kuwait
9461,1.384,iran
18196,,south korea and other oecd asia (eia)
8641,6214.328,high-income countries
10444,,kuwait
19375,60.224,thailand
8690,8407.307,high-income countries
20388,,united arab emirates
18141,109.355,south korea
5762,,east germany (eia)
14652,,oecd (eia)
16006,0.0,persian gulf (shift)
8248,0.0,grenada
20724,0.0,united states pacific islands (shift)
4516,593.98,colombia
9600,,iraq
3833,0.0,cayman islands
18399,50.87,spain
5474,0.0,denmark
11465,2.296,malaysia
7796,497.909,germany
9140,0.0,iceland
16534,1.457,portugal
6545,2752.591,eurasia (shift)
7179,,finland
11424,0.49,malawi
11245,0.0,macao
7103,0.0,faroe islands
14464,,northern mariana islands
21384,0.0,wake island (shift)
12510,0.0,montserrat
8872,34.776,hungary
6827,5675.757,europe (shift)
1387,31723.238,asia pacific (ei)
21933,14.719,zimbabwe
10876,0.0,libya
20485,1596.657,united kingdom
16198,2.774,peru
14793,11100.702,oecd (shift)
8284,0.0,guadeloupe
18775,,switzerland
7456,,g20 (ember)
10256,490.805,kazakhstan
1452,1712.937,asia and oceania (shift)
12295,8.32,middle east (shift)
3819,0.0,cayman islands
10245,385.178,kazakhstan
622,0.277,algeria
2357,81.611,belgium
14730,8082.637,oecd (shift)
8296,,guadeloupe
5501,0.0,denmark
9058,,ieo - middle east (eia)
11165,7906.262,lower-middle-income countries
13233,0.0,netherlands antilles
10371,16.449,kosovo
11337,0.0,madagascar
8516,0.0,guinea-bissau
644,2.418,algeria
7699,1041.302,germany
19703,0.0,tunisia
20792,0.0,united states virgin islands
18097,0.0,south korea
6481,787.538,eurasia (shift)
18280,773.194,south and central america (ei)
21534,8710.933,world
10257,557.575,kazakhstan
11842,3.761,mexico
5416,0.0,denmark
9820,,israel
16842,38.786,romania
16340,268.653,poland
8624,,haiti
10733,0.0,liberia
17109,,saint lucia
15845,0.0,papua new guinea
17577,,sierra leone
7350,,france
19093,11.926,taiwan
2170,,barbados
18540,,suriname
11057,92.347,lower-middle-income countries
423,488.972,africa (shift)
16921,1265.925,russia
833,0.0,angola
21840,6.424,zambia
4132,0.0,chad
9723,1.449,ireland
12187,,middle east (ember)
10957,13.97,low-income countries
16810,9.582,romania
17460,104.764,serbia
17391,0.0,saudi arabia
20690,6329.053,united states
8808,,hong kong
293,1221.226,africa (ei)
10701,0.0,lesotho
3968,,central america (ei)
12084,,middle east (ei)
1007,0.096,argentina
5753,,east germany (eia)
2128,,barbados
18736,0.0,sweden
5056,,cyprus
7051,0.0,falkland islands
4056,48.956,central and south america (shift)
8535,0.0,guinea-bissau
21926,8.385,zimbabwe
18639,2.307,sweden
16382,526.171,poland
8822,0.0,hong kong
16703,0.0,qatar
2106,0.137,bangladesh
4669,0.0,congo
16526,2.06,portugal
3099,0.0,brunei
7506,,gabon
19136,0.124,tajikistan
20562,352.429,united kingdom
3192,26.882,bulgaria
14860,,oecd - asia and oceania (eia)
16180,0.585,peru
10881,,libya
2363,52.65,belgium
7561,,gabon
2436,0.0,belize
1763,10.073,austria
19667,0.0,tunisia
15785,0.0,palestine
7812,,ghana
8351,,guatemala
6644,9452.504,europe
16012,0.562,persian gulf (shift)
17351,,saudi arabia
15336,564.64,oceania
20711,0.0,united states pacific islands (shift)
16406,1165.542,poland
12879,4.605,myanmar
17401,,saudi arabia
6815,4505.004,europe (shift)
6535,4011.282,eurasia (shift)
19122,0.0,taiwan
447,1593.719,africa (shift)
778,,angola
18820,,switzerland
4287,6.411,china
14125,4805.539,north america (ei)
6220,0.0,estonia
18733,0.0,sweden
11854,5.319,mexico
18303,27.632,spain
12931,0.0,nauru
3935,0.0,central african republic
6133,0.0,equatorial guinea
5290,0.529,democratic republic of congo
2030,,bangladesh
13272,0.0,new caledonia
19814,48.695,turkey
19438,0.0,togo
12932,0.0,nauru
17499,0.0,seychelles
13228,0.0,netherlands antilles
19319,0.0,thailand
2835,5.951,botswana
16279,0.231,philippines
17802,0.0,somalia
4879,0.0,cote d'ivoire
11217,0.0,luxembourg
19575,0.0,trinidad and tobago
3988,,central america (ei)
6464,57.249,eurasia (shift)
1783,0.0,austria
344,,africa (ember)
5275,0.0,democratic republic of congo
7784,672.2,germany
1328,,asia (ember)
10675,,lebanon
8601,0.0,haiti
10055,0.0,jamaica
5851,,ecuador
10278,0.0,kenya
5660,3663.415,eu28 (shift)
5628,0.0,dominican republic
15658,0.0,pakistan
13625,2.564,nigeria
18647,2.292,sweden
16005,0.0,persian gulf (shift)
8352,,guatemala
19251,0.03,tanzania
12701,0.635,mozambique
6979,2812.401,european union (27)
7958,0.0,gibraltar
20548,845.454,united kingdom
13546,0.772,niger
13210,,netherlands
6888,1687.751,european union (27)
16627,,qatar
15884,,papua new guinea
17885,445.267,south africa
16589,0.0,puerto rico
10223,0.0,jordan
9026,,ieo - middle east (eia)
9539,,iraq
1682,189.931,austria
4476,18.464,colombia
2557,0.431,bhutan
11858,6.249,mexico
18682,4.651,sweden
20182,0.0,uganda
18323,47.923,spain
19715,0.0,tunisia
8012,0.303,greece
20764,0.0,united states territories (shift)
8944,76.245,hungary
11521,0.561,malaysia
5943,0.0,ecuador
9734,0.472,ireland
17320,,saudi arabia
5230,370.578,czechoslovakia
11819,7.859,mexico
14405,13.609,north macedonia
16477,1.107,portugal
4308,101.943,china
7525,,gabon
4923,0.0,croatia
4801,,cote d'ivoire
928,0.0,antigua and barbuda
8015,0.211,greece
15863,0.0,papua new guinea
14664,,oecd (eia)
4766,0.0,costa rica
21010,8.935,uzbekistan
3050,,brunei
10029,0.0,jamaica
13744,0.0,niue
10996,277.706,low-income countries
12039,,middle africa (ei)
262,1796.131,africa
16767,0.0,reunion
3729,272.889,canada
7872,,ghana
11975,,micronesia (country)
3596,,cameroon
17536,0.0,sierra leone
18728,0.187,sweden
5028,0.0,cuba
18683,3.691,sweden
19215,0.016,tanzania
13909,,non-opec (eia)
3087,,brunei
6547,2697.802,eurasia (shift)
14635,11970.297,oecd (ei)
5387,0.0,denmark
468,0.0,albania
5032,0.0,cuba
14355,255.013,north korea
17474,83.924,serbia
4033,17.405,central and south america (shift)
12364,0.0,mongolia
14,,asean (ember)
7137,0.0,fiji
14876,,oecd - europe (eia)
20211,0.0,uganda
13728,0.0,niue
3812,,cape verde
4703,0.0,cook islands
3776,0.0,cape verde
17968,21.463,south america
10044,0.0,jamaica
14037,6035.392,north america
4275,16.863,chile
16943,2339.723,russia
2972,25.144,brazil
20800,0.0,united states virgin islands
8798,,honduras
14656,,oecd (eia)
12008,,micronesia (country)
14367,156.012,north korea
5505,,denmark
17638,,slovakia
11541,7.897,malaysia
14202,4627.608,north america (shift)
577,0.014,albania
8262,0.0,guadeloupe
13828,,non-oecd (eia)
21704,19.23,yugoslavia
12530,0.0,morocco
14937,,oecd - north america (eia)
6449,131.461,eurasia (shift)
20126,3338.235,ussr
5579,0.0,dominica
1666,,australia and new zealand (eia)
10481,0.0,kuwait
2646,,bolivia
6470,104.98,eurasia (shift)
1842,0.0,bahamas
21882,0.742,zambia
16550,0.0,portugal
20953,0.0,uruguay
12257,1.612,middle east (shift)
4773,,costa rica
12273,7.327,middle east (shift)
1588,514.578,australia
5469,0.0,denmark
7898,0.0,ghana
9583,,iraq
20734,0.0,united states pacific islands (shift)
16753,0.0,reunion
17915,1594.395,south africa
4040,29.132,central and south america (shift)
2051,,bangladesh
4131,0.0,chad
18806,,switzerland
124,0.151,afghanistan
4728,0.0,cook islands
264,1796.669,africa
20763,0.0,united states territories (shift)
17403,,saudi arabia
15718,7.049,pakistan
8666,7990.431,high-income countries
11812,4.685,mexico
16892,79.763,romania
19362,5.294,thailand
4897,,cote d'ivoire
11135,2381.772,lower-middle-income countries
13056,0.0,nepal
5379,0.043,democratic republic of congo
2648,,bolivia
15337,588.715,oceania
558,1.002,albania
15889,0.0,paraguay
1258,23876.309,asia
19232,0.016,tanzania
15284,103.833,oceania
17522,0.0,seychelles
17277,,sao tome and principe
9312,9.411,indonesia
1240,9152.28,asia
2907,12.857,brazil
